,Inferno,Inferno_ita
0,Nel mezzo del cammin di nostra vita,A metà  del naturale percorso  della vita umana  
1,"mi ritrovai per una selva oscura,",mi ritrovai dentro  una selva avvolta dall'oscurità
2,ché la diritta via era smarrita.,poiché la strada giusta era stata smarrita.
3,Ahi quanto a dir qual era è cosa dura,Ahi quanto è cosa dolorosa e faticosa  
4,esta selva selvaggia e aspra e forte,"a dirsi quale fosse questa selva impervia, irta e difficile da superare , "
5,che nel pensier rinova la paura! ,la quale ripropone al solo pensiero la  paura provata!
6,Tant’è amara che poco è più morte;,È tanto dolorosa e molesta  che la morte è poco più;
7,"ma per trattar del ben ch’i’ vi trovai,","ma per parlare del bene che ne derivò , "
8,dirò de l’altre cose ch’i’ v’ ho scorte. ,racconterò di altre cose che vi ho viste.
9,"Io non so ben ridir com’i’ v’intrai,","lo non so riferire bene come penetrai in questa selva , "
10,tant’era pien di sonno a quel punto,tanto ero pieno di sonno nel momento  
11,che la verace via abbandonai. ,in cui abbandonai la via giusta  che conduce al bene.
12,"Ma poi ch’i’ fui al piè d’un colle giunto,",Ma dopo che fui giunto alle falde di un colle 
13,là dove terminava quella valle,là dove terminava quella valle 
14,"che m’avea di paura il cor compunto, ","che mi aveva trafitto  il cuore di paura,"
15,guardai in alto e vidi le sue spalle,guardai verso l'alto e vidi le parti alte del colle  
16,vestite già de’ raggi del pianeta,illuminate già dai raggi del sole  
17,che mena dritto altrui per ogne calle. ,che conduce dritto le persone per ogni strada 
18,"Allor fu la paura un poco queta,",Allora mi si placò un poco la paura 
19,che nel lago del cor m’era durata,che si era diffusa a lungo  dentro la cavità  del cuore
20,la notte ch’i’ passai con tanta pieta. ,la notte che io trascorsi fra tanta angoscia 
21,"E come quei che con lena affannata,","E come colui che con respiro  affannoso, "
22,"uscito fuor del pelago a la riva,","uscito fuori dall'alto mare  e giunto alla riva, "
23,"si volge a l’acqua perigliosa e guata, ","si volge verso l'acqua piena di insidie pericolose e la guarda con sgomento ,"
24,"così l’animo mio, ch’ancor fuggiva,","così l'animo mio, che provava ancora l'impulso di fuggire , "
25,si volse a retro a rimirar lo passo,si volse indietro a guardare con attenzione quel luogo di passaggio  
26,che non lasciò già mai persona viva. ,che non permise mai a nessuna persona di uscire viva da esso.
27,"Poi ch’èi posato un poco il corpo lasso,","Dopo che ebbi  riposato un poco il corpo stanco , "
28,"ripresi via per la piaggia diserta,","ripresi a camminare attraverso le solitarie  pendici del colle , "
29,sì che ’l piè fermo sempre era ’l più basso. ,così che il piede sul quale poggiavo tutto il mio corpo era sempre il più basso.
30,"Ed ecco, quasi al cominciar de l'erta,","Ed ecco, quasi all'inizio della salita più ripida,"
31,"una lonza leggera e presta molto,","una lonza agile e molto svelta , "
32,che di pel macolato era coverta; ,la quale era ricoperta di un manto macchiato ;
33,"e non mi si partia dinanzi al volto,","e non si allontanava  dal mio sguardo,"
34,"anzi ’mpediva tanto il mio cammino,","anzi ostacolava tanto il mio cammino,"
35,ch’i’ fui per ritornar più volte vòlto.,che io fui più volte spinto a ritornare indietro.
36,"Temp’era dal principio del mattino,",Era il momento in cui stava sorgendo il giorno
37,e ’l sol montava ’n sù con quelle stelle,e il sole saliva nella volta celeste con quella costellazione  
38,ch’eran con lui quando l’amor divino ,che era con lui quando Dio 
39,mosse di prima quelle cose belle;,diede il primo impulso  ai cieli 
40,sì ch’a bene sperar m’era cagione,così che era per me motivo  di ben sperare
41,di quella fiera a la gaetta pelle ,riguardo a quella fiera  dalla pelle screziata 
42,l’ora del tempo e la dolce stagione;,sia l'ora sia la stagione della primavera ;
43,ma non sì che paura non mi desse,ma non a tal punto che  non mi incutesse paura 
44,la vista che m'apparve d'un leone. ,la visione  che mi apparve di un leone.
45,Questi parea che contra me venisse,Questo pareva venisse contro di me
46,"con la test’alta e con rabbiosa fame,","con la testa alta e manifestando una fame incontenibile , "
47,sì che parea che l’aere ne tremesse. ,tanto che sembrava che l'aria circostante vibrasse fortemente  a causa sua.
48,"Ed una lupa, che di tutte brame",E una lupa che nella sua magrezza sembrava  colma 
49,"sembiava carca ne la sua magrezza,","di tutti i desideri insaziabili , "
50,"e molte genti fé già viver grame, ","e che aveva reso infelici  le vite di molti,"
51,questa mi porse tanto di gravezza,"essa  mi procurò tanto affanno , "
52,"con la paura ch’uscia di sua vista,","con la paura che si diffondeva dalla sua visione, "
53,ch’io perdei la speranza de l’altezza. ,che io persi la speranza di raggiungere la vetta del colle 
54,"E qual è quei che volontieri acquista,","E quale è colui che, con buona voglia, si impegna a procacciarsi  qualcosa "
55,"e giugne ’l tempo che perder lo face,","e giunge il momento in cui perde tutto, "
56,che ’n tutti suoi pensier piange e s’attrista; ,e in tutti i suoi pensieri piange e si rattrista ;
57,"tal mi fece la bestia sanza pace,","tale mi rese questa bestia sempre inquieta ,"
58,"che, venendomi ’ncontro, a poco a poco","che venendomi incontro, a poco a poco"
59,mi ripigneva là dove ’l sol tace. ,mi spingeva di nuovo dove domina il buio .
60,"Mentre ch’i’ rovinava in basso loco,","Mentre io precipitavo  in basso,"
61,dinanzi a li occhi mi si fu offerto,mi apparve  dinanzi agli occhi
62,chi per lungo silenzio parea fioco. ,uno che sembrava privo di voce  a causa del lungo silenzio.
63,"Quando vidi costui nel gran diserto,","Quando vidi costui in quel luogo del tutto deserto, gli gridai:"
64,"""Miserere di me"", gridai a lui,","Abbia compassione ,"
65,"""qual che tu sii, od ombra od omo certo!"". ","chiunque tu sia, o spirito o uomo in carne e ossa."
66,"Rispuosemi: ""Non omo, omo già fui,","Mi rispose: Non sono un essere umano , ma lo fui un tempo"
67,"e li parenti miei furon lombardi,","e i mie genitori  furono lombardi,"
68,mantoani per patrïa ambedui. ,entrambi nativi di Mantova.
69,"Nacqui sub Iulio, ancor che fosse tardi,","Nacqui sotto Giulio Cesare, sebbene fosse tardi perché Cesare mi potesse conoscere,"
70,e vissi a Roma sotto ’l buono Augusto,"e vissi a Roma sotto il valente  Augusto,"
71,nel tempo de li dèi falsi e bugiardi. ,nel tempo in cui si adoravano gli dei falsi e menzogneri.
72,"Poeta fui, e cantai di quel giusto",Fui poeta e cantai di quel giusto 
73,"figliuol d’Anchise che venne di Troia,","figlio di Anchise che venne da Troia,"
74,poi che ’l superbo Ilïón fu combusto. ,dopo che la grandiosa Ilio fu bruciata.
75,Ma tu perché ritorni a tanta noia?,Ma perché ritorni verso quella situazione tanto angosciante ?
76,perché non sali il dilettoso monte,perché non sali il colle piacevole 
77,"ch’è principio e cagion di tutta gioia?"". ",che è il principio e la causa di ogni felicità?
78,"""Or se’ tu quel Virgilio e quella fonte",Allora  sei tu quel famoso Virgilio e quello scrittore così ricco nella poesia 
79,"che spandi di parlar sì largo fiume?"",",da produrre una grande quantità di eloquenza simile a una fonte che versi un gran quantitativo d'acqua ?
80,rispuos’io lui con vergognosa fronte. ,risposi a lui con la fronte bassa di chi prova vergogna.
81,"""O de li altri poeti onore e lume,",tu che sei il prestigio e luce  degli altri poeti
82,vagliami ’l lungo studio e ’l grande amore,Valga presso di te a mio favore la costante attenzione e il grande amore
83,che m’ ha fatto cercar lo tuo volume. ,che mi ha spinto ad analizzare con cura  in ogni sua parte la tua opera poetica .
84,"Tu se’ lo mio maestro e ’l mio autore,","Tu sei il mio maestro e lo scrittore preferito ,"
85,tu se’ solo colui da cu’ io tolsi,tu sei il solo dal quale 
86,lo bello stilo che m’ ha fatto onore. ,io ho procurato l'appezzamento  del pubblico.
87,Vedi la bestia per cu’ io mi volsi;,"Vidi la lupa, per colpa della quale  sono indietreggiato verso la serva;"
88,"aiutami da lei, famoso saggio,","aiutami  da lei, famoso uomo sapiente,"
89,"ch’ella mi fa tremar le vene e i polsi"". ",poiché mi fa tremare le vene e le arterie .
90,"""A te convien tenere altro vïaggio"",",Ti è necessario seguire una via diversa
91,"rispuose, poi che lagrimar mi vide,",rispose dopo che mi vide in lacrime
92,"""se vuo’ campar d’esto loco selvaggio; ",se vuoi scampare  da questo luogo impervio e deserto 
