Original,Translate_IT_1
"Nel tempo che Iunone era crucciata per Semelè contra 'l sangue tebano, come mostrò una e altra fïata, Atamante divenne tanto insano, che veggendo la moglie con due figli andar carcata da ciascuna mano, gridò: “Tendiam le reti, sì ch'io pigli la leonessa e ' leoncini al varco”","Nel tempo in cui Giunone era adirata a causa di Sè-mele contro la famiglia reale di Tebe, come mostrò più volte, Atamante divenne tanto folle che, veden-do la moglie stringersi al collo i figli uno per mano, gridò: «Tendiamo le reti, così potrò pigliare al varco la leonessa e i leoncini"
" e poi distese i dispietati artigli, prendendo l'un ch'avea nome Learco, e rotollo e percosselo ad un sasso","» Poi distese gli artigli spietati, afferrò quello che a-veva nome Leandro, lo rotolò e lo sbatté contro un sasso"
 e quella s'annegò con l'altro carco, Quella si annegò con l’altro figlio
" E quando la fortuna volse in basso l'altezza de' Troian che tutto ardiva, sì che 'nsieme col regno il re fu casso, Ecuba trista, misera e cattiva, poscia che vide Polissena morta, e del suo Polidoro in su la riva del mar si fu la dolorosa accorta, forsennata latrò sì come cane"," Quando la fortuna abbassò la potenza dei troiani che tutto ardi-va, e il re Priamo fu spento con il suo regno, Ecùba triste, infelice e prigioniera, dopo aver visto Polisséna morta e aver scorto dolorosamente il corpo del suo Polidóro sulla riva del mare, impazzita latrò come un cane, tanto il dolore le sconvolse la mente"
 tanto il dolor le fé la mente torta," Ma non si videro mai furie di Tebe né di Troia tanto crudeli contro qualcuno nel ferir bestie o membra umane quanto io vidi due ombre smorte e nude (=Mirra e Gianni Schicchi) che, mordendo altri dannati, correvano all’impazzata per la bolgia, come fa il porco quando gli si apre il porcile"
" Ma né di Tebe furie né troiane si vider mäi in alcun tanto crude, non punger bestie, nonché membra umane, quant'io vidi in due ombre smorte e nude, che mordendo correvan di quel modo che 'l porco quando del porcil si schiude"," Una di esse (=Gianni Schicchi) fu sopra Capocchio, lo azzannò sulla nuca e, trascinandolo, gli fece grattare con il ventre il duro fondo della bolgia"
" L'una giunse a Capocchio, e in sul nodo del collo l'assannò, sì che, tirando, grattar li fece il ventre al fondo sodo"," Grifolino d’Arezzo indica alcuni dannati Grifolino, che era rimasto immobile, tremando disse: «Quello spirito furioso è Gianni Schicchi e va pieno di rabbia a conciare così gli altri in questo modo»"
" E l'Aretin che rimase, tremando mi disse: “Quel folletto è Gianni Schicchi, e va rabbioso altrui così conciando”"," «Oh» gli dissi, «ti àuguro che l’altro spirito furioso non ti ficchi i denti addosso"
" “Oh”, diss'io lui, “se l'altro non ti ficchi li denti a dosso, non ti sia fatica a dir chi è, pria che di qui si spicchi”",", non ti costi fatica dirci chi è, prima che si allontani…» Ed egli a me: «Quella è l’anima antica della scellerata Mirra, che divenne amante del padre, contro ogni lecito amore"
" Ed elli a me: “Quell'è l'anima antica di Mirra scellerata, che divenne al padre, fuor del dritto amore, amica", Venne a peccare con lui falsificando se stessa e prendendo l’aspetto di un’altra donna
