Filename,Original,Translate
trad_convivio_trattato_1_1.csv,"S  come dice lo Filosofo nel principio della Prima Filosofia, tutti li uomini naturalmente desiderano di sapere. La ragione di che puote essere  ed    che ciascuna cosa, da providenza di prima natura impinta,   inclinabile alla sua propia perfezione  onde, acci  che la scienza   ultima perfezione della nostra anima, nella quale sta la nostra ultima felicitade, tutti naturalmente al suo desiderio semo subietti.","Come dice il Filosofo all inizio della Metafisica, tutti gli uomini naturalmente desiderano porre la conoscenza. Questo pu  e deve essere fatto risalire al fatto che ogni essere ha un impulso insito nella propria natura che la indirizza verso la propria perfezione. Poich  la conoscenza   la pi  alta perfezione della nostra anima, in cui si trova la nostra felicit  suprema, siamo tutti per la nostra stessa natura guidati dal desiderio di raggiungere questo."
trad_convivio_trattato_1_1.csv,"Veramente da questa nobilissima perfezione molti sono privati per diverse cagioni, che dentro all uomo e di fuori da esso lui rimovono dall abito di scienza.","Molti, tuttavia, sono privati di questa perfezione pi  nobile da varie cause, sia interne che esterne all uomo, che impediscono la sua conoscenza in possesso."
trad_convivio_trattato_1_1.csv,"Dentro dall uomo possono essere due difetti e impedi men ti  l uno dalla parte del corpo, l altro dalla parte dell anima. Dalla parte del corpo   quando le parti sono indebitamente disposte, s  che nulla ricevere pu , s  come sono sordi e muti e loro simili. Dalla parte dell anima   quando la malizia vince in essa, s  che si fa seguitatrice di viziose dilettazioni, nelle quali riceve tanto inganno che per quelle ogni cosa tiene a vile.","Ci sono due possibili deficienze o ostacoli interni all uomo, uno relativo al suo corpo, l altro alla sua anima. Quello relativo al suo corpo si verifica quando i suoi organi corporei sono formati impropriamente, lasciandolo incapace di ricevere impressioni attraverso di loro, come accade con i sordomuti e simili. Quello relativo alla sua anima si verifica quando l anima   dominata dal male facendosi un devoto di piaceri dannosi  questi portano tale disillusione che l anima, a causa della sua esperienza con loro, tiene tutto ad essere inutile."
trad_convivio_trattato_1_1.csv,"Di fuori dall uomo possono essere similemente due cagioni intese, l una delle quali   induttrice di necessitade, l altra di pigrizia. La prima   la cura familiare e civile, la quale convenevolemente a s  tiene delli uomini lo maggior numero, s  che in ozio di speculazione essere non possono. L altra   lo difetto del luogo dove la persona   nata e nutrita, che tal ora sar  da ogni studio non solamente privato, ma da gente studiosa lontano.","Allo stesso modo si possono specificare due cause esterne all uomo, l una che si traduce in un vincolo inevitabile, l altra nella pigrizia. Il primo   la responsabilit  familiare e civica, che assorbe adeguatamente le energie della maggior parte degli uomini, con il risultato che non riescono a trovare il tempo libero necessario per coltivare la mente. L altro   una carenza nel luogo in cui una persona   nata e cresciuta  questo   talvolta tale che non solo manca di qualsiasi istituto di apprendimento superiore, ma   anche lontana dalla compagnia di persone istruite."
trad_convivio_trattato_1_1.csv,"Le due di queste cagioni, cio  la prima dalla parte  di dentro e la prima dalla parte  di fuori, non sono da vituperare, ma da escusare e di perdono degne  le due altre, avegna che l una pi , sono degne di biasimo e d abominazione.","Due di queste cause, la prima in ciascuna delle coppie di cui sopra, non meritano la censura, e meritano piuttosto di essere scusati e perdonati. Gli altri due, anche se in misura diversa, meritano la colpa e l odio."
trad_convivio_trattato_1_1.csv,"Manifestamente adunque pu  vedere chi bene considera, che pochi rimangono quelli che all abito da tutti desiderato possano pervenire, e innumerabili quasi sono li  mpediti che di questo cibo sempre vivono affamati.","Chiunque rifletta su questo pu  chiaramente vedere che ci sono solo poche persone che possono raggiungere ci  che tutti desiderano possedere, e che coloro che sono ostacolati da questo fare, e passare tutta la loro vita affamati di questo cibo, sono quasi oltre il numero."
trad_convivio_trattato_1_1.csv,Oh beati quelli pochi che seggiono a quella mensa dove lo pane delli angeli si manuca! e miseri quelli che colle pecore hanno comune cibo!,"Beati i pochi che si siedono a tavola, dove si nutrono del pane degli angeli, e pietosi quelli che mangiano le pecore!"
trad_convivio_trattato_1_1.csv,"Ma per  che ciascuno uomo a ciascuno uomo naturalmente   amico, e ciascuno amico si duole del difetto di colui ch elli ama, coloro che a cos  alta mensa sono cibati non sanza misericordia sono inver di quelli che in bestiale pastura veggiono erba e ghiande se n  gire mangiando.","Tuttavia, poich  ogni uomo   per sua natura un amico di ogni altro uomo, e ogni amico   addolorato da una carenza in colui che ama, coloro che sono nutriti a una tavola cos  esaltata non mancano di compassione verso coloro che vedono vagare nei pascoli animali che si nutrono di erba e ghiande."
trad_convivio_trattato_1_1.csv,"E acci  che misericordia   madre di beneficio, sempre liberalmente coloro che sanno porgono della loro buona ricchezza alli veri poveri, e sono quasi fonte vivo, della cui acqua si refrigera la naturale sete che di sopra   nominata.","Poich , anche, la compassione   la madre dell azione gentile, coloro che possiedono la conoscenza danno sempre generosamente dalla loro vera ricchezza a coloro che sono veramente poveri  sono come una fontana vivente le cui acque placano la sete naturale di cui si parla sopra."
trad_convivio_trattato_1_1.csv,"E io adunque, che non seggio alla beata mensa, ma, fuggito della pastura del vulgo, a  piedi di coloro che seggiono ricolgo di quello che da loro cade, e conosco la misera vita di quelli che dietro m ho lasciati, per la dolcezza ch io sento in quello che a poco a poco ricolgo, misericordievolemente mosso, non me dimenticando, per li miseri alcuna cosa ho riservata, la quale alli occhi loro, gi    pi  tempo, ho dimostrata  e in ci  li ho fatti maggiormente vogliosi.","Questa   la mia intenzione qui. Non che io mi sieda a quella tavola benedetta  ma, essendomi fuggito dal pascolo del popolo comune, e prendendo il mio posto ai piedi di quelli che sono seduti, raccogli un po  di ci  che lasciano cadere. E, pieno della dolcezza che provo in ci  che raccolgo a poco a poco, riconosco la piet  della vita di coloro che ho lasciato indietro. Cos , commosso dalla compassione, senza dimenticare me stesso, ho messo da parte qualcosa per quei miseri miseri, che ho messo davanti ai loro occhi un po  di tempo fa, e cos  facendo ha aumentato il loro desiderio."
