Filename,Original,Translate
fiore_1.csv,Lo Dio d’Amor   con su’ arco mi trasse,Con il suo arco il Dio dell'Amore mi trafisse
fiore_1.csv,"Perch’i’ guardava un Fior,  che m’abellia,","mentre guardavo un fiore che mi piaceva,"
fiore_1.csv,Lo quale avea piantato Cortesia,il Fiore che Lady Courtesy aveva piantato
fiore_1.csv,"Nel Giardin di Piacier, e que’ vi trasse",nel giardino del Piacere.
fiore_1.csv,"Sì tosto, c’a me parve ch’e’ volasse.","così in fretta che mi parve volare,"
fiore_1.csv,E’ disse: «I’ sì ti tengo in mia balia».,"e disse: ""Ti ho nel mio potere."""
fiore_1.csv,"Allò• gli piaque, non per voglia mia,","E com'è stato il suo piacere, e nessun mio desiderio,"
fiore_1.csv,Ch’e’ di cinque saette mi piaghasse:,Mi ha ferito con cinque frecce.
fiore_1.csv,"La prima à non' Bieltà, per li ochi il core","Il primo, chiamato Bellezza, mi passò gli occhi"
fiore_1.csv,"Mi passò; la seconda Angielicanza,","e trafisse il mio cuore; il secondo, Angelo-Come,"
fiore_1.csv,Quella mi mise sopra gran fredore;,mi ha dato un freddo amaro;
fiore_1.csv,"La terza, Cortesia,    fu san’ dottanza;",il terzo senza dubbio è stato Courtesy;
fiore_1.csv,"La quarta Compagnia,    che fe’ dolore;","la quarta, la Grazia Sociale, ha causato dolore;"
fiore_1.csv,La quinta apella l’uon Buona-Speranza.,la quinta si chiama Buona Speranza.
fiore_2.csv,Sentendomi ismagato malamente,Quando mi sentivo così prosciugato
fiore_2.csv,"Del molto sangue, ch’io avea perduto,",a causa di tutto il sangue che ho perso
fiore_2.csv,E’ non sapea dove trovar aiuto.,"e non sapeva dove trovare aiuto,"
fiore_2.csv,Lo Dio d’Amor si venne a me presente,in un lampo c'era il Dio dell'Amore
fiore_2.csv,E dissemi: «Tu•ssai veramente,"e disse: ""Sì, lo sai."""
fiore_2.csv,Che•ttu mi sè intra•lle man caduto,che sei caduto nelle mie mani
fiore_2.csv,"Per le saette, di ch’i’ t’ò feruto,",grazie alle frecce con le quali ti ho ferito;
fiore_2.csv,Sì ch’e’ convien che•ttu mi sie ubidente».,"così, dovete obbedirmi."
fiore_2.csv,Ed i’ risposi: «I’ sì son tutto presto,E io ho risposto:
fiore_2.csv,"Di farvi pura e fina fedeltate,","per darti la mia vera e nobile lealta',"
fiore_2.csv,Più ch’assesino a Vellio o a Dio il Presto».,maggiore dell'assassino [57] al Veglio o Prester John [56] a Dio.
fiore_2.csv,"E quelli allor mi puose, in veritate,","E poi, in verità, ha messo le labbra"
fiore_2.csv,"La sua bocha ala mia, sanz’altro aresto,",al mio e disse senza una pausa:
fiore_2.csv,E disse: «Pensa di farmi lealtate».,Siate fedeli a me.
fiore_3.csv,Del mese di gienaio e non di magio,"Nel mese di gennaio, e non in maggio,"
fiore_3.csv,"Fu, quand’i’ presi Amor a signioria,","Lo era, quando ho preso l'amore per essere il mio signore"
fiore_3.csv,"E ch’i’ mi misi al tutto in sua ballia,","e mi misi completamente in suo potere,"
fiore_3.csv,"E saramento gli feci, e omaggio,",e gli ha giurato omaggio.
fiore_3.csv,E per più sicurtà gli diedi in gaggio,"E come ulteriore garanzia, gli ho dato il mio cuore"
fiore_3.csv,"Il cor, ch’e’ non avesse gielosia","come pegno, in modo che non si preoccupi"
fiore_3.csv,"Ched i’ fedel e puro i’ no•gli sia,",per non essere fedele a lui
fiore_3.csv,E senpre lui tener a Segniò•Maggio.,e lo trattenga sempre come il mio signore e padrone.
fiore_3.csv,"Allor que’ prese il cor e disse: «Amico,","Poi prese il mio cuore e disse: ""Amico,"
fiore_3.csv,I’ son segnior assa’ forte a servire;,Sono un signore molto esigente da servire.
fiore_3.csv,"Ma chi mi serve, per cierto ti dico,",ma in verità vi dico che colui che mi serve
fiore_3.csv,"Ch’ala mia grazia non può già fallire,","non mancherà mai di vincere il mio favore,"
fiore_3.csv,"E di buona speranza i’ ’l mi notrico,",e lo nutrirò di buona speranza
fiore_3.csv,Infin ch’i’ gli fornischa su’ disire».,finché non avrò soddisfatto il suo desiderio.
fiore_4.csv,Con una chiave d’oro mi fermò il core,"Con una chiave d'oro l'amore mi ha chiuso il cuore,"
fiore_4.csv,"L’Amor,    quando così m’ebe parlato,","dopo avermi parlato in quel modo,"
fiore_4.csv,"Ma prima mente l’à nett’e parato,",ma prima di tutto ha purificato e preparato bene
fiore_4.csv,Sì c’ogni’altro pensier n’à pinto fore.,in modo che scacciasse ogni altro pensiero.
fiore_4.csv,"E’ po’ mi disse: «I’ sì son tu’ signiore,","Poi mi disse: ""Come io sono il tuo Signore,"
fiore_4.csv,E tu sì sè di me fedel giurato.,Cosi' come tu sei il mio signore:
fiore_4.csv,Or guarda che ’l tu’ cuor    non sia ’mpacciato,ora assicurati che il tuo cuore non sia occupato
fiore_4.csv,Se non di fino e di leal amore.,con tutt'altro che nobile e vero amore.
fiore_4.csv,E pensa di portar in pacienza,E ricordati di sopportare pazientemente
fiore_4.csv,"La pena, che per me avra’ a sofrire,","il dolore che soffrirai a causa mia,"
fiore_4.csv,"Inanzi ch’io ti doni mia sentenza,",prima che ti dia il mio verdetto.
