Originale,Traduzione EN,Traduzione IT
"L'amore così decreta, e lo crede giusto,","Love so decrees, and deems it proper, ","L'amore così decreta, e lo crede giusto,"
che dovrei parlare in questo modo particolare,that I should speak in this particular way ,che dovrei parlare in questo modo particolare
"e comporre un detto,","and compose a detto,","e comporre un detto,"
perché sia ​​proclamato ovunque,so that it may be proclaimed everywhere ,perché sia ​​proclamato ovunque
quanto bene l'ho servito.,how well I served him. ,quanto bene l'ho servito.
Da quando mi ha preso al suo servizio,Since he took me in his service ,Da quando mi ha preso al suo servizio
"e gli ho promesso,","and I made my pledge to him, ","e gli ho promesso,"
L'ho tenuto come mio signore,I have held him as my lord ,L'ho tenuto come mio signore
e lo farà per sempre.,and will do so forever. ,e lo farà per sempre.
E questo sarà un esempio perfetto,And this will be a perfect example ,E questo sarà un esempio perfetto
"per ogni amante,","for every lover, ","per ogni amante,"
in modo che l'amore non lo farà,so that Love will not ,in modo che l'amore non lo farà
"sii amaro con lui alla fine,","be bitter to him in the end,","sii amaro con lui alla fine,"
ma piuttosto che l'Amore gli darà,but rather that Love will let him have ,ma piuttosto che l'Amore gli darà
"l'oggetto del suo desiderio,","the object of his desire, ","l'oggetto del suo desiderio,"
che è più prezioso di qualsiasi altra cosa.,which is more valuable than anything else. ,che è più prezioso di qualsiasi altra cosa.
Ed è così cortese,And he is so courteous ,Ed è così cortese
che se qualcuno si presenta davanti a lui umilmente,that if someone appears before him humbly,che se qualcuno si presenta davanti a lui umilmente
"o in posizione di supplica,","or in a position of supplication,","o in posizione di supplica,"
aiuterà quello a ottenere,he will help that one obtain ,aiuterà quello a ottenere
qualunque cosa desideri,whatever he desires ,qualunque cosa desideri
e toglierà tutto il suo dispiacere.,and will take all his displeasure away. ,e toglierà tutto il suo dispiacere.
"L'amore non desidera alcun pagamento,","Love desires no payment, ","L'amore non desidera alcun pagamento,"
ma richiede questo impegno:,but he does require this pledge: ,ma richiede questo impegno:
che il tuo cuore gli sia fedele.,that your heart be faithful to him. ,che il tuo cuore gli sia fedele.
Poi dice: “Te lo concedo,Then he says: “I grant you ,Poi dice: “Te lo concedo
tutto quello che chiedi,all that you ask ,tutto quello che chiedi
senza che tu invii regali”.,without your sending any gifts.”,senza che tu invii regali”.
E subito ti fa un regalo,And immediately he gives you a gift ,E subito ti fa un regalo
senza che ci siano doni,without there being any gifts ,senza che ci siano doni
"d'argento e d'oro fini,","of fine silver and gold, ","d'argento e d'oro fini,"
per cui lo adoro,for which reason I worship him ,per cui lo adoro
come devoto amante.,as a devout lover.,come devoto amante.
"A lui rendo grazie, perché amo","To him I give thanks, for I love ","A lui rendo grazie, perché amo"
quella signora che è così ben dotata,that lady who is so well endowed ,quella signora che è così ben dotata
con ogni buona qualità,with every good quality ,con ogni buona qualità
che il suo pari non può essere trovato;,that her equal cannot be found; ,che il suo pari non può essere trovato;
"e quando appare davanti a me,","and when she appears before me, ","e quando appare davanti a me,"
lei mi dà una gioia così grande,she gives me such great joy ,lei mi dà una gioia così grande
che il mio cuore si dona,that my heart gives itself over ,che il mio cuore si dona
"a servirla costantemente,","to serving her constantly, ","a servirla costantemente,"
e voglio diventare il suo servitore,and I want to become her servant ,e voglio diventare il suo servitore
perché tanto piacere c'è in lei.,for so much pleasure is in her. ,perché tanto piacere c'è in lei.
Non so se vuole,I don’t know if she wants ,Non so se vuole
io per servirla:,me to serve her:,io per servirla:
"almeno può dire di avere una serva,","at least she can say she has a servant, ","almeno può dire di avere una serva,"
anche se valgo poco.,although I am of little worth. ,anche se valgo poco.
"L'amore non rifiuta nessuno,","Love refuses no one, ","L'amore non rifiuta nessuno,"
ma desidera e ama tutti quelli,but desires and loves all those ,ma desidera e ama tutti quelli
"che si innamorano avidamente,","who eagerly fall in love,","che si innamorano avidamente,"
e li stima,and esteems those ,e li stima
che si sforzano di compiacerlo,who strive to please him ,che si sforzano di compiacerlo
e sono completamente sottomessi.,and are completely subservient. ,e sono completamente sottomessi.
L'amore è sempre,Love is always ,L'amore è sempre
completamente disposto ad aiutare,completely willing to help ,completamente disposto ad aiutare
un amante perfetto che è disposto a servire.,a perfect lover who’s willing to serve. ,un amante perfetto che è disposto a servire.
