Original,Translate_IT
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","Nel mezzo del cammino della nostra vita mi ritrovai in una selva oscura, perché avevo smarrito la retta via"
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura," Ahi, quanto è arduo e doloroso raccontare com’era selvaggia, aspra e scoscesa que-sta selva, il cui solo pensiero mi rinnova la paura"
 Tant'è amara che poco è più morte," Essa è tanto amara, che la morte lo è poco di più"
" ma per trattar del ben ch'i' vi trovai, dirò de l'altre cose ch'i' v'ho scorte"," Ma, per parlare del bene che vi trovai, dirò delle al-tre cose che vi ho visto"
" Io non so ben ridir com'i' v'intrai, tant'era pien di sonno a quel punto che la verace via abbandonai"," Io non so ben dire come vi entrai, tanto ero pieno di sonno a quel punto in cui abbandonai la via dritta"
" Ma poi ch'i' fui al piè d'un colle giunto, là dove terminava quella valle che m'avea di paura il cor compunto, guardai in alto e vidi le sue spalle vestite già de' raggi del pianeta che mena dritto altrui per ogne calle", Il colle illuminato dai raggi del Sole che sorge
" Allor fu la paura un poco queta, che nel lago del cor m'era durata la notte ch'i' passai con tanta pieta"," Ma, dopo che fui giunto ai piedi d’un colle, dove terminava quella valle che mi aveva riempito il cuo-re di paura, guardai in alto e vidi la cima già illumi-nata dai primi raggi del Sole, che conduce con suc-cesso il viandante a destinazione"
" E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l'acqua perigliosa e guata, così l'animo mio, ch'ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva"," Allora si quietò un po’ la paura, che mi aveva a lungo agitato il più pro-fondo del cuore in quella notte che trascorsi pieno d’angoscia"
" Poi ch'èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che 'l piè fermo sempre era 'l più basso"," E, come il naufrago, uscito fuori del ma-re e giunto alla riva, con respiro affannoso si volge indietro e guarda le onde pericolose; così il mio a-nimo, che ancora fuggiva, si volse indietro per ri-guardare la selva, che non lasciò mai passare una persona in vita"
" Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta"," Riposai un po’ il mio corpo affatica-to, quindi ripresi il cammino lungo il pendìo deserto del colle, ma il piede fermo era sempre il più basso (=ero incerto)"
" e non mi si partia dinanzi al volto, anzi 'mpediva tanto il mio cammino, ch'i' fui per ritornar più volte vòlto", Le tre fiere
" Temp'era dal principio del mattino, e 'l sol montava 'n sù con quelle stelle ch'eran con lui quando l'amor divino mosse di prima quelle cose belle"," Ed ecco che, quasi agli inizi della salita, mi apparve una lince leggera e veloce, coperta di pelo screziato, che non si allontanava da me, anzi impediva a tal punto il mio cammino, che mi volsi più volte per tornare indietro"
 sì ch'a bene sperar m'era cagione di quella fiera a la gaetta pelle l'ora del tempo e la dolce stagione," Era il primo mattino e il Sole pri-maverile saliva in cielo con le stelle dell’Ariete, che erano con lui quando l’amore di Dio fece muovere per la prima volta quelle cose belle"
 ma non sì che paura non mi desse la vista che m'apparve d'un leone, Così l’ora del giorno e la dolce stagione mi facevano ben sperare di aver la meglio su quella fiera dal mantello varie-gato
" Questi parea che contra me venisse con la test'alta e con rabbiosa fame, sì che parea che l'aere ne tremesse"," Ma la speranza non era tanto forte, che non m’incutesse paura la vista d’un leone che mi com-parve davanti"
" Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame, questa mi porse tanto di gravezza con la paura ch'uscia di sua vista, ch'io perdei la speranza de l'altezza"," Avanzava verso di me con la testa al-ta e con una fame rabbiosa, tanto che anche l’aria sembrava temerlo"
" E qual è quei che volontieri acquista, e giugne 'l tempo che perder lo face, che 'n tutti suoi pensier piange e s'attrista"," Sùbito dopo comparve una lupa, che nella sua magrezza sembrava piena di ogni più bassa voglia e perciò fece vivere infelici molte gen-ti"
" tal mi fece la bestia sanza pace, che, venendomi 'ncontro, a poco a poco mi ripigneva là dove 'l sol tace"," Essa mi causò un tale sgomento con la paura che incuteva il suo aspetto, che perdetti la speranza di arrivare in cima"
" Mentre ch'i' rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco"," E, come l’avaro, che accumula ric-chezza con soddisfazione e che, giunto il momento in cui la perde, piange e si rattrista in tutti i suoi pensieri; così mi rese la bestia senza pace, perché, venendomi incontro, a poco a poco mi sospingeva là nella selva, dove il Sole non penetrava con i suoi raggi"
