Originale,Traduzione EN
Lo Dio d'Amor con su' arco mi trasse,With his bow the God of Love pierced me
"Perch'i' guardava un fior che m'abellia,","while I was gazing at a Flower that pleased me,"
Lo quale avea piantato Cortesia,the Flower that Lady Courtesy had planted 
Nel giardin di Piacer; e que' vi trasse,in the garden of Pleasure. Love came
"Sì tosto c[h]'a me parve ch'e' volasse,","so quickly that it seemed to me he flew, "
E disse: “I' sì ti tengo in mia balìa”.,and said: “I have you in my power.”
"Alló•gli pia[c]que, non per voglia mia,","Then as was his pleasure, and no desire of mine, "
Che di cinque saette mi piagasse.,he wounded me with five arrows.
La prima à non' Bieltà: per li oc[c]hi il core,"The first, named Beauty, passed my eyes "
"Mi passò; la seconda, Angelicanza:","and transfixed my heart; the second, Angel-Like, "
Quella mi mise sopra gran fredore;,gave me a bitter chill;
"La terza Cortesia fu, san' dottanza;",the third without doubt was Courtesy; 
"La quarta, Compagnia, che fe' dolore;","the fourth, Social Grace, caused pain; "
La quinta apella l'uon Buona Speranza.,the fifth is called Good Hope.
Sentendomi ismagato malamente,When I felt myself so drained 
"Del molto sangue ch'io avea perduto,",because of all the blood I’d lost 
"E non sapea dove trovar aiuto,","and did not know where to find help, "
"Lo Dio d'Amor sì venne a me presente,",in a flash the God of Love was there
E dissemi: “Tu•ssaï veramente ,and said: “You surely know 
Che•ttu mi se' intra•lle man caduto,that you have fallen into my hands 
"Per le saette di ch'i' t'ò feruto,",thanks to the arrows with which I wounded you; 
Sì ch'e' convien che•ttu mi sie ubidente”.,"thus, you must obey me.”"
Ed i' risposi: “I' sì son tutto presto,And I replied: “I’m ready 
"Di farvi pura e fina fedeltate,","to give you my true and noble loyalty, "
Più ch'asses[s]ino a•Veglio o a Dio il Presto”.,greater than the assassin’s to the Veglio or Prester John’s to God.”
"E quelli allor mi puose, in veritate,","And then, in truth, he put his lips "
"La sua boc[c]a a la mia, sanz'altro aresto,",to mine and said without a pause: 
E disse: “Pensa di farmi lealtate”.,“Be loyal to me.”
"Del mese di genaio, e non di mag[g]io,","In the month of January, and not in May,"
"Fu quand'i' presi Amor a signoria, ","it was, when I took Love to be my lord "
E ch'i' mi misi al tutto in sua baglìa ,"and placed myself completely in his power, "
E saramento gli feci e omaggio;,and swore homage to him.
E per più sicurtà gli diedi in gaggio,"And as further assurance, I gave him my heart "
"Il cor, ch'e' non avesse gelosia","as a pledge, so that he would not worry "
"Ched' i' fedel e puro i' no•gli sia,",that I might not be true and loyal to him 
E sempre lui tener a segnó•maggio.,and always hold him as my lord and master.
"Allor que' prese il cor e disse: “Amico,","Then he took my heart and said: “Friend, "
I' son segnor assà' forte a servire;,I am a very exacting lord to serve; 
"Ma chi mi serve, per certo ti dico",but truly I say unto you that the one who serves me
"Ch'a la mia grazia non può già fallire,","will never fail to win my favor, "
E di buona speranza il mi notrico,and I will nourish him with good hope 
Insin ch'i' gli fornisca su' disire”.,until I satisfy his desire.”
Con una chiave d'or mi fermò il core,"With a golden key Love locked my heart, "
"L'Amor, quando così m'eb[b]e parlato;",after he had spoken to me in that way; 
"Ma primamente l'à nett'e parato,",but before all this he purified and prepared it well 
Sì c[h]'ogn'altro pensier n'à pinto fore. ,so that he drove out every other thought.
"E po' mi disse: “I' sì son tu' signore,","And then he said to me: “Just as I am your Lord,"
E tu sì se' di me fedel giurato:,so are you my liege man:
Or guarda che 'l tu' cuor non sia 'mpacciato,now be sure your heart’s not occupied 
Se non di fino e di leal amore.,with anything but noble and true love.
E pensa di portar in pacïenza,And remember to bear patiently 
La pena che per me avrà' a sofrire,"the pain you will suffer because of me, "
Inanzi ch'io ti doni mia sentenza;,before I give you my verdict.
Ché molte volte ti parrà morire:,For many times you’ll think you’re dying: 
"Un'ora gioia avrai, altra, doglienza;","one hour you’ll be happy, another sad, "
Ma poi dono argomento di guerire”.,but then I’ll give you a remedy to get well.”
Con grande umilitate e pacïenza,With much humility and patience I promised Love 
"Promisi a Amor a sofferir sua pena,",that I would suffer his pain 
"E c[h]'ogne membro, ch'i' avea, e vena",and that my every limb and vein 
Disposat'era a farli sua voglienza;,were prepared to do his will.
E solo a lui servir la mia credenza,And my mind is set to serve him and him alone 
"È ferma, né di ciò mai nonn-alena:",and will never cease to do so: 
"“Insin ched i' avrò spirito o lena,","“As long as I live and breathe, "
I' non farò da•cciò giamà' partenza”.,I will never depart from this promise.”
"E quelli allor mi disse: “Amico meo,","And Love then said to me: “My friend, "
I' ò da•tte miglior pegno che carte:,your pledge is better than any written promise: 
"Fa che m'adori, ched i' son tu' deo;","be sure to worship me, for I am your god;"
"Ed ogn'altra credenza metti a parte,",and set aside every other belief: 
Né non creder né Luca né Matteo,"do not believe Luke or Matthew, "
Né Marco né Giovanni”. Allor si parte.,Mark or John.” And then he departs.
Partes'Amor [le] su' ale battendo,"Love departs with a flutter of wings, "
E 'n poca d'or sì forte isvanoìo,and in a moment he disappeared so rapidly 
"Ched i' no'l vidi poi, né no•ll'udìo,",that I no longer saw or heard him; 
