Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,Mit seinem Bogen durchbohrte mich der Gott der Liebe,Mit seinem Bogen traf mich die Gottheit der Liebe.
"Perch’i’ guardava un Fior,  che m’abellia,","während ich auf eine Blume schaute, die ich mochte,","Während ich eine Blume sah, die mich faszinierte."
Lo quale avea piantato Cortesia,die Höflichkeit gepflanzt hatten,Der Güte gepflanzt hatte.
"Nel Giardin di Piacier, e que’ vi trasse",im Garten des Vergnügens. Liebe ist gekommen,Im Garten der Freude ist Zuneigung angekommen.
"Sì tosto, c’a me parve ch’e’ volasse.","So schnell schien es mir zu fliegen,",So schnell schien es mir zu fliegen.
E’ disse: «I’ sì ti tengo in mia balia».,"Und er sagte: ""Ich habe dich in meiner Macht.""","Und er sagte: ""Ich habe dich unter meiner Kontrolle."""
"Allò gli piaque, non per voglia mia,","Und wie war sein Wohlgefallen und kein Verlangen von mir,","Also, wie war sein Genuß und kein Streben von mir."
Ch’e’ di cinque saette mi piaghasse:,Er hat mir mit fünf Pfeilen wehgetan.,Er schlug mich mit fünf Pfeilen.
"La prima à non' Bieltà, per li ochi il core","Der erste, genannt Schönheit, für die Augen und das Herz","Der erste, genannt Splendor, für die Augen und das Herz."
"Mi passò; la seconda Angielicanza,","Er durchbohrte mich, der zweite Engel,","Er schlug mich, der zweite Angelicanza."
Quella mi mise sopra gran fredore;,Das gab mir eine bittere Erkältung.,"Das gab mir eine Erkältung, eine bittere."
"La terza, Cortesia,    fu san’ dottanza;","Die dritte, ohne Zweifel, war Courtesy;",Die dritte war zweifellos Freundlichkeit.
"La quarta Compagnia,    che fe’ dolore;","der vierte, die Firma, verursachte Schmerzen;","Der vierte, die Gesellschaft, hat Leid verursacht."
La quinta apella l’uon Buona-Speranza.,Die fünfte wird Good Hope genannt.,Die fünfte wird Optimist Hope genannt.
Sentendomi ismagato malamente,Ich fühle mich krank geleert,Machtlos fühlen
"Del molto sangue, ch’io avea perduto,","von meinem Blut, das ich verloren hatte","von meinem Plasma, das ich zerstreut hatte"
E’ non sapea dove trovar aiuto.,"und ich wusste nicht, wo ich Hilfe finden sollte,","und ich wusste nicht, wo ich Hilfe suchen sollte."
Lo Dio d’Amor si venne a me presente,In einem Augenblick gab es den Gott der Liebe,In einem Augenblick gab es den Göttlichen Schnitt.
E dissemi: «Tu•ssai veramente,"und sagte zu mir: ""Du weißt wirklich,","Alles ""Und er sagte zu mir: ""Du bist sehr gut informiert."""
Che•ttu mi sè intra•lle man caduto,dass du in meine Hände gefallen bist,dass du in meinen Klauen gelandet bist
"Per le saette, di ch’i’ t’ò feruto,","Dank der Pfeile, mit denen ich dich verwundet habe;","Dank der Darts, mit denen ich dich geschlagen habe."
Sì ch’e’ convien che•ttu mi sie ubidente».,"Es ist für dich bequem, gehorsam zu sein.","Es ist passend für euch, gehorsam zu sein."
Ed i’ risposi: «I’ sì son tutto presto,"Und ich sagte: ""Ich bin bereit.","Und ich sagte: ""Ich bin vorbereitet."""
"Di farvi pura e fina fedeltate,","um dir meine wahre und edle Treue zu geben,",um meine aufrichtige und edle Treue anzubieten.
Più ch’assesino a Vellio o a Dio il Presto».,"größer als der Mörder an der Vigil oder der Priester an Gott""",Vorgesetzter des Mörders dem Alten oder dem Priester Gott gegenüber
