Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,Con su arco el Dios de Amor me atravesó,"Con su arco, la Deidad del Amor me golpeó."
"Perch’i’ guardava un Fior,  che m’abellia,","mientras miraba una flor que me gustaba,",Mientras miraba una flor que me fascinaba.
Lo quale avea piantato Cortesia,que había plantado la cortesía,Que había plantado la bondad.
"Nel Giardin di Piacier, e que’ vi trasse",en el jardín del Placer. Ha llegado el amor,"En el jardín de Delight, el afecto ha llegado."
"Sì tosto, c’a me parve ch’e’ volasse.","Tan rápido, me pareció que estaba volando,",Tan rápido que me pareció que estaba volando.
E’ disse: «I’ sì ti tengo in mia balia».,"Y él dijo: ""Te tengo en mi poder.""","Y él dijo: ""Te tengo bajo mi control""."
"Allò gli piaque, non per voglia mia,","¿Cómo fue entonces su placer, y ningún deseo mío,","Así que, ¿cómo fue su disfrute, y ninguna aspiración mía."
Ch’e’ di cinque saette mi piaghasse:,Me lastimó con cinco flechas.,Me golpeó con cinco dardos.
"La prima à non' Bieltà, per li ochi il core","La primera, llamada Belleza, para los ojos y el corazón","La primera, llamada Esplendor, para los ojos y el corazón."
"Mi passò; la seconda Angielicanza,","Él me atravesó; el segundo ángel,","Me pegó; el segundo, Angelicanza."
Quella mi mise sopra gran fredore;,Eso me dio un frío amargo;,"Eso me dio un resfriado, uno amargo."
"La terza, Cortesia,    fu san’ dottanza;","La tercera, sin duda, fue cortesía;","El tercero, sin duda, fue la bondad."
"La quarta Compagnia,    che fe’ dolore;","el cuarto, Compañía, causó dolor;","El cuarto, la Sociedad, ha causado sufrimiento."
La quinta apella l’uon Buona-Speranza.,La quinta se llama Buena Esperanza.,La quinta se llama Esperanza Optimista.
Sentendomi ismagato malamente,Sentir que me vacío enfermizo,Sentirse impotente
"Del molto sangue, ch’io avea perduto,",de mi sangre que había perdido,de mi plasma que me había disipado
E’ non sapea dove trovar aiuto.,"y no sabía dónde encontrar ayuda,",y no sabía dónde buscar ayuda.
Lo Dio d’Amor si venne a me presente,En un destello estaba el Dios de Amor,En un instante hubo la Rebanada Divina.
E dissemi: «Tu•ssai veramente,"y me dijo: ""De verdad sabes","Todo ""Y él me dijo, ""Estás muy bien informado."""
Che•ttu mi sè intra•lle man caduto,que caíste en mis manos,que terminaste en mis garras
"Per le saette, di ch’i’ t’ò feruto,",gracias a las flechas con las que te he herido;,Gracias a los dardos con los que te golpeé.
Sì ch’e’ convien che•ttu mi sie ubidente».,Es conveniente que seas obediente.,Es apropiado que seas obediente.
Ed i’ risposi: «I’ sì son tutto presto,"Y le dije: ""Estoy listo.","Y yo dije: ""Estoy preparado""."
"Di farvi pura e fina fedeltate,","para darte mi verdadera y noble lealtad,",para ofrecer mi lealtad sincera y noble.
Più ch’assesino a Vellio o a Dio il Presto».,"mayor que el asesino a la Vigilia o el sacerdote a Dios""",superior del asesino al Viejo o el sacerdote a Dios
"E quelli allor mi puose, in veritate,","Y me pusieron, en verdad,","Esos, de hecho, me pusieron"
"La sua bocha ala mia, sanz’altro aresto,","su boca a la mía, sin descanso",su boca a la mía sin un intervalo
E disse: «Pensa di farmi lealtate».,y dijo: «¡Sé fiel a mí!,"Y él declaró: ""Sé leal a mí."
Del mese di gienaio e non di magio,"En enero, y no en mayo,","durante el invierno, no en la primavera."
"Fu, quand’i’ presi Amor a signioria,","Lo era, cuando tomé el amor para ser mi señor.",Fue cuando elegí el afecto para ser mi gobernante.
"E ch’i’ mi misi al tutto in sua ballia,","Y me puse a merced de todo,",Y me entregué completamente al destino.
"E saramento gli feci, e omaggio,",Y lo alababa serenamente.,y pacíficamente les respeté.
E per più sicurtà gli diedi in gaggio,"Y como otra garantía, le di una promesa.","Como otro seguro, le di bajo garantía."
"Il cor, ch’e’ non avesse gielosia","el corazón, que no era celoso","El corazón, que no era envidioso"
"Ched i’ fedel e puro i’ no•gli sia,",no ser fiel a él,No te adhieras a él.
E senpre lui tener a Segniò•Maggio.,y siempre lo sostengo como mi señor y amo.,y siempre mantenerlo como mi gobernante y gobernante.
"Allor que’ prese il cor e disse: «Amico,","Luego tomó mi corazón y dijo, ""Amigo,","Poco después tomó mi corazón y declaró: ""Camarada,"""
I’ son segnior assa’ forte a servire;,Soy un caballero muy exigente para servir.,Soy un caballero muy exigente para complacer.
"Ma chi mi serve, per cierto ti dico,","Pero de cierto os digo: El que me sirve,","En realidad te estoy diciendo, ¿a quién necesito?"
"Ch’ala mia grazia non può già fallire,","Nunca dejará de ganar mi favor,",Nunca dejará de ganar mi aprecio.
"E di buona speranza i’ ’l mi notrico,",y lo alimentaré con buena esperanza,y lo alimentaré con optimismo
Infin ch’i’ gli fornischa su’ disire».,Hasta que haya cumplido tu deseo.,hasta que haya satisfecho su anhelo.
Con una chiave d’oro mi fermò il core,"Con una llave de oro, el amor ha cerrado mi corazón,","Con una llave de oro, el amor selló mi corazón,"
"L’Amor,    quando così m’ebe parlato,","Amor, después de hablar conmigo,","Amor, después de exponerme,"
"Ma prima mente l’à nett’e parato,",pero antes que nada ha purificado y preparado,"En primer lugar, se purgó y preparó."
Sì c’ogni’altro pensier n’à pinto fore.,para que se alejara de cualquier otro pensamiento.,para exorcizar todos los demás pensamientos.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Y me dijo: «Como yo soy tu Señor,",Y él me dijo: Como yo soy tu Soberano.
E tu sì sè di me fedel giurato.,Y tú eres un jurado leal a mí.,Eres un testigo leal de mí.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Ahora asegúrate de que tu corazón no esté ocupado.,Asegúrate de que tu corazón no esté ocupado.
Se non di fino e di leal amore.,con cualquier cosa menos noble y verdadero amor.,con una pasión lejos de ser noble y sincero.
E pensa di portar in pacienza,Y recuerda ser paciente.,Recuerda ser paciente.
"La pena, che per me avra’ a sofrire,","el dolor que sufrirás por mi culpa,",el castigo que sufrirás por mi culpa.
"Inanzi ch’io ti doni mia sentenza,",Antes de darte mi veredicto.,Antes de darte mi sentencia.
Ché molte volte ti parrà morire:,Que muchas veces piensas que vas a morir:,Que a menudo sueñas con la extinción.
"Un’ora gioia avrai, altra, doglienza.","Una hora estarás feliz, otra triste,","En un momento serás feliz, en otra melancolía."
Ma po’ i’ dono argomento di guerire».,pero luego te doy una cura para sanar,"Sin embargo, entonces te ofrezco una cura para sanar."
Con grande umilitate e pacienza,Con mucha humildad y paciencia,Con gran humildad y perseverancia
"Promisi a Amor a sofferir sua pena,",Le prometí al amor que sufriría su dolor.,Le prometí al amor que compartiría su tormento.
"E c’ognie membro, ch’i’ avea, e vena","y que cada miembro mío, que tengo,","y que cada miembro mío, que tengo y arteria"
Disposat’era a farli sua voglienza;,Estaban listos para hacer su voluntad.,Estaban listos para cumplir su deseo.
E solo a lui servire la mia credenza,Y sólo él necesitará mi creencia,Sólo a él se dedicará mi fe.
"È ferma, né di ciò mai nonn-alena,",y nunca dejará de hacerlo:,Y nunca dejará de hacer eso.
"Insin ched i’ avrò spirito o lena,",Mientras viva y respire,Mientras yo exista y respire.
I’ non farò da•cciò giama’ partenza.,Nunca me desviaré de esta promesa.,Nunca voy a estar en desacuerdo con esta declaración.
"E quelli allor mi disse: «Amico meo,","Y me dijeron: Amigo mío,","Me dijo: ""Mi camarada,"
I’ ò da•tte miglior pegnio che charte.,Tu promesa es mejor que cualquier promesa escrita:,Su símbolo es superior a cualquier garantía escrita.
"Fa che m’adori, ched i’ son tu’ Deo,",Haced que me sirváis porque soy vuestro dios;,Dejad que me adoréis porque soy vuestro divino.
"Ed ogn’altra credenza    metti a parte,",y dejar a un lado toda otra fe:,"Abandonen, abandonen, todas las demás creencias."
"Né non creder né Lucha, né Matteo,","no le creas a Lucas ni a Mateo,",no confíen en Lucas ni en Mateo.
"Né Marco, né Giovanni». Allor si parte.","No a Mark, no a John, y luego se va.","Ni a Marcos, ni a Juan, y luego se separó."
"Partes’Amor, su’ ale battendo,","El amor comienza con un parpadeo de alas,",El amor comienza con un parpadeo de alas.
"E ’n poca d’or sì forte isvanoio,",y en un instante desapareció tan rápidamente,y en un instante desapareció rápidamente
"Ched i’  no ’l vidi poi, né no•ll’udio,",que nunca he visto ni oído de él;,"Ya no lo vi, ni lo oí."
E•llui e ’l su’ soccorso ancor atendo.,"Y sin embargo, todavía estoy esperando por él y su ayuda.","Sin embargo, todavía estoy esperando por él y su ayuda."
Allor mi venni forte ristrignendo,Luego me acerqué cada vez más.,Más tarde me acerqué cada vez más.
"Verso del Fior, che•ssì forte m’ulio,",a la flor cuyo olor me embrujó,A la flor cuyo aroma me encantaba
"E per chu’ feci homagio a questo Dio,",y por quien rindí homenaje a este dios.,y por quien devoro a este dios.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Le dije: ""¿Quién me impide romperlo?""",Pregunté: ¿Quién me prohíbe romperlo?
"Sì ch’i’ verso del Fior tesi la mano,","Y entonces extendí mi mano hacia la Flor,",Así que prostigia su mano hacia la Flor.
"Credendolo  aver colto chitamente,",Pensé que podía manejarlo libremente.,Pensé que podría manejarlo fácilmente.
Ed i’  vidi venir un gran villano,Y vi venir a un hombre grande y grosero.,Vi venir a un hombre impresionante y grosero.
Con una maza. E’ disse: «Or ti ste’ a mente,"con un palo en la mano, diciendo: ""Ahora tened en cuenta.""","Con un palo en la mano, diciendo: Recuerda ahora."
"Ch’i’  son lo Schifo, e sì son ortolano","que yo soy la Resistencia, y que yo soy el guardián","Yo soy el Adversario, y guardo la soberanía."
D’esto giardin. I’  ti  farò dolente».,Le hice sufrir.,de este parque. Provoqué su sufrimiento.
Molto vilmente mi buttò di fora,"Muy groseramente, me echó.","Con gran grosería, me echó."
"Lo Schifo, crudo, fello e oltragioso,","la cruel, viciosa y violenta resistencia,","La resistencia despiadada, malvada y brutal."
"Sì ch’e’ del Fior non cred’esser gioioso,","para que no me agrade la Flor,",Así que creo que no conseguiré satisfacción de la Flor.
Se Pietate e Francheza no•ll’acora.,A menos que la misericordia y la honestidad se vayan con él.,A menos que la compasión y la honestidad se vayan con él.
"Ma prima, credo, converà ch’eo mora,","Pero antes de que eso pase, creo que voy a morir.","Antes de que suceda, creo que moriré."
Perché ’l me’ cor stà tanto doglioso,ya que mi corazón está en tanto dolor,Ya que mi corazón está en tanto sufrimiento.
"Di quel villan,  che stava là nascoso,",por ese hombre cursi que se escondía allí.,Por ese hombre cursi que se escondía allí.
Di chu’ non mi prendea guardia quell’ora.,y contra lo cual no tomé precauciones en ese momento crucial.,y contra la que no tomé ninguna medida de seguridad en ese momento decisivo.
Or m’à messo in pensero e in dottanza,"Ahora esto me ha hecho preocuparme y temer,",Ahora esto me ha alarmado y asustado.
"Di ciò, ched i’ credea aver per ciertano,",por lo que pensé que tenía seguro,Por lo que pensé que sabía con seguridad.
Sì c’or me ne par essere in bilanza.,Ahora parece que está en riesgo.,Ahora creo que está en peligro.
"E tutto ciò m’à fatto quello strano,",¡Y todo esto me hizo ese salvaje!,¡Y todo esto me hizo ese bárbaro!
"Ma di lui mi richiamo a Pietanza,","Pero apelaré a la misericordia sobre él,",Voy a apelar a la compasión sobre él.
Che vengha a•llui collo spunton in mano.,para que pueda enfrentarlo con la lanza en la mano.,para que pueda enfrentarse a él con su espada en la mano.
"Se mastro Arghùs, che fecie la nave,","Si el Maestro Argus, que construyó la nave","Si el Maestro Argus, que construyó la nave"
"In che Giasòn  andò per lo tosone,","que Jason estaba buscando la pulga de oro,",que Jason estaba buscando la Joya de Oro
"E fecie a conto regole, e ragione,",y quién inventó las reglas y la lógica para el cálculo,y que han elaborado las normas y la razonabilidad para el cálculo
"E le diecie figure, com’on save,","y los diez signos numéricos, como todo el mundo sabe,","Y los diez símbolos numéricos, como todo el mundo sabe, son"
"Vivesse,  gli sarebe forte e grave","Si estuviera vivo, sería difícil para él.","Si estuviera vivo, sería difícil para él."
"Multiplicar ben ognie mia quistione,",para calcular todos los problemas,"Explorar, calcular, todas las preguntas."
"C’Amor mi move sanza mesprigione,","El amor me da, sin error.","El amor me otorga, sin error."
"E di ciascuna porta esso la chiave,","Y sin embargo, por cada puerta fuera de la llave,","Sin embargo, para cada entrada hay su clave."
Ed àllemi nel cor fermate e messe,Y ella los puso en mi corazón,Ella los impresionó en mi alma.
"Con quella chiavicella, ch’i’ v’ò detto,",con esa llave que te dije,con esa llave que te enseñé
Per ben tenermi tutte sue promesse.,para mantener todas sus promesas a mí.,para cumplir todos sus compromisos conmigo.
"Perch’io a•ssue merzé tuttor mi metto,",Es por eso que siempre estoy listo para cumplir sus órdenes;,Es por eso que siempre estoy listo para ejecutar sus órdenes;
