Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,"Avec son arc, le Dieu d'Amour m'a percé","Avec son arc, la Déité d'Amour m'a frappé."
"Perch’i’ guardava un Fior,  che m’abellia,","pendant que je regardais une fleur que j'aimais,",Pendant que je regardais une fleur qui me fascinait.
Lo quale avea piantato Cortesia,qui avaient planté Courtesy,Qui avait planté la bonté.
"Nel Giardin di Piacier, e que’ vi trasse",dans le jardin du Plaisir. L'amour est venu,"Dans le jardin du Délice, l'affection est arrivée."
"Sì tosto, c’a me parve ch’e’ volasse.","Si vite, il m'a semblé voler,",Si vite qu'il m'a semblé voler.
E’ disse: «I’ sì ti tengo in mia balia».,"Et il a dit, ""Je t'ai en mon pouvoir.""","Et il a dit, ""Je vous ai sous mon contrôle."""
"Allò gli piaque, non per voglia mia,","Alors comment était son plaisir, et aucun de mes désirs,","Alors, comment était son plaisir, et aucune de mes aspirations."
Ch’e’ di cinque saette mi piaghasse:,Il m'a fait mal avec cinq flèches.,Il m'a frappé avec cinq fléchettes.
"La prima à non' Bieltà, per li ochi il core","Le premier, appelé Beauté, pour les yeux et le cœur","Le premier, appelé Splendor, pour les yeux et le cœur."
"Mi passò; la seconda Angielicanza,","Il m'a percé, le second angélique,","Il m'a battu, la seconde, Angelicanza."
Quella mi mise sopra gran fredore;,Ça m'a donné un rhume amer.,Ça m'en a donné un froid et amer.
"La terza, Cortesia,    fu san’ dottanza;","La troisième, sans aucun doute, a été courtoise;","Le troisième, sans aucun doute, était de la gentillesse."
"La quarta Compagnia,    che fe’ dolore;","le quatrième, Compagnie, a causé de la douleur;","La quatrième, la Société, a causé des souffrances."
La quinta apella l’uon Buona-Speranza.,Le cinquième est appelé Bonne Espérance.,Le cinquième est appelé Espoir Optimiste.
Sentendomi ismagato malamente,"Je me sens malade, vidé.",Se sentir impuissant
"Del molto sangue, ch’io avea perduto,",de mon sang que j'avais perdu,de mon plasma que j'avais dissipé
E’ non sapea dove trovar aiuto.,"et je ne savais pas où trouver de l'aide,",et je ne savais pas où chercher de l'aide.
Lo Dio d’Amor si venne a me presente,En un éclair il y avait le Dieu de l'Amour,"En un instant, il y avait la Tranche Divine."
E dissemi: «Tu•ssai veramente,"et m'a dit, ""Tu sais vraiment","Tout ""Et il m'a dit, ""Vous êtes très bien informé."""
Che•ttu mi sè intra•lle man caduto,que tu es tombé dans mes mains,que tu as fini dans mes griffes
"Per le saette, di ch’i’ t’ò feruto,",grâce aux flèches avec lesquelles je vous ai blessés;,Grâce aux fléchettes avec lesquelles je t'ai frappé.
Sì ch’e’ convien che•ttu mi sie ubidente».,C'est pratique pour vous d'être obéissant.,Il est approprié pour vous d'être obéissant.
Ed i’ risposi: «I’ sì son tutto presto,"Et j'ai dit : ""Je suis prêt.","Et j'ai dit : ""Je suis prêt."""
"Di farvi pura e fina fedeltate,","pour vous donner ma vraie et noble loyauté,",d'offrir ma sincère et noble allégeance.
Più ch’assesino a Vellio o a Dio il Presto».,"plus grand que le tueur à la Vigile ou le prêtre à Dieu""",supérieur du meurtrier à l'Ancien ou du prêtre à Dieu
"E quelli allor mi puose, in veritate,","Et ils m'ont mis, en vérité,","Ceux-là, en fait, m'ont mis"
"La sua bocha ala mia, sanz’altro aresto,","sa bouche à la mienne, sans pause",sa bouche à la mienne sans intervalle
E disse: «Pensa di farmi lealtate».,et lui dit: Sois fidèle à moi.,"Et il déclara: ""Soyez loyal envers moi."
Del mese di gienaio e non di magio,"En janvier, et non en mai,","pendant l'hiver, pas au printemps."
"Fu, quand’i’ presi Amor a signioria,","Il l'était, quand j'ai pris l'amour pour mon seigneur.",C'est quand j'ai choisi l'affection d'être mon chef.
"E ch’i’ mi misi al tutto in sua ballia,","Et je me suis mis à la merci de tout,",Et je me suis complètement donné au destin.
"E saramento gli feci, e omaggio,",Et je l'ai loué sereinement.,et pacifiquement je leur ai donné du respect.
E per più sicurtà gli diedi in gaggio,"Et comme garantie supplémentaire, je lui ai donné un gage.","Comme assurance supplémentaire, je lui ai donné sous garantie"
"Il cor, ch’e’ non avesse gielosia","le cœur, ce n'était pas jaloux","Le cœur, ce n'était pas envieux"
"Ched i’ fedel e puro i’ no•gli sia,",ne pas être fidèle à lui,Ne lui obéissez pas.
E senpre lui tener a Segniò•Maggio.,et le tient toujours comme mon seigneur et maître.,et garde-le toujours comme mon chef et mon chef.
"Allor que’ prese il cor e disse: «Amico,","Puis il prit mon cœur et dit: «Ami,","Peu de temps après, il prit mon cœur et déclara: ""Camarade,"""
