Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,Met zijn boog doorboorde de God van Liefde mij,Met zijn boog sloeg de Godheid der Liefde me.
"Perch’i’ guardava un Fior,  che m’abellia,","Terwijl ik keek naar een bloem die ik leuk vond,",Terwijl ik naar een bloem keek die me fascineerde.
Lo quale avea piantato Cortesia,die Courtesy had geplant,Die vriendelijkheid had geplant.
"Nel Giardin di Piacier, e que’ vi trasse",in de tuin van het plezier. Liefde is gekomen,In de tuin van Delight is genegenheid gearriveerd.
"Sì tosto, c’a me parve ch’e’ volasse.","Zo snel, het leek me om te vliegen,",Het leek me zo snel dat het vloog.
E’ disse: «I’ sì ti tengo in mia balia».,"En hij zei: ""Ik heb je in mijn macht.""","En hij zei: ""Ik heb je onder mijn controle."""
"Allò gli piaque, non per voglia mia,","Hoe was dan zijn welbehagen, en geen verlangen van mij,","Dus, hoe was zijn plezier, en geen aspiratie van mij."
Ch’e’ di cinque saette mi piaghasse:,Hij deed me pijn met vijf pijlen.,Hij sloeg me met vijf darts.
"La prima à non' Bieltà, per li ochi il core","De eerste, genaamd Schoonheid, voor de ogen en het hart","De eerste, genaamd Splendor, voor de ogen en het hart."
"Mi passò; la seconda Angielicanza,","Hij doorboorde mij; de tweede engel,","Hij sloeg me, de tweede, Angelicanza."
Quella mi mise sopra gran fredore;,Dat gaf me een bittere verkoudheid.,"Dat gaf me een koude, bittere."
"La terza, Cortesia,    fu san’ dottanza;","De derde, zonder twijfel, was beleefdheid;","De derde, zonder twijfel, was vriendelijkheid."
"La quarta Compagnia,    che fe’ dolore;","de vierde, Compagnie, veroorzaakte pijn;","De vierde, Society, heeft lijden veroorzaakt."
La quinta apella l’uon Buona-Speranza.,De vijfde heet Good Hope.,De vijfde heet Optimist Hope.
Sentendomi ismagato malamente,Ik voel me ziek geleegd.,Ik voel me machteloos.
"Del molto sangue, ch’io avea perduto,",van mijn bloed dat ik had verloren,van mijn plasma dat ik had gedissipeerd
E’ non sapea dove trovar aiuto.,Ik wist niet waar ik hulp kon vinden.,En ik wist niet waar ik hulp moest zoeken.
Lo Dio d’Amor si venne a me presente,In een flits was er de God van Liefde,In een oogwenk was er de Goddelijke Slice.
E dissemi: «Tu•ssai veramente,"en zei tegen me, ""Je weet echt","Alles ""En hij zei tegen mij, ""Je bent zeer goed geïnformeerd."""
Che•ttu mi sè intra•lle man caduto,dat je in mijn handen viel,dat je in mijn klauwen belandde
"Per le saette, di ch’i’ t’ò feruto,",dankzij de pijlen waarmee ik u heb verwond;,Dankzij de darts waarmee ik je sloeg.
Sì ch’e’ convien che•ttu mi sie ubidente».,Het is handig voor je om gehoorzaam te zijn.,Het is passend voor jullie om gehoorzaam te zijn.
Ed i’ risposi: «I’ sì son tutto presto,"En ik zei: ""Ik ben er klaar voor.","En ik zei: ""Ik ben voorbereid."""
"Di farvi pura e fina fedeltate,","om je mijn trouw en nobele loyaliteit te geven,",om mijn oprechte en nobele trouw aan te bieden.
Più ch’assesino a Vellio o a Dio il Presto».,"groter dan de moordenaar aan de Vigil of de priester aan God""",superieur van de moordenaar aan de Oude of de priester aan God
"E quelli allor mi puose, in veritate,","En zij plaatsten mij, voorwaar,","Die, in feite, zetten me"
"La sua bocha ala mia, sanz’altro aresto,","haar mond naar de mijne, zonder een pauze",haar mond naar de mijne zonder interval
E disse: «Pensa di farmi lealtate».,"Hij zei: ""Wees mij trouw.","En hij verklaarde: ""Wees loyaal aan mij."
Del mese di gienaio e non di magio,"In januari, en niet in mei,","in de winter, niet in de lente."
"Fu, quand’i’ presi Amor a signioria,","Dat was hij, toen ik de liefde nam om mijn heer te zijn.",Toen koos ik voor genegenheid om mijn heerser te zijn.
"E ch’i’ mi misi al tutto in sua ballia,","En ik plaatste mezelf aan de genade van alles,",En ik gaf mezelf volledig aan het lot.
