Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,Med sin båge genomborrade kärlekens Gud mig,Med sin båge slog kärlekens Gudom mig.
"Perch’i’ guardava un Fior,  che m’abellia,","medan jag tittade på en blomma som jag gillade,",Medan jag tittade på en blomma som fascinerade mig.
Lo quale avea piantato Cortesia,som hade planterat hövlighet,Som hade planterat omtänksamhet.
"Nel Giardin di Piacier, e que’ vi trasse",i lustgården av njutningen. Kärleken har kommit,I Delights trädgård har tillgivenheten kommit.
"Sì tosto, c’a me parve ch’e’ volasse.","Så snabbt, tyckte jag att det var att flyga,",Så fort verkade det som om jag flög.
E’ disse: «I’ sì ti tengo in mia balia».,"Och han sa: ""Jag har dig i min makt.""","Och han sa: ""Jag har dig under min kontroll."""
"Allò gli piaque, non per voglia mia,","Hur var då hans lust, och ingen önskan av mig,","Så, hur var hans glädje, och ingen strävan från min."
Ch’e’ di cinque saette mi piaghasse:,Han skadade mig med fem pilar.,Han slog mig med fem pilar.
"La prima à non' Bieltà, per li ochi il core","Den första, kallad Skönhet, för ögonen och hjärtat","Den första, kallad Splendor, för ögonen och hjärtat."
"Mi passò; la seconda Angielicanza,","Han genomborrade mig, den andra ängeln,","Han slog mig, den andra, Angelicanza."
Quella mi mise sopra gran fredore;,Det gav mig en bitter förkylning;,"Det gjorde mig förkyld, bitter."
"La terza, Cortesia,    fu san’ dottanza;",Den tredje var utan tvivel genom tillmötesgående.,Det tredje var utan tvivel omtänksamhet.
"La quarta Compagnia,    che fe’ dolore;","Den fjärde, Företaget, orsakade smärta.",Det fjärde samhället har orsakat lidande.
La quinta apella l’uon Buona-Speranza.,Den femte kallas Good Hope.,Den femte kallas Optimist Hope.
Sentendomi ismagato malamente,Känner mig sjukligt tömd,Känsla av kraftlöshet
"Del molto sangue, ch’io avea perduto,",av mitt blod som jag hade förlorat,av min plasma som jag hade dissiperat
E’ non sapea dove trovar aiuto.,Jag visste inte var jag skulle hitta hjälp.,Jag visste inte var jag skulle söka hjälp.
Lo Dio d’Amor si venne a me presente,På ett ögonblick fanns kärlekens Gud.,På ett ögonblick fanns den Gudomliga Skäran.
E dissemi: «Tu•ssai veramente,"och sade till mig, ""Du vet verkligen","Allt ""och han sa till mig, ""Du är mycket väl informerad."""
Che•ttu mi sè intra•lle man caduto,att du föll i mina händer,att du hamnade i mina klor
"Per le saette, di ch’i’ t’ò feruto,",tack vare pilarna som jag har sårat dig med;,Tack vare pilarna jag slog dig med.
Sì ch’e’ convien che•ttu mi sie ubidente».,Det är bekvämt för dig att vara lydig.,Det är passande för dig att vara lydig.
Ed i’ risposi: «I’ sì son tutto presto,"Och jag sa: ""Jag är redo.","Och jag sa: ""Jag är förberedd."""
"Di farvi pura e fina fedeltate,","för att ge dig min sanna och ädla lojalitet,",för att erbjuda min uppriktiga och ädla lojalitet.
Più ch’assesino a Vellio o a Dio il Presto».,"större än mördaren till Vigil eller prästen till Gud""",Överordnad mördaren till den gamle eller prästen till Gud
"E quelli allor mi puose, in veritate,","Och de satte mig, sannerligen,","De, faktiskt, satte mig"
"La sua bocha ala mia, sanz’altro aresto,","Hennes mun till min, utan en paus",Hennes mun till min utan intervall
E disse: «Pensa di farmi lealtate».,"och sade: ""Var mig trogen!","Och han förklarade: "" Var lojal mot mig."
Del mese di gienaio e non di magio,"I januari, och inte i maj,","under vintern, inte på våren."
"Fu, quand’i’ presi Amor a signioria,","Det var han, när jag tog kärleken till att vara min herre.",Det var när jag valde kärlek till att vara min härskare.
"E ch’i’ mi misi al tutto in sua ballia,","Och jag satte mig själv i händerna på allt,",Och jag gav mig helt åt ödet.
"E saramento gli feci, e omaggio,",Och jag prisade honom lugnt.,och fridfullt gav jag dem respekt.
E per più sicurtà gli diedi in gaggio,"Och som en ytterligare garanti, gav jag honom ett löfte.","Som ytterligare försäkring, jag gav honom under garanti"
"Il cor, ch’e’ non avesse gielosia","hjärtat, det var inte svartsjukt","Hjärtat, det var inte avundsjukt"
"Ched i’ fedel e puro i’ no•gli sia,",att inte vara trogen mot honom,Håll inte fast vid honom
E senpre lui tener a Segniò•Maggio.,och alltid hålla honom som min herre och herre.,och alltid bevara honom som min härskare och härskare.
"Allor que’ prese il cor e disse: «Amico,",Då tog han mitt hjärta och sa:,"Kort därefter tog han mitt hjärta och förklarade: ""Kärda,"""
I’ son segnior assa’ forte a servire;,Jag är en mycket krävande gentleman att tjäna.,Jag är en mycket krävande gentleman att behaga.
"Ma chi mi serve, per cierto ti dico,","Men sannerligen säger jag eder: Den som tjänar mig,",Jag säger faktiskt vem jag behöver.
"Ch’ala mia grazia non può già fallire,","Han kommer aldrig att misslyckas med att vinna min tjänst,",Han kommer aldrig att misslyckas med att vinna min uppskattning.
"E di buona speranza i’ ’l mi notrico,",och jag kommer att ge honom näring med gott hopp,och jag ska mata honom med optimism
Infin ch’i’ gli fornischa su’ disire».,Tills jag har uppfyllt din önskan.,Tills jag har tillfredsställt hans längtan.
Con una chiave d’oro mi fermò il core,Med en guldnyckel har kärleken tillslutit mitt hjärta.,Med en guldnyckel förseglade kärleken mitt hjärta.
"L’Amor,    quando così m’ebe parlato,","Kärlek, efter att ha pratat med mig,","Kärlek, efter att ha avslöjat mig,"
"Ma prima mente l’à nett’e parato,",men först av allt har han renat och berett,Först och främst rentvådde han sig och förberedde sig.
Sì c’ogni’altro pensier n’à pinto fore.,för att han skulle driva bort alla andra tankar.,så att han drev ut alla andra tankar.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Då sade han till mig: ""Jag är din Herre,","Då sade han till mig: ""Jag är din härskare."""
E tu sì sè di me fedel giurato.,Och du är en lojal jurymedlem för mig.,Du är ett lojalt vittne för mig.
