Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,With his bow the God of Love pierced me,"With his bow, the Deity of Love struck me."
"Perch’i’ guardava un Fior,  che m’abellia,","while I was looking at a flower that I liked,",While I was watching a flower that fascinated me.
Lo quale avea piantato Cortesia,who had planted Courtesy,Who had planted Kindness.
"Nel Giardin di Piacier, e que’ vi trasse",in the garden of the Pleasure. Love has come,"In the garden of Delight, affection has arrived."
"Sì tosto, c’a me parve ch’e’ volasse.","So quickly, it seemed to me to be flying,",So fast it seemed to me to be flying.
E’ disse: «I’ sì ti tengo in mia balia».,"And he said, ""I have you in my power.""","And he said, ""I have you under my control."""
"Allò gli piaque, non per voglia mia,","Then how was his pleasure, and no desire of mine,","So, how was his enjoyment, and no aspiration of mine."
Ch’e’ di cinque saette mi piaghasse:,He hurt me with five arrows.,He hit me with five darts.
"La prima à non' Bieltà, per li ochi il core","The first, called Beauty, for the eyes and the heart","The first, called Splendor, for the eyes and the heart."
"Mi passò; la seconda Angielicanza,","He pierced me; the second angelic,","He beat me; the second, Angelicanza."
Quella mi mise sopra gran fredore;,That gave me a bitter cold;,"That gave me a cold, bitter one."
"La terza, Cortesia,    fu san’ dottanza;","The third, no doubt, was Courtesy;","The third, no doubt, was kindness."
"La quarta Compagnia,    che fe’ dolore;","the fourth, Company, caused pain;","The fourth, Society, has caused suffering."
La quinta apella l’uon Buona-Speranza.,The fifth is called Good Hope.,The fifth is called Optimist Hope.
Sentendomi ismagato malamente,Feeling me sickly emptied,Feeling powerless
"Del molto sangue, ch’io avea perduto,",of my blood that I had lost,of my plasma that I had dissipated
E’ non sapea dove trovar aiuto.,"and I didn't know where to find help,",and I didn't know where to seek assistance.
Lo Dio d’Amor si venne a me presente,In a flash there was the God of Love,In an instant there was the Divine Slice.
E dissemi: «Tu•ssai veramente,"and said to me, ""You really know","Everything ""And he said to me, ""You are very well informed."""
Che•ttu mi sè intra•lle man caduto,that you fell into my hands,that you ended up in my clutches
"Per le saette, di ch’i’ t’ò feruto,",thanks to the arrows with which I have wounded you;,Thanks to the darts I hit you with.
Sì ch’e’ convien che•ttu mi sie ubidente».,It's convenient for you to be obedient.,It is fitting for you to be obedient.
Ed i’ risposi: «I’ sì son tutto presto,"And I said, ""I'm ready.","And I said, ""I'm prepared."""
"Di farvi pura e fina fedeltate,","to give you my true and noble loyalty,",to offer my sincere and noble allegiance.
Più ch’assesino a Vellio o a Dio il Presto».,"greater than the killer to the Vigil or the priest to God""",superior of the murderer to the Old or the priest to God
"E quelli allor mi puose, in veritate,","And they put me, verily,","Those, in fact, put me"
"La sua bocha ala mia, sanz’altro aresto,","her mouth to mine, without a break",her mouth to mine without an interval
E disse: «Pensa di farmi lealtate».,"and said, ""Be faithful to me.","And he declared: ""Be loyal to me."
Del mese di gienaio e non di magio,"In January, and not in May,","during the winter, not in the spring."
"Fu, quand’i’ presi Amor a signioria,","He was, when I took the love to be my lord.",It was when I chose affection to be my ruler.
"E ch’i’ mi misi al tutto in sua ballia,","And I put myself at the mercy of everything,",And I gave myself completely to fate.
"E saramento gli feci, e omaggio,",And I praised him serenely.,and peacefully I gave them respect.
E per più sicurtà gli diedi in gaggio,"And as a further guarantee, I gave him a pledge.","As further insurance, I gave him under warranty"
"Il cor, ch’e’ non avesse gielosia","the heart, that was not jealous","The heart, that was not envious"
"Ched i’ fedel e puro i’ no•gli sia,",not to be faithful to him,do not adhere to him
E senpre lui tener a Segniò•Maggio.,and always hold him as my lord and master.,and always keep him as my ruler and ruler.
"Allor que’ prese il cor e disse: «Amico,","Then he took my heart and said, ""Friend,","Soon afterward he took my heart and declared: ""Comrade,"""
I’ son segnior assa’ forte a servire;,I'm a very demanding gentleman to serve.,I'm a very demanding gentleman to please.
"Ma chi mi serve, per cierto ti dico,","But verily I say unto you, He that serveth me,","I'm actually telling you, who I need?"
"Ch’ala mia grazia non può già fallire,","He will never fail to win my favor,",He will never fail to win my appreciation.
"E di buona speranza i’ ’l mi notrico,",and I will nourish him with good hope,and I will feed him with optimism
Infin ch’i’ gli fornischa su’ disire».,Until I've fulfilled your wish.,until I have satisfied his longing.
Con una chiave d’oro mi fermò il core,"With a gold key, love has closed my heart,","With a gold key, love sealed my heart,"
"L’Amor,    quando così m’ebe parlato,","Love, after talking to me,","Love, after exposing me,"
"Ma prima mente l’à nett’e parato,",but first of all he has purified and prepared,"First of all, he purged and prepared."
Sì c’ogni’altro pensier n’à pinto fore.,so that he would drive away every other thought.,so that he exorcised every other thought.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Then he said to me, ""As I am your Lord,","Then he said to me, ""As I am your Sovereign."""
E tu sì sè di me fedel giurato.,And you're a loyal juror to me.,You are a loyal witness to me.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Now make sure your heart isn't busy.,Make sure your heart isn't busy.
Se non di fino e di leal amore.,with anything but noble and true love.,with a passion far from being noble and sincere.
E pensa di portar in pacienza,And remember to be patient,Remember to be patient.
"La pena, che per me avra’ a sofrire,","the pain you will suffer because of me,",the punishment you will suffer because of me.
"Inanzi ch’io ti doni mia sentenza,",Before I give you my verdict.,Before I give you my sentence.
Ché molte volte ti parrà morire:,That many times you think you're gonna die:,That you often dream of extinction.
"Un’ora gioia avrai, altra, doglienza.","One hour you'll be happy, another sad,","In one moment you'll be happy, in another melancholy."
Ma po’ i’ dono argomento di guerire».,but then I give you a cure to heal,"However, then I offer you a cure to heal."
Con grande umilitate e pacienza,With much humility and patience,With great humility and perseverance
"Promisi a Amor a sofferir sua pena,",I promised Love that I would suffer her pain,I promised Love that I would share her torment
"E c’ognie membro, ch’i’ avea, e vena","and that every limb of mine, which I have,","and that every member of mine, which I have and artery"
Disposat’era a farli sua voglienza;,They were ready to do his will.,They were ready to fulfill his desire.
E solo a lui servire la mia credenza,And only he will need my belief,Only to him will my faith be devoted.
"È ferma, né di ciò mai nonn-alena,",and will never cease to do so:,And he'll never stop doing that.
"Insin ched i’ avrò spirito o lena,",As long as I live and breathe,As long as I exist and breathe.
I’ non farò da•cciò giama’ partenza.,I will never stray from this promise.,I will never disagree with this statement.
"E quelli allor mi disse: «Amico meo,","And they said unto me, My friend,","He said to me, ""My comrade,"
I’ ò da•tte miglior pegnio che charte.,Your pledge is better than any written promise:,Your symbol is superior to any written warranty.
"Fa che m’adori, ched i’ son tu’ Deo,",Make you worship me because I am your god;,Let you worship me because I am your divine.
"Ed ogn’altra credenza    metti a parte,",and set aside every other faith:,"Forsake, forsake, all other beliefs."
"Né non creder né Lucha, né Matteo,","do not believe Luke or Matthew,",do not trust Luke or Matthew.
"Né Marco, né Giovanni». Allor si parte.","Not to Mark, not to John. And then he leaves.","Neither to Mark, nor to John, and then he parted."
"Partes’Amor, su’ ale battendo,","Love starts with a blink of wings,",Love starts with a blink of wings.
"E ’n poca d’or sì forte isvanoio,",and in an instant disappeared so quickly,and in an instant he vanished quickly
"Ched i’  no ’l vidi poi, né no•ll’udio,",that I have never seen or heard from him;,"I didn't see it anymore, nor did I hear it."
E•llui e ’l su’ soccorso ancor atendo.,And yet I'm still waiting for him and his assistance.,"However, I am still waiting for him and his help."
Allor mi venni forte ristrignendo,Then I got closer and closer.,Later I got closer and closer.
"Verso del Fior, che•ssì forte m’ulio,",to the Flower whose scent bewitched me,To the Flower whose aroma enchanted me
"E per chu’ feci homagio a questo Dio,",and for whom I paid homage to this god.,and for whom I give devotion to this god.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","I said, ""Who's stopping me from tearing it?""",I asked: Who forbids me to tear it?
"Sì ch’i’ verso del Fior tesi la mano,","And so I stretched out my hand toward the Flower,",So he prostifies his hand towards the Flower.
"Credendolo  aver colto chitamente,",I thought I could handle it freely.,I thought I could handle it easily.
Ed i’  vidi venir un gran villano,"And I saw a big, rude man come.","I saw an impressive, rude man coming."
Con una maza. E’ disse: «Or ti ste’ a mente,"with a stick in his hand, saying, ""Now keep in mind.""","With a stick in your hand, saying: Remember now."
"Ch’i’  son lo Schifo, e sì son ortolano","that I am the Resistance, and that I am the guardian","of freedomI am the Adversary, and I guard sovereignty."
D’esto giardin. I’  ti  farò dolente».,I made him suffer.,of this park. I provoked his suffering.
Molto vilmente mi buttò di fora,"Very rudely, he threw me out.","With great rudeness, he kicked me out."
"Lo Schifo, crudo, fello e oltragioso,","the cruel, vicious and violent resistance,","The ruthless, evil and brutal resistance."
"Sì ch’e’ del Fior non cred’esser gioioso,","so that I think I won't be pleased with the Flower,",So that I think I won't get satisfaction from the Flower.
Se Pietate e Francheza no•ll’acora.,Unless Mercy and Honestness leave with him.,Unless Compassionateness and honesty go away with him.
"Ma prima, credo, converà ch’eo mora,","But before that happens, I think I'm gonna die.","Before it happens, I think I'll die."
Perché ’l me’ cor stà tanto doglioso,since my heart is in so much pain,Since my heart is in so much suffering.
"Di quel villan,  che stava là nascoso,",because of that cheesy man who was hiding there,Because of that cheesy man who was hiding there.
Di chu’ non mi prendea guardia quell’ora.,and against which I took no precautions at that crucial moment.,and against which I did not take any security measures at that decisive moment.
Or m’à messo in pensero e in dottanza,"Now this has made me worry and fear,",Now this has alarmed me and frightened me.
"Di ciò, ched i’ credea aver per ciertano,",for what I thought I had for sure,For what I thought I knew for sure.
Sì c’or me ne par essere in bilanza.,Now it feels like he's at risk.,Now I think he's in danger.
"E tutto ciò m’à fatto quello strano,",And all this did to me that savage!,And all this made me that barbarian!
"Ma di lui mi richiamo a Pietanza,","But I will appeal to Mercy upon him,",I will appeal to Compassionateness upon him.
Che vengha a•llui collo spunton in mano.,so that he can face it with the spear in his hand.,so that he can face him with his sword in his hand.
"Se mastro Arghùs, che fecie la nave,","If Master Argus, who built the ship","If Master Argus, who built the ship"
"In che Giasòn  andò per lo tosone,","that Jason was looking for the Golden Flea,",that Jason was looking for the Gold Jewel
"E fecie a conto regole, e ragione,",and who invented the rules and logic for calculation,and that they have devised the rules and reasonableness for the calculation
"E le diecie figure, com’on save,","and the ten numerical signs, as everyone knows,","And the ten numerical symbols, as everyone knows, are"
"Vivesse,  gli sarebe forte e grave","If he was alive, it would be difficult for him.","If he was alive, it would be hard for him."
"Multiplicar ben ognie mia quistione,",to calculate all problems,"Explore, compute, all questions."
"C’Amor mi move sanza mesprigione,","Love gives me, without error.","Love bestows me, without error."
