Original,Translate_de_1
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","In der Mitte des Weges des menschlichen Lebens fand ich mich in einem dunklen Wald wieder, denn ich hatte den rechten Weg verloren."
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Ach, es ist schwer zu beschreiben, wie dieser Wald war, wild, unergründlich und schrecklich, so dass der Gedanke allein die Angst wiedergibt."
  Tant’è amara che poco è più morte,"Es ist so furchteinflößend, daß der Tod wenig mehr ist; aber um das Gute zu beschreiben, das ich darin gefunden habe, will ich sagen, was ich in ihm gesehen habe."
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","Ich bin nicht in der Lage, zu erklären, wie er hineingekommen ist. Ich war so schlaflos, als ich den richtigen Weg verließ."
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Nachdem ich aber zu den Füßen eines Hügels gekommen war, da war das Tal, das mein Herz betrübt hatte, und ich schaute auf und sah seinen Gipfel, der von den Strahlen der Sonne erleuchtet war, und führte alle Menschen auf den rechten Weg."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","Da beruhigte sich ein wenig die Furcht, die ich in meinem Herzen hatte, jene Nacht, die ich mit großer Angst verbrachte."
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","Und wie ein Schiffbruch, der vom Meer aufs Ufer geworfen ward, sich umdrehte und zu den gefährlichen Wassern sah, aus denen er entronnen war, so wandte sich meine Seele, die noch auf der Flucht war, zurück und sah den Weg, der keinen Menschen am Leben ließ."
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Nachdem ich den müden Leib ein wenig ausgeruht hatte, ging ich wieder entlang der Wüstenhänge des Hügels, so daß der stärkste Fuß immer der niedrigste war."
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Und siehe, am Anfang des Aufstiegs erschien eine schlanke, sehr wendige Leine, bedeckt mit geflecktem Fell."
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","Und er ging nicht vor mir weg, sondern hielt meinen Weg so weit zurück, daß ich gedachte, daß ich wieder umkehre."
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","Es waren die frühen Morgenstunden, und die Sonne stand auf mit jener Konstellation, die mit ihm war der Tag der Schöpfung, da die göttliche Liebe zum ersten Mal diese schönen Dinge bewegte."
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","Also gaben mir die Zeit des Tages und die Frühlingssaison gute Gründe, über dieses wilde Tier zu hoffen."
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"aber nicht so sehr, daß er mir nicht fürchtete, wie mir nachher ein Löwe erschien."
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"Und er schien über mich zu kommen, mit dem hohen Kopf und mit dem hungrigen Hunger, so daß sogar die Luft zu zittern schien."
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","Und siehe, da erschien ein Wolf, der in seiner Schlankheit voll aller Begierden zu sein scheint und viele Menschen veranlaßte, armselig zu leben."
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","und machte mir solche Angst, daß er mich inspirierte, daß ich die Hoffnung verlor, auf den Gipfel des Hügels zu kommen."
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","Und wie der, der willentlich einkauft und dann die Zeit kommt, da er alles verliert, so weint er und betrübt sich in allen Gedanken, so machte er mich zu einem wilden Tier, das gegen mich kam und mich leicht nach unten trieb, wo es keine Sonne gab."
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","Da ich hinabsprang in den Wald, erschien jemand vor meinen Augen, den ich nicht sehen konnte durch die Finsternis."
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","Da ich ihn sah in der Wüste, rief ich zu ihm: Habe Erbarmen mit mir, wer auch immer du bist, eine Seele oder ein Mensch in Fleisch und Blut."
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","Er antwortete mir: ""Nein, ich bin kein Mensch, ich bin es schon gewesen, und meine Eltern waren aus der Lombardei, beide aus Mantua."
