Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""In der Mitte des Pfades des menschlichen Lebens befand ich mich in einem dunklen Wald, denn ich hatte den richtigen Weg verloren."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Ach, es ist schwer zu beschreiben, wie dieser Wald war, wild, unentwirrbar und schrecklich, so dass bei genau dem Gedanken, es macht die Angst zurück"""
  Tant’è amara che poco è più morte,"„ Es ist so erschreckend, daß der Tod wenig mehr so ist: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""aber um das Gute zu beschreiben, das ich darin gefunden habe, werde ich sagen, was andere Dinge darin gesehen haben."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Ich kann nicht erklären, wie ich da reingekommen bin, also war ich voller Schlaf, als ich den rechten Weg verließ."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Aber nachdem ich an den Fuß eines Hügels gekommen war, wo das Tal, das mein Herz vor Angst betrübt hatte, endete, schaute ich auf und sah seinen Gipfel bereits von den Strahlen der Sonne erleuchtet, die jeden Menschen auf den rechten Weg führt."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Dann war die Angst, die ich in meinem Herzen hatte, in jener Nacht, in der ich so viel Angst hatte, ein wenig besänftigt."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Und als der Schiffbrüchige, der mit seinem Atemzug vom Meer auf das Ufer geworfen wurde, sich umdreht und das gefährliche Wasser betrachtet, aus dem es entkam, so kehrte meine Seele, die noch auf der Flucht war, zurück, um den Gang zu beobachten, der nie einen Menschen am Leben gelassen hatte."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Nachdem ich ein wenig den müden Körper ausgeruht hatte, ging ich zurück, um den Wüstenhang des Hügels entlang zu gehen, so dass der festeste Fuß immer der niedrigste war."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Und es erschien, fast zu Beginn des Aufstiegs, eine schlanke und sehr bewegliche Lenden, bedeckt mit geflecktem Haar."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""und wandte sich nicht vor mir ab, sondern verhinderte meine Reise so sehr, dass ich daran dachte, mehrmals zurückzugehen."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Es waren die ersten Stunden des Morgens, und die Sonne ging zusammen mit dieser Konstellation auf, die mit ihm am Tag der Schöpfung war, als die göttliche Liebe diese schönen Dinge zum ersten Mal bewegte."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"Die Tageszeit und die Frühlingszeit gaben mir also einen guten Grund, gut auf dieses gefleckte Tier zu hoffen."
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""aber nicht bis zu dem Punkt, dass ich keine Angst vor dem Anblick hatte, der mir unmittelbar danach erschien, vor einem Löwen"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Dies schien gegen mich zu kommen, mit seinem Kopf hoch und mit einem wütenden Hunger, bis zu dem Punkt, dass auch die Luft schien zu zittern"""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Und siehe, ein Wolf erscheint, dass in ihrer Not scheint voll aller Wünsche und bewegt viele Menschen zu leben kläglich."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Das verursachte mir solche Angst, mit dem Schrecken, der mir sein Aussehen inspirierte, dass ich die Hoffnung verlor, die Spitze des Hügels zu erreichen."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","Und er machte mich zum Tier ohne Frieden, daß er mich nach und nach niederwarf, wo keine Sonne war."
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Während ich das Tal hinunter in den Wald rutschte, erschien jemand vor meinen Augen, der durch die Schatten nicht gut sehen konnte."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","Als ich ihn in der Wüste sah, rief ich zu ihm: Erbarme dich meiner, wer immer du bist, eine Seele oder ein Mensch im Fleisch."
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Ich antwortete: ""Nein, ich bin kein Mann, ich war schon, und meine Eltern waren aus der Lombardei, beide Eingeborenen von Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Ich wurde unter der Regierung von Julius Cäsar geboren, obwohl in den letzten Jahren, und lebte in Rom unter der Regierung des guten Kaisers Augustus, zur Zeit der heidnischen Götter."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Ich war Dichter und sang von dem gerechten Sohn Anchises, der vor Troja floh, nachdem der hochmütige Iljo verbrannt war."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","Warum aber kehrst du zum Bösen des Waldes zurück? Warum führst du nicht den freudigen Hügel, der der Anfang und die Ursache aller Glückseligkeit ist?"
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","Sind Sie also diese Virgil und die Quelle, die einen so großen Fluss von Worten ausbreitet?"
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""O ihr, die ihr das Licht und die Führung anderer Dichter seid, möge die lange Verpflichtung und große Liebe, die mich dazu bewegt haben, eure Arbeit zu lesen, mir helfen."""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Du bist mein Lehrer und mein Model, du bist der einzige, aus dem ich den schönen Stil gezeichnet habe, der mich berühmt machte"
  Vedi la bestia per cu’ io mi volsi,"Sehen Sie die Bestie, die mich umgedreht hat."
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""Hilf mir von ihr, einem berühmten Weisen, denn sie lässt jeden Tropfen meines Blutes erzittern"""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""Du musst eine andere Reise machen, er antwortete mir, nachdem er mich weinen sah, wenn du dich von diesem wilden Ort retten willst."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""In der Tat, die Bestie, die dich schreien lässt, lässt niemanden seinen Weg gehen, sondern hindert ihn daran, ihn zu töten."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""Und er hat so eine böse und böse Einstellung, dass er nie seine Lust befriedigen kann, und nach jeder Mahlzeit ist er hungriger als zuvor."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Es gibt viele Tiere, zu denen sie sich paart, und sie werden immer mehr sein, bis der Jagdhund kommt, der sie mit Schmerzen sterben lässt."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""Dieser wird sich nicht um materielle Reichtümer kümmern, sondern nur um geistliche Reichtümer, und seine Geburt wird zwischen gefühlt und gefühlt stattfinden."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""Es wird das Heil jenes bescheidenen Italiens sein, also starben sie in der Schlacht Eurialo und Niso, Turno, der Jungfrau Camilla"""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""Er wird sie für jede Stadt jagen, bis er sie in die Hölle zurückgebracht hat, aus der sie zum ersten Mal Neid hervorbrachte."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","Darum denke und richte ich zu deinem Guten, daß du mir folgest, und will dich leiten, und will dich von diesem Ort wegnehmen, daß ich dich an den Ort der Unterwelt führe,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""wo ihr die verzweifelten Schreie hören und die alten Seelen der Verdammten sehen werdet, von denen jede den endgültigen Tod anruft"""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""Und dann wirst du diejenigen sehen, die glücklich sind, Schmerzen zu erleiden, weil sie eines Tages hoffen, die Seligen des Paradieses zu erreichen."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""Und wenn du hinaufgehen willst und das Letzte besuchen willst, dann wird eine Seele von mir würdiger sein, dich zu führen: Wenn ich fortgehe, werde ich dich bei ihr lassen."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","""Denn der Kaiser, der da oben regiert, will nicht, daß ich in seine Stadt komme, weil ich widerspenstig war gegen sein Gesetz."""
  In tutte parti impera e quivi regge,Gott hat Macht im ganzen Universum und im Paradies regiert er
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"""Hier ist seine Stadt und sein anderer Thron: oh, glücklich ist, wer an diesem Ort wohnen will."""
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Und ich sprach zu ihm: Poet, im Namen jenes Gottes, den du nicht gekannt hast, und dass ich vor diesem Übel fliehen kann, und noch schlimmer, ich bitte dich, dich dahin zu führen, wohin du gesagt hast, damit ich das Tor des heiligen Petrus sehe und die, die so elend beschreiben."""
"  Allor si mosse, e io li tenni dietro","""Dann machte er sich auf, und ich folgte ihm."""
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro","""Der Tag war fast vorbei, und die Dunkelheit nahm die Tiere, die auf dem Boden sind, von ihren Arbeiten."""
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""und ich war der Einzige, der bereit war, einem ängstlichen und schrecklichen Pfad entgegenzutreten, den mein unfehlbarer Geist beschreiben wird"""
"  O muse, o alto ingegno, or m’aiutate","""O Muse, oder hohe poetische Einfallsreichtum, hilf mir"""
" o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate","""Gewiß, du hast aufgeschrieben, was du gesehen hast, hier wirst du deinen Adel beweisen müssen."""
"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","""Ich begann zu sagen: ""Poet, der mich führt, bewertet, ob meine Tugend ausreicht, bevor er mich auf diese anstrengende Reise führt"""
"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","""Du sagst, dass Silvios Vater, noch am Leben, mit seinem ganzen Körper in das Jenseits im Fleisch gegangen ist."""
"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","""Daher, wenn der Feind des Bösen war freundlich zu ihm, der Mensch und seine Verdienste nicht unwürdig erscheinen einem Mann mit Intellekt, wenn man an die hohe Wirkung denkt, die von ihm produziert werden sollte."""
" ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","""In der Tat wurde er im Reich als Gründer des noblen Roms und seines Reiches gewählt; und Rom und sein Reich, um die Wahrheit zu sagen, wurden als heiliger Sitz errichtet, wo der Nachfolger des ersten Papstes wohnt."""
"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","""Dank dieser Reise, die Sie erzählen, hörte Enea Dinge, die ihn zum Sieg führten und produzierte den päpstlichen Mantel."""
"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione","""Dann ging dorthin das Instrument der Wahl, um den Glauben zu festigen, der der Anfang zum Weg der Erlösung ist."""
"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono","""Aber warum sollte ich gehen? Wer gewährt es? Ich bin nicht Aeneas, noch St Paul"""
 me degno a ciò né io né altri ’l crede,"Weder ich noch jemand sonst glaubt, dass ich dieser Aufgabe gewachsen bin."
"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","""Wenn ich also zustimme, dir zu folgen, fürchte ich, dass meine Reise Wahnsinn ist."""
" Se’ savio intendi me’ ch’i’ non ragiono""","""Du bist weise, du verstehst besser, als ich es erklären kann"""
"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","""Und wie der, der nicht mehr will, was er will, und seine Meinung ändert, weil er neue Gedanken hat, so dass er sich völlig von seinen Absichten zurückzieht, so wurde ich an diesen dunklen Orten, weil das Denken darüber der Aufgabe ein Ende setzte, die am Anfang so schnell war."""
"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","""Der Schatten dieses edlen Mannes antwortete: ""Wenn ich deine Worte gut verstanden habe, ist deine Seele ein Opfer der Feigheit."""
"  la qual molte fïate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra","""die den Menschen oft unterdrückt und ihn dazu bringt, von einem ehrenhaften Unterfangen abzulassen, genauso wie ein falsches Bild einen Tierstumpf macht, wenn er beschattet wird."""
