Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""In the middle of the path of human life, I found myself in a dark forest, for I had lost the right path."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Alas, it is difficult to describe what that forest was like, wild, inextricable and terrible, so that at the very thought it makes the fear return"""
  Tant’è amara che poco è più morte,"""It is so frightening that death is little more so: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""but to describe the good that I found in it, I will say what other things I have seen in it."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""I can't explain how I got in there, so I was full of sleep when I left the right way."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""But after I came to the foot of a hill, where that valley that had made my heart grieved with fear ended, I looked up and saw its peak already illuminated by the rays of the sun, which leads every man to the right path."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Then the fear that I had in my heart, that night that I spent with so much anguish, was a little appeased."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""And as the shipwreck that with its breath of breath, thrown from the sea on the shore, turns and looks at the dangerous waters from which it escaped, so my soul, which was still on the run, turned back to observe the passage that never left any man alive."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""After I had rested a little the tired body, I went back to walk along the desert slope of the hill, so that the firmest foot was always the lowest."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""And there appeared, almost at the beginning of the ascent, a slender and very agile loin, covered with spotted hair."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""and did not turn away before me, but prevented my journey so much that I thought of going back several times."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""It was the first hours of the morning, and the sun was rising together with that constellation that was with him on the day of Creation, when divine love moved those beautiful things for the first time."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,So the time of day and the spring season gave me good reason to hope well about that spotted beast.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""but not to the point that I was not afraid of the sight, which appeared to me immediately afterwards, of a lion"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""This seemed to come against me, with his head high and with an angry hunger, to the point that even the air seemed to tremble"""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""And behold, a wolf appears, that in her wretchedness seems full of all desires and moved many people to live miserably."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""This caused me such anguish, with the terror that inspired me his appearance, that I lost the hope of reaching the top of the hill."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""so he made me the beast without peace, that coming against me pushed me little by little down, where there was no sun."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""While I was slipping down the valley to the forest, someone appeared before my eyes who could not see well by the shadows."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""When I saw him in the wilderness, I cried to him, ""Have mercy on me, whoever you are, a soul or a man in the flesh."""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""I replied, ""No, I am not a man, I have already been, and my parents were from Lombardy, both natives of Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""I was born under the government of Julius Caesar, though in recent years, and lived in Rome under the government of the good emperor Augustus, at the time of the pagan gods."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""I was a poet, and I sang of that righteous son of Anchise who fled from Troy after the haughty Ilio was burned."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""But why do you return to the evil of the forest? Why do you not lead the joyful hill, which is the beginning and cause of all happiness?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte",So are you that Virgil and the spring that spreads such a vast river of words?
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""O you who are the light and guidance of other poets, may the long commitment and great love that have moved me to read your work help me"""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","You are my teacher and my model, you are the only one from whom I drew the beautiful style that made me famous"
  Vedi la bestia per cu’ io mi volsi,See the beast that turned me around.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""Help me from her, a famous wise man, for she makes every drop of my blood tremble"""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""You must make another journey, he answered me after seeing me weep, if you want to save yourself from this wild place."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""In fact, the beast that makes you scream doesn't let anyone walk his way, but prevents him to the point of killing him."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""And he has such an evil and evil disposition that he can never satisfy his lust, and after every meal he is more hungry than before."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""There are many animals to which she mates, and they will be more and more, until the hunting dog arrives that will cause her to die with pain."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""This one will not care for material riches, but only for spiritual riches, and his birth will take place between felt and felt."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""It will be the salvation of that humble Italy, so they died in battle Eurialo and Niso, Turno, the virgin Camilla"""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""He will hunt her down for every city, until he has put her back into hell, from where envy brought her forth for the first time."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""Therefore I think and judge for thy good that thou shouldest follow me, and I will guide thee, and I will take thee away from this place to lead thee to the place of the underworld,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""where you will hear the desperate cries and see the ancient souls of the damned, each of whom invokes definitive death"""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""And then you will see those who are happy to suffer pain, because they hope one day to reach the Blesseds of Paradise."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""And if you want to go up and visit the latter, then there will be a soul more worthy of me to guide you: when I go away, I will leave you with her."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","""For that emperor who reigns up there does not want me to enter into his city, because I was rebellious to his law."""
  In tutte parti impera e quivi regge,God has authority throughout the Universe and in Paradise he governs
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"""Here is his city and his other throne: oh, happy is he who chooses to reside in that place."""
