Original,Translate_es_1
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","En la mitad del camino de la vida humana, me encontré en un bosque oscuro, porque había perdido el camino correcto"
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Ay, es difícil describir cómo era ese bosque, salvaje, inextricable y tremendo, de tal manera que al pensar sólo vuelve el miedo"
  Tant’è amara che poco è più morte,"Es tan aterrador que la muerte es poco más que eso; pero para describir el bien que he encontrado en ella, diré qué otras cosas he visto en ella"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte",No puedo explicar cómo entró ahí. Estaba tan lleno de sueño en el momento en que dejé el camino correcto.
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Pero después que llegué a los pies de una colina, allí donde terminaba aquel valle que me había entristecido el corazón de miedo, alcé la mirada y vi su cumbre ya iluminada por los rayos del sol, que lleva a todo hombre por el camino correcto"
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","Entonces se apaciguó un poco el miedo que había tenido en lo más profundo de mi corazón, aquella noche que pasé con tanta angustia"
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","Y como el naufragio que con la respiración afanosa, arrojado por el mar a la orilla, se vuelve y mira las aguas peligrosas de las que escapó, así mi alma, que todavía estaba huyendo, se volvió hacia atrás para observar el paso que nunca dejó pasar vivo a ningún hombre"
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Después de descansar un poco el cuerpo cansado, volvió a caminar por la ladera del desierto de la colina, de modo que el pie más firme era siempre el más bajo"
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Y he aquí que apareció, casi al principio de la subida, una loza delgada y muy ágil, cubierta de pelo maculado"
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","Y no se alejaba delante de mí, sino que detenía tanto mi camino que pensé varias veces en volver atrás."
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","Eran las primeras horas de la mañana, y el sol estaba saliendo junto con la constelación que estaba con él el día de la Creación, cuando el amor divino movió por primera vez esas hermosas cosas"
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle",Así que la hora del día y la temporada de primavera me daban buenas razones para esperar bien con respecto a esa bestia de piel molida.
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"Pero no hasta el punto de que no me daba miedo la vista, que me apareció inmediatamente después, de un león"
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"Estos parecían venir contra mí, con la cabeza alta y con hambre rabiosa, hasta el punto de que hasta el aire parecía temblar"
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","Y he aquí que aparece una loba, que en su delgadez parece llena de todos los deseos y motivó a muchas personas a vivir miserablemente"
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","Esta me causó tanta angustia, con el terror que me inspiraba su aspecto, que perdí la esperanza de alcanzar la cima de la colina"
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","Y como el que compra con gusto, y luego llega el tiempo en que pierde todo, por lo cual llora y se entristece en todo pensamiento, así me hizo la bestia sin paz, que viniendo contra mí me empujaba poco a poco hacia abajo, donde no había sol"
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","Mientras yo resbalaba hacia el bosque, apareció ante mis ojos alguien que no podía ver bien por la penumbra"
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","Cuando vi a este hombre en el desierto, le grité: --Ten misericordia de mí, sea quien seas, un alma o un hombre en carne y hueso"
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","Me dijo: No, no soy un hombre, ya lo he sido, y mis padres fueron de Lombardía, ambos nativos de Mantua"
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","Nací bajo el gobierno de Julio César, aunque en los últimos años, y viví en Roma bajo el gobierno del buen emperador Augusto, en el tiempo de los dioses paganos"
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","Fui poeta, y canté de aquel justo hijo de Anquise que huyó de Troya después que el soberbio Ilio fue quemado"
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","Pero tú, ¿por qué vuelves al mal del bosque? ¿Por qué no escalas la colina gozosa, que es principio y causa de toda felicidad?"
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""",¿Entonces tú eres el Virgilio y el manantial que derrama un río tan grande de palabras? Le respondí avergonzado
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","Oh tú, que eres luz y guía de los otros poetas, que me ayuden el largo compromiso y el gran amor que me han movido a leer tu obra"
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume",Tú eres mi maestro y mi modelo.
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore",Tú eres el único del que saqué el hermoso estilo que me hizo famoso.
  Vedi la bestia per cu’ io mi volsi,Ves la bestia que me dio la vuelta.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","Ayúdame de ella, famoso sabio, porque hace temblar cada gota de mi sangre."
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","Tú tienes que hacer otro viaje, y me contestó después de verme llorar, si quieres salvarte de este lugar salvaje"
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","De hecho, la bestia que te hace gritar no deja pasar a nadie por su camino, pero lo impide hasta el punto de matarlo."
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","Y tiene una naturaleza tan malvada y malvada que nunca puede satisfacer su anhelo, y después de cada comida tiene más hambre que antes"
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","Son muchos los animales a los que se aparean, y serán cada vez más, hasta que llegue el perro de caza que la hará morir con dolor"
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","Este no cuidará de las riquezas materiales, sino sólo de las espirituales, y su nacimiento será entre fieltro y fieltro"
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","Será la salvación de aquel humilde Italia, por lo que murieron en batalla Eurialo y Niso, Turno, la virgen Camilla"
