Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""En medio del camino de la vida humana, me encontré en un bosque oscuro, porque había perdido el camino correcto."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Ay, es difícil describir cómo era ese bosque, salvaje, inextricable y terrible, de modo que al pensar en sí mismo hace que el miedo vuelva"""
  Tant’è amara che poco è più morte,"""Es tan aterrador que la muerte es poco más que: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""pero para describir el bien que encontré en él, diré qué otras cosas he visto en él."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""No puedo explicar cómo entré ahí, así que estaba lleno de sueño cuando me fui por el camino correcto""."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Pero después de llegar al pie de una colina, donde terminó ese valle que había hecho que mi corazón se entristeciera de miedo, miré hacia arriba y vi su pico ya iluminado por los rayos del sol, que conduce a cada hombre al camino correcto."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Entonces el temor que tenía en mi corazón, aquella noche que pasé con tanta angustia, fue un poco apaciguado."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Y como el naufragio que con su aliento, arrojado del mar en la orilla, gira y mira las aguas peligrosas de las que escapó, así mi alma, que todavía estaba en la carrera, se volvió para observar el paso que nunca dejó vivo a ningún hombre."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Después de haber descansado un poco el cuerpo cansado, volví a caminar por la ladera del desierto de la colina, para que el pie más firme fuera siempre el más bajo."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Y apareció, casi al principio del ascenso, un lomo delgado y muy ágil, cubierto de pelo manchado."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""y no se apartó ante mí, sino que impidió tanto mi viaje que pensé en volver varias veces."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Eran las primeras horas de la mañana, y el sol salía junto con esa constelación que estaba con él en el día de la Creación, cuando el amor divino movió esas cosas hermosas por primera vez."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,Así que la hora del día y la temporada de primavera me dieron una buena razón para esperar bien acerca de esa bestia manchada.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""pero no hasta el punto de que no tenía miedo de la vista, que se me apareció inmediatamente después, de un león"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Esto parecía venir contra mí, con la cabeza en alto y con un hambre airada, hasta el punto de que incluso el aire parecía temblar"""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Y he aquí un lobo aparece, que en su miseria parece lleno de todos los deseos y movió a mucha gente a vivir miserablemente."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Esto me causó tanta angustia, con el terror que me inspiró su apariencia, que perdí la esperanza de llegar a la cima de la colina."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""Así que me hizo la bestia sin paz, que viniendo contra mí me empujaba poco a poco hacia abajo, donde no había sol."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Mientras me deslizaba por el valle hacia el bosque, alguien apareció ante mis ojos que no podía ver bien por las sombras."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""Cuando lo vi en el desierto, le clamé: Ten misericordia de mí, quienquiera que seas, de un alma o de un hombre en la carne."""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Yo respondí, ""No, no soy un hombre, ya lo he sido, y mis padres eran de Lombardía, ambos nativos de Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Nací bajo el gobierno de Julio César, aunque en los últimos años, y viví en Roma bajo el gobierno del buen emperador Augusto, en la época de los dioses paganos."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Yo era un poeta, y canté de ese hijo justo de Anchise que huyó de Troya después de que el altivo Ilio fue quemado."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Pero, ¿por qué regresas al mal del bosque? ¿Por qué no conduces el monte gozoso, que es el principio y causa de toda felicidad?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","Entonces, ¿eres tú esa Virgil y la primavera que extiende un vasto río de palabras?"
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""Oh vosotros que sois la luz y la guía de otros poetas, que el largo compromiso y el gran amor que me han movido a leer vuestro trabajo me ayuden"""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Eres mi maestro y mi modelo, eres el único de quien dibujé el hermoso estilo que me hizo famoso."
  Vedi la bestia per cu’ io mi volsi,Mira a la bestia que me dio la vuelta.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""Ayúdame de ella, un famoso sabio, porque ella hace temblar cada gota de mi sangre"""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""Debes hacer otro viaje, me respondió después de verme llorar, si quieres salvarte de este lugar salvaje."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""De hecho, la bestia que te hace gritar no deja a nadie caminar su camino, pero le impide hasta el punto de matarlo."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""Y tiene una disposición tan mala y mala que nunca podrá satisfacer su lujuria, y después de cada comida tiene más hambre que antes."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Hay muchos animales a los que se aparea, y serán cada vez más, hasta que llegue el perro de caza que la hará morir de dolor."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""Este no se ocupará de las riquezas materiales, sino sólo de las riquezas espirituales, y su nacimiento tendrá lugar entre lo sentido y lo sentido."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""Será la salvación de esa humilde Italia, así que murieron en batalla Eurialo y Niso, Turno, la virgen Camilla"""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""Él la perseguirá por cada ciudad, hasta que la haya vuelto al infierno, de donde la envidia la sacó por primera vez."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""Por tanto, pienso y juzgo por tu bien que me sigas, y te guiaré, y te quitaré de este lugar para llevarte al lugar del inframundo,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""donde escucharéis los gritos desesperados y veréis las almas antiguas de los condenados, cada uno de los cuales invoca la muerte definitiva"""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""Y entonces verás a aquellos que están felices de sufrir dolor, porque esperan llegar algún día a los Beatos del Paraíso."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""Y si quieres subir y visitar a este último, entonces habrá un alma más digna de mí para guiarte: cuando me vaya, te dejaré con ella."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","""Porque el emperador que reina allá arriba no quiere que entre en su ciudad, porque fui rebelde a su ley."""
  In tutte parti impera e quivi regge,Dios tiene autoridad en todo el Universo y en el Paraíso gobierna
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"""Aquí está su ciudad y su otro trono: Oh, feliz es el que elige residir en ese lugar."""
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Y yo le dije: Poeta, en el nombre de aquel Dios que no has conocido, y para que huya de este mal, y de otro peor, te pido que te guíes a donde has dicho, para que vea la puerta de San Pedro, y a los que tan miserables describen."""
"  Allor si mosse, e io li tenni dietro","""Entonces él salió, y yo lo seguí."""
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro","""El día casi había terminado, y las tinieblas quitaron de sus labores a los animales que estaban en la tierra."""
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""y yo fui el único que se preparó para enfrentar una angustia y un terrible camino, que mi mente infalible describirá"""
"  O muse, o alto ingegno, or m’aiutate","""Oh musa, o gran ingenio poético, ayúdame"""
