Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","« Au milieu du chemin de la vie humaine, je me suis retrouvé dans une forêt sombre, car j'avais perdu la bonne voie. »"
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Malheureusement, il est difficile de décrire ce que cette forêt était, sauvage, inextricable et terrible, de sorte qu'à la pensée même elle fasse revenir la peur"""
  Tant’è amara che poco è più morte,"""Il est si effrayant que la mort en soit un peu plus: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""mais pour décrire le bien que j'y ai trouvé, je dirai ce que j'y ai vu d'autre."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Je ne peux pas expliquer comment j'y suis entré, alors j'étais pleine de sommeil quand j'ai quitté le bon chemin."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Mais après que je suis arrivé au pied d'une colline, où s'est terminée la vallée qui avait affligé mon cœur par la peur, je regardai et vis son sommet déjà illuminé par les rayons du soleil, qui conduit chacun sur le droit chemin."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Alors la peur que j'avais dans mon cœur, cette nuit où j'ai passé avec tant d'angoisse, fut un peu apaisée."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Et comme le naufrage qui, avec son souffle, jetait de la mer sur le rivage, tourne et regarde les eaux dangereuses dont il s'est échappé, ainsi mon âme, qui était encore en fuite, se retourna pour observer le passage qui n'a jamais laissé personne en vie."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Après avoir reposé un peu le corps fatigué, je suis retourné marcher le long de la pente désertique de la colline, de sorte que le pied le plus ferme était toujours le plus bas."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Et il est apparu, presque au début de l'ascension, une longe mince et très agile, recouverte de cheveux tachetés."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""et ne se détourna pas devant moi, mais empêcha tellement mon voyage que j'ai pensé revenir plusieurs fois."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""C'était les premières heures du matin, et le soleil se levait avec la constellation qui était avec lui le jour de la Création, quand l'amour divin a ému ces belles choses pour la première fois."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,L'heure du jour et la saison du printemps m'ont donné de bonnes raisons d'espérer que cette bête tachetée.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""mais pas au point que je n'avais pas peur de la vue, qui m'est apparue immédiatement après, d'un lion"""
