id,Original,Translate
0,"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""All'incirca a metà della mia esistenza, mi ritrovai disperso in un bosco buio, poiché avevo smarrito la via corretta."""
1," Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura","""C'era una foresta tremenda, inestricabile e selvaggia al punto che anche solo l'idea di esserci all'interno fa prendere paura."""
2,"  Tant’è amara che poco è più morte","""È così spaventosa che la morte è quasi poca cosa, "
3," ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","ma per descrivere il bene che ho trovato al suo interno, posso parlare di altre cose che vi ho visto."""
4,"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Non avevo il lucido per descrivere come se ne sia entrato, ero così assonnato quando ho imboccato la strada giusta."""
5,"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Dopo aver raggiunto i piedi di un colle, alla fine della valle che aveva suscitato in me timore e tristezza, alzai gli occhi ed ebbi la visione della sua sommità illuminata dalla luce del sole, indicandomi la via giusta da seguire."""
6,"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Quella notte trascorsi con una profonda ansia che avevo sentito nel mio cuore, ma poi la paura si placò un po'."""
7,"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Simile al naufrago gettato sulla riva, che con ansia osserva le acque tempestose dalle quali è stato salvato, così anch'io volsi lo sguardo alla terribile via che non lasciava trasparire alcuna fuga di salvezza."""
8,"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Terminata la breve pausa che avevo concesso al mio corpo stanco, ripresi a salire il pendio deserto del colle, mettendo sempre il piede più saldo sul terreno più in basso."""
9,"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Adagiata sul pendio che precedeva l'inizio della salita, una lonza snella e scattante coperta da un manto di pelo maculato si profilò all'orizzonte."""
