Original,Translate_de_1
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","In der Mitte meines Lebens war ich in einem dunklen Wald verstreut, weil ich den richtigen Weg verpasst hatte."
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Es gab einen furchteinflößenden, unerschöpflichen und wilden Wald bis zu dem Punkt, dass nur die Idee, drin zu sein, Angst macht."
  Tant’è amara che poco è più morte,"Es ist so beängstigend, dass der Tod fast nichts ist, aber um das Gute zu beschreiben, das ich in ihm gefunden habe, kann ich über andere Dinge sprechen, die ich euch gesehen habe."
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","Ich konnte nicht beschreiben, wie er reinkam. Ich war so schläfrig, als ich den richtigen Weg ging."
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Nachdem ich die Füße eines Hügels erreicht hatte, am Ende des Tales, das in mir Furcht und Traurigkeit geweckt hatte, hob ich meine Augen auf und sah seine Höhe, die vom Sonnenlicht erleuchtet war, und zeigte mir den richtigen Weg."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","In jener Nacht verbrachte ich mit einer tiefen Angst, die ich in meinem Herzen gespürt hatte, aber dann beruhigte sich die Angst ein wenig."
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","Ähnlich dem Schiffbruch am Ufer, der mit Sorge die stürmischen Wasser, aus denen er gerettet wurde, beobachtete, so wandte auch ich den Blick auf den schrecklichen Weg, der keine Flucht der Rettung durchdringen ließ."
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Nachdem ich die kurze Pause, die ich meinem müden Körper gewährt hatte, beendet hatte, ging ich wieder den Wüstenhang des Hügels hinauf und legte immer den stärksten Fuß auf den unteren Boden."
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Auf dem Hang, der dem Beginn des Aufstiegs vorausging, legte sich eine schlanke, schlanke Leine, die mit einem gefleckten Fellmantel bedeckt war, am Horizont ab."
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","Er ging nicht zurück, als ich bei ihm ankam, sondern sperrte mich so oft durch, daß ich ernsthaft daran dachte, zurückzugehen."
