Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""Um die Hälfte durch meine Existenz, fand ich mich in einem dunklen Holz verloren, weil ich den richtigen Weg verloren hatte."""
" Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura","""Es gab einen schrecklichen Wald, unzertrennlich und wild, bis zu dem Punkt, dass selbst die Idee, drinnen zu sein, dich Angst macht."""
"  Tant’è amara che poco è più morte","""Es ist so erschreckend, dass der Tod fast gering ist,"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","aber um das Gute zu beschreiben, das ich darin gefunden habe, kann ich über andere Dinge sprechen, die ich dich gesehen habe."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Ich hatte nicht die Klarheit zu beschreiben, wie er reinkam, ich war so müde, als ich den richtigen Weg eingeschlagen habe."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Nachdem ich die Füße eines Hügels erreicht hatte, am Ende des Tales, das Angst und Traurigkeit in mir geweckt hatte, hob ich meine Augen empor und ließ die Vision seines Gipfels vom Licht der Sonne erleuchten und zeigte mir den richtigen Weg zu folgen."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Diese Nacht verbrachte ich mit einer tiefen Angst, die ich in meinem Herzen gefühlt hatte, aber dann ging die Angst ein wenig nach."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Ähnlich dem Schiffswrack, das auf das Ufer geworfen wurde, das ängstlich die stürmischen Wasser beobachtet, aus denen er gerettet wurde, so sah ich auch den schrecklichen Weg, der keine Rettung zu sehen gab."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Nach der kurzen Pause, die ich meinem müden Körper gegeben hatte, stieg ich wieder auf den Wüstenhang des Hügels und setzte immer den stärksten Fuß auf den Boden tiefer."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Das Hotel liegt auf dem Hang, der dem Anfang des Aufstiegs vorausging, ein schlanker und schnupper Löwe mit einem Mantel von gefleckten Haar profiliert am Horizont bedeckt."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""Er stand nicht beiseite, als ich zu seiner Anwesenheit kam, in der Tat blockierte er die Passage so oft, dass ich ernsthaft daran dachte, umzukehren."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""In den frühen Morgenstunden, als die Sonne zusammen mit dieser Konstellation der Schöpfung aufging, begann die göttliche Liebe schöne Dinge zu bewegen."""
" sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione",Die Helligkeit der Sonne und die im Frühling geblühten Blumen gaben Anlass für den schönen gefleckten Tiger.
" ma non sì che paura non mi desse la vista che m'apparve d'un leone","""Aber trotz allem, fühlte ich mich erschrocken angesichts der plötzlichen Vision eines Löwen"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Dieses Individuum ging auf mich zu, mit einer starken und wütenden Luft, bis zu dem Punkt, dass sogar die Atmosphäre zu zittern schien."""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Ein Wolf profilierte sich am Horizont, so dünn wie Verlangen und Vergraben mit seiner Gegenwart die Armut vieler."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Ich fühlte mich so ängstlich und hatte solche Angst beim Anblick seines Aussehens, dass ich das Vertrauen verlor, auf den Gipfel des Hügels zu gelangen."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""so machte er mich zum wilden Tier ohne Frieden, das mich nach und nach zu mir kam, wo es kein Licht gab."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Ich ging in den Wald hinab, eine Figur, die vor meinen Augen in der Dunkelheit profiliert wurde, aber ich konnte sie nicht klar unterscheiden."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""Als er in Verwüstung erschien, rief ich laut: ""Habt Erbarmen mit mir, was auch immer ihr seid - ein Geschöpf oder jemand, der wirklich existiert!"""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Ich antwortete: ""Nein, ich bin kein Mann mehr, ich war es vorher. Meine Eltern waren ursprünglich aus der Lombardei und beide kamen aus Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Ich wurde unter der Herrschaft von Julius Cäsar geboren, aber ich lebte in Rom während des friedlichen und wohlhabenden Reiches des bedeutenden Augustus, in einer Zeit, in der die alten heidnischen Kulte noch stark praktiziert wurden."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Ich sang von Aeneas, dem Sohn Anchises, der sich vor dem Fall des stolzen Troja rettete, der von den Flammen verzehrt wurde."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Warum wählt ihr nicht den freudigen Hügel, der die Quelle des Wohlergehens ist, anstatt zum Bösen des Waldes zurückzukehren?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","""Sie sind also Virgilio und dieser Frühling, der einen so großen Fluss von Worten fließt?""""Ich fragte ihn peinlich."""
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""Ich bitte euch, meine Schritte zu erleuchten, eine helle Gestalt unter anderen Dichtern; die Kraft der Hingabe und Zuneigung, die mich dazu veranlasst hat, mich in eurer Arbeit zu unterweisen, ist alles, was ich brauche."""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Ich betrachte Sie als Meister und ein Beispiel, ich behandelte meinen schönen Stil allein, was mich berühmt machte."
"  Vedi la bestia per cu’ io mi volsi","Ich sah die Kreatur, die mich zwang, die Richtung zu ändern."
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""O großer weiser Mann, deine Kraft schüttelt jeden Tropfen meines Blutes, also hilf mir bitte."""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""Wenn du dieses wilde Land loswerden willst, musst du ein weiteres Abenteuer machen"", antwortete er, nachdem er mich weinen sah."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""Niemand kann durch den Weg des Tieres gehen, das zu schreiendem Schmerz der Vernichtung führt."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""Sein teuflischer Charakter hat ihm nie erlaubt, seine Gier zu befriedigen, und jedes Mal, wenn er isst, ist er noch hungriger."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Tiere wählen einen Gefährten, der immer mehr wächst, bis der Jagdhund kommt, der sie mit Leid sterben lässt."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""Dieser kümmert sich nicht um materielles Wohlbefinden, sondern sucht spirituelle Inspiration und wird seine Heimat unter dem Filzgewebe finden."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""Es wird das Heil des edlen Italiens sein, für das Eurialo und Niso ihr Leben in der Schlacht verloren haben, Turno und Camilla, die Jungfrau, ertrugen Schmerzen."""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""Er wird sie in allen Teilen der Welt jagen, bis er sie in die Hölle zurückgeschickt hat, von wo sie zum ersten Mal aus Neid ausgesandt wurde."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""Ich denke, es liegt in deinem größten Interesse, dorthin zu gehen, wo ich hingehe, mich dich führen und dich an einen Ort der Welten jenseits bringen zu lassen."""
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""Ihr werdet die gequälten Schatten der Verlorenen sehen, verzweifelt weinend und um das endgültige Ende bittend."""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","Diejenigen, die sich über die Strafe freuen, denn sie vertrauen auf die Erleuchtung des Paradieses in der Zukunft."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""Wenn du dich entschließt, diese Orte zu besuchen, wird es eine andere Person geben, die dich besser begleitet als mich: Wenn ich gehe, wirst du in guten Händen sein."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","Dieser Herrscher oben gewährt mir keinen Zugang zu seiner Stadt, weil meine Rebellion gegen sein Gesetz bekannt ist."
"  In tutte parti impera e quivi regge",Die Menschen erkennen Gottes Souveränität über jeden Ort im Universum und im Paradies Er regiert triumphierend.
" quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge","""Oh, selig ist, wer in dieser Stadt wohnen will, mit seinem zweiten Thron!"""
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Dann sagte ich zu dem Dichter: ""Ich bete im Namen jenes Gottes, von dem Sie nie gewusst haben, dass er frei von diesem Leiden und noch größeren anderen ist, ich bitte Sie, mich dorthin zu führen, wo Sie gesagt haben, so dass ich die Tür des heiligen Petrus und die Menschen so verletzt sehen kann, wie beschrieben."""
"  Allor si mosse, e io li tenni dietro","""Er begann seine Reise, und ich begleitete ihn."
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro",Die Annäherung an die Nacht unterbrach die Bemühungen der auf der Erde lebenden Tiere.
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""Ich war der Einzige, der mich auf die Angst und den Schrecken der Straße vorbereitete, die vorankommen wird, eine Strecke, die so klar ist, als ob sie von meinem unfehlbaren Geist gemalt worden wäre."""
"  O muse, o alto ingegno, or m’aiutate","""Oh, gottgefällige Muse und majestätischer poetischer Intellekt, gib mir etwas von deiner Weisheit."""
" o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate","Sie haben bemerkt, was Sie gesehen haben: Hier wird es Ihnen Ihren Adel zeigen."
"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","""Als ich mich auf den Weg machte, rief ich aus: ""O Dichter, überlege, ob ich stark genug bin, um auf dieses schwierige Abenteuer zu gehen!"""
"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","""Es wird gesagt, dass Silvios Vater, noch am Leben, zusammen mit seinem physischen Körper ins Jenseits übergegangen ist."""
"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","""Der Mensch und seine Segnungen verdienen zweifellos Respekt von denen, die intelligent sind, denn er war freundlich zu dem Herrscher des Bösen; die hätten eine große Wirkung haben sollen."""
" ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","""Er, der als Begründer des edlen Rom und seines Reiches gewählt wurde, errichtete ein so großes Reich, dass es als heiliger Aufenthaltsort für den Nachfolger des ersten Papstes galt."""
"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","""Nach der von Ihnen beschriebenen Reise erwarb Enea das nötige Wissen, um den Sieg zu erlangen und den päpstlichen Mantel zu errichten."""
"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione","Dann ging das Instrument der Wahl, um den Glauben zu festigen, der der erste Schritt zur Erlösung ist."
"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono",Warum sollte ich das tun und wer gibt mir die Erlaubnis? Ich bin sicherlich nicht Aeneas oder St Paul.
" me degno a ciò né io né altri ’l crede","Niemand glaubt, dass ich in der Lage bin, diese Mission durchzuführen."
"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","""Wenn ich mich entschließe, diese Reise mit dir zu machen, fürchte ich, es könnte verrückt sein."""
" Se’ savio intendi me’ ch’i’ non ragiono""","Du hast ein tieferes Verständnis, als ich ausdrücken kann."
"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","""Als derjenige, der sich zunächst auf die Suche nach etwas gefreut hat und dann, wegen der Reflexion und möglicherweise der Begegnung mit neuen Ideen, den Kurs komplett verändert hat, so war es für mich an den geheimnisvollen Orten: darüber nachzudenken, habe ich mein Projekt zögerlich formuliert."""
"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","""Die Silhouette dieser Person mit hoher Abstammung antwortete: ""Wenn ich deine Rede richtig interpretiert habe, ist deine Seele ein Sklave der Feigheit."""
