Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""About halfway through my existence, I found myself lost in a dark wood, because I had lost the correct way."""
" Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura","""There was a terrible forest, inextricable and wild to the point that even the idea of being inside makes you afraid."""
"  Tant’è amara che poco è più morte","""It is so frightening that death is almost little,"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","but to describe the good that I have found within it, I can talk about other things that I have seen you."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""I didn't have the clarity to describe how he got in, I was so sleepy when I took the right path."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""After reaching the feet of a hill, at the end of the valley that had aroused fear and sadness in me, I lifted up my eyes and had the vision of its summit illuminated by the light of the sun, indicating me the right way to follow."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""That night I spent with a deep anxiety that I had felt in my heart, but then the fear subsided a little."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Similar to the shipwreck thrown on the shore, which anxiously observes the stormy waters from which he was saved, so I also looked at the terrible way that did not let any escape of salvation be seen."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""After the brief pause I had given to my tired body, I resumed climbing the desert slope of the hill, always putting the firmest foot on the ground lower."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Located on the slope that preceded the beginning of the ascent, a slender and snappy lion covered by a cloak of spotted hair profiled on the horizon."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""He didn't stand aside when I came to his presence, in fact he blocked the passage so many times that I seriously thought of turning back."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""In the early hours of the morning, with the sun rising together with that constellation of Creation, divine love began to move beautiful things."""
" sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione",The brightness of the sun and the flowers blossomed in spring gave reasons for the beautiful spotted tiger.
" ma non sì che paura non mi desse la vista che m'apparve d'un leone","""However, despite everything, I felt frightened in the face of the sudden vision of a lion"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""This individual was heading towards me, with a strong and furious air, to the point that even the atmosphere seemed to tremble."""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""A wolf profiled on the horizon, as thin as desire and burying with his presence the poverty of many."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""I felt so anxious and had such a fear at the sight of his appearance that I lost the confidence to get to the top of the hill."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""so he made me the wild animal without peace, that coming to me pushed me little by little down, where there was no light."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Going down to the forest, a figure profiled in the darkness before my eyes, but I could not distinguish it clearly."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""When he appeared in desolation, I cried out loud: ""Have mercy on me, whatever you are - a creature or someone really existing!"""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""I answered: ""No, I am no longer a man, I have been before. My parents were originally from Lombardy and both came from Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""I was born under the reign of Julius Caesar, but I lived in Rome during the peaceful and prosperous empire of the eminent Augustus, in an age where the ancient pagan cults were still strongly practiced."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""I sang of Aeneas, the son of Anchise, who saved himself from the fall of the proud Troy consumed by the flames."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Why don't you choose the joyful hill, which is the source of all well-being instead of returning to the evil of the forest?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","""""So you are Virgilio and that spring that flows such a great river of words?""""I asked him embarrassed."""
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""I beg you to enlighten my steps, bright figure among other poets; the strength of dedication and affection that led me to instruct me in your work is all I need."""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","I consider you as a master and an example, I treated my beautiful style alone, which made me famous."
"  Vedi la bestia per cu’ io mi volsi",I spotted the creature that forced me to change direction.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""O great wise man, your strength shakes every drop of my blood, so please help me."""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""If you want to get rid of this wild land, you have to take another adventure,"" he replied after seeing me cry."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""No one can go through the road of the beast that leads to screaming, pain of annihilation."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""His devilish character has never allowed him to satisfy his greed, and every time he eats he is even more hungry."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Animals choose a companion, increasing more and more until the hunting dog arrives that causes them to die with suffering."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""This one does not care for material well-being, but seeks spiritual inspiration and will find his home among the felt fabric."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""It will be the salvation of the noble Italy, for which Eurialo and Niso lost their lives in battle, Turno and Camilla the virgin endured pains."""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""He will hunt her down in every part of the world, until he has sent her back to hell, from where she was sent out because of envy for the first time."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""I think it's in your greatest interest to go where I go, let me lead you and take you to a place of the worlds beyond."""
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""You will see the tormented shadows of the lost, crying desperately and asking for the final end."""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""Those who rejoice in punishment, for they trust in the enlightenment of Paradise in the future."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""If you decide to come up and see these places, there will be another person more suitable than me to accompany you: when I leave, you will be in good hands."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna",That ruler above does not grant me access to his city because my rebellion against his law is known.
"  In tutte parti impera e quivi regge",Men recognize God's sovereignty over every place in the Universe and in Paradise He reigns triumphant.
" quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge","""Oh, blessed is he who chooses to dwell in this city, with his second throne!"""
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Then I said to the poet: ""I pray in the name of that God whom you have never known to be free from this suffering and even greater others, I beg you to lead me where you said, so I can see the door of St. Peter and the people so injured as described."""
"  Allor si mosse, e io li tenni dietro","""He began his journey, and I accompanied him."
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro",The approaching of the night interrupted the efforts of animals living on earth.
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""I was the only one who prepared me for the fear and terror of the road that will advance, a track so clear as if it had been painted by my infallible mind."""
"  O muse, o alto ingegno, or m’aiutate","""Oh, godly muse and majestic poetic intellect, give me some of your wisdom."""
" o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate",You have noted what you have seen: here it will show you your nobility.
"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","""As I set out on my way, I exclaimed: ""Oh poet, consider whether I am strong enough to go on this difficult adventure!"""""
"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","""It is said that Silvio's father, still alive, passed into the afterlife along with his physical body."""
"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","""Man and his blessings undoubtedly deserve respect from those who are intelligent, since he was kind to the ruler of evils; which should have had a great impact."""
" ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","""He, chosen as the founder of the noble Rome and its kingdom, established an empire so grand that it was considered a sacred abode for the successor of the first pope."""
