Original,Translate_es_1
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","Alrededor de la mitad de mi existencia, me encontré perdido en un bosque oscuro, ya que había perdido el camino correcto."
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Había un bosque tremendo, inextricable y salvaje hasta el punto de que incluso la idea de estar dentro es aterradora."
  Tant’è amara che poco è più morte,"Es tan aterrador que la muerte es casi poca cosa, pero para describir el bien que encontré en su interior, puedo hablar de otras cosas que les he visto."
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","No tenía el brillo para describir cómo entró, estaba tan dormido cuando tomé el camino correcto."
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Después que llegué a los pies de una colina, al final del valle que había despertado en mí temor y tristeza, alcé los ojos y tuve la visión de su cumbre iluminada por la luz del sol, indicándome el camino correcto a seguir."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","Esa noche pasé con una profunda ansiedad que había sentido en mi corazón, pero luego el miedo se apaciguó un poco."
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","Similar al naufragio lanzado a la orilla, que con anhelo observa las aguas templadas de las que ha sido salvado, así también miré al terrible camino que no dejaba ver ninguna fuga de salvación."
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Al terminar la breve pausa que había concedido a mi cuerpo cansado, volví a subir la pendiente del desierto de la colina, poniendo siempre el pie más firme en el suelo más abajo."
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Ajustada sobre la pendiente que precedía al comienzo de la subida, una loza delgada y excitante cubierta por un manto de pelo maculado se profiló al horizonte."
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","No se hacía a un lado cuando llegaba a su presencia, de hecho, me bloqueaba el paso tantas veces que pensé seriamente en dar marcha atrás."
