Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""A mitad de mi existencia, me encontré perdido en un bosque oscuro, porque había perdido el camino correcto."""
" Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura","""Hubo un bosque terrible, inextricable y salvaje hasta el punto de que incluso la idea de estar dentro te hace temer""."
"  Tant’è amara che poco è più morte","""Es tan aterrador que la muerte es casi poco,"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","pero para describir el bien que he encontrado dentro de él, puedo hablar de otras cosas que te he visto."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""No tenía la claridad para describir cómo entró, tenía tanto sueño cuando tomé el camino correcto""."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Después de llegar a los pies de una colina, al final del valle que había despertado miedo y tristeza en mí, alcé mis ojos y tuve la visión de su cumbre iluminada por la luz del sol, indicándome el camino correcto a seguir."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Esa noche pasé con una profunda ansiedad que había sentido en mi corazón, pero entonces el miedo se atenuó un poco."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Similar al naufragio arrojado a la orilla, que observa ansiosamente las aguas tormentosas de las que fue salvado, así que también miré el terrible camino que no permitió que ningún escape de la salvación se viera."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Después de la breve pausa que le había dado a mi cuerpo cansado, volví a subir por la ladera del desierto de la colina, siempre poniendo el pie más firme en el suelo más abajo."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Situado en la pendiente que precedió al comienzo del ascenso, un león delgado y ágil cubierto por una capa de pelo manchado perfilado en el horizonte."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""Él no se quedó a un lado cuando llegué a su presencia, de hecho bloqueó el pasaje tantas veces que pensé seriamente en volver atrás."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""En las primeras horas de la mañana, con el sol saliendo junto con esa constelación de la Creación, el amor divino comenzó a mover cosas hermosas."""
" sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione",El brillo del sol y las flores florecieron en primavera dio razones para el hermoso tigre manchado.
" ma non sì che paura non mi desse la vista che m'apparve d'un leone","""Sin embargo, a pesar de todo, me sentí asustada ante la repentina visión de un león"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Este individuo se dirigía hacia mí, con un aire fuerte y furioso, hasta el punto de que incluso la atmósfera parecía temblar."""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Un lobo perfilado en el horizonte, tan delgado como el deseo y sepultando con su presencia la pobreza de muchos."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Me sentí tan ansiosa y tenía tanto miedo al ver su apariencia que perdí la confianza para llegar a la cima de la colina."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""Así que me hizo el animal salvaje sin paz, que viniendo a mí me empujaba poco a poco hacia abajo, donde no había luz."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Bajando al bosque, una figura perfilada en la oscuridad ante mis ojos, pero no podía distinguirla claramente."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""Cuando apareció en desolación, grité en voz alta: ""Ten piedad de mí, lo que sea que eres - una criatura o alguien que realmente existe!"""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Yo respondí: ""No, ya no soy un hombre, lo he sido antes. Mis padres eran originarios de Lombardía y ambos vinieron de Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Nací bajo el reinado de Julio César, pero viví en Roma durante el imperio pacífico y próspero del eminente Augusto, en una época donde los antiguos cultos paganos todavía se practicaban fuertemente."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Canté de Eneas, el hijo de Anchise, que se salvó de la caída de la orgullosa Troya consumida por las llamas."""
