Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""Ongeveer halverwege mijn bestaan, vond ik mezelf verloren in een donker hout, omdat ik de juiste weg was kwijtgeraakt."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Er was een verschrikkelijk bos, onlosmakelijk en wild tot het punt dat zelfs het idee om binnen te zijn je bang maakt."""
  Tant’è amara che poco è più morte,"""Het is zo beangstigend dat de dood bijna klein is,"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","Maar om het goede te beschrijven dat ik erin heb gevonden, kan ik praten over andere dingen die ik je heb gezien."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Ik had niet de duidelijkheid om te beschrijven hoe hij binnenkwam, ik was zo slaperig toen ik het juiste pad nam."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Na het bereiken van de voeten van een heuvel, aan het einde van de vallei die angst en droefheid in mij had gewekt, hief ik mijn ogen op en liet het visioen van zijn top verlicht door het licht van de zon, wat mij de juiste manier om te volgen. """
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Die nacht bracht ik door met een diepe angst die ik in mijn hart had gevoeld, maar toen zakte de angst een beetje."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Similar naar de scheepswrak gegooid op de kust, die angstaanjagend de stormachtige wateren waar hij vandaan werd gered observeert, dus ik keek ook naar de verschrikkelijke manier dat geen enkele ontsnapping van de zaligheid werd gezien."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Na de korte pauze die ik had gegeven aan mijn vermoeide lichaam, ik hervat klimmen op de woestijn helling van de heuvel, altijd zet de stevigste voet op de grond lager."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Gelegen op de helling die voorafging aan het begin van de klim, een slanke en snappy leeuw bedekt met een mantel van gevlekt haar geprofileerd aan de horizon."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""Hij stond niet aan de kant toen ik bij hem kwam, in feite blokkeerde hij de passage zo vaak dat ik serieus dacht om terug te keren."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""In de vroege uren van de ochtend, met de zon die opkomt samen met dat sterrenbeeld van de Schepping, begon goddelijke liefde mooie dingen te bewegen."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,De helderheid van de zon en de bloemen bloeiden in het voorjaar gaf redenen voor de mooie gevlekte tijger.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""Maar ondanks alles, voelde ik me bang in het gezicht van het plotselinge visioen van een leeuw"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Dit individu kwam naar me toe, met een sterke en furieuze lucht, tot het punt dat zelfs de sfeer leek te trillen."""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Een wolf geprofileerd aan de horizon, zo dun als verlangen en begraven met zijn aanwezigheid de armoede van velen."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Ik voelde me zo angstig en had zo'n angst bij het zien van zijn verschijning dat ik het vertrouwen verloor om naar de top van de heuvel te komen."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""Dus hij maakte mij het wilde dier zonder vrede, dat naar mij toe kwam duwde me beetje bij beetje naar beneden, waar er geen licht was."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Te gaan naar het bos, een figuur geprofileerd in de duisternis voor mijn ogen, maar ik kon het niet duidelijk onderscheiden."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""Toen hij in verwoesting verscheen, riep ik hardop: ""Heb medelijden met mij, wat je ook bent - een schepsel of iemand die echt bestaat!"""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Ik antwoordde: ""Nee, ik ben niet langer een man, ik ben al eerder geweest. Mijn ouders kwamen oorspronkelijk uit Lombardije en beiden kwamen uit Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Ik werd geboren onder het bewind van Julius Caesar, maar ik woonde in Rome tijdens het vreedzame en welvarende rijk van de eminente Augustus, in een tijd waarin de oude heidense cultus nog steeds sterk werd beoefend."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Ik zong van Aeneas, de zoon van Anchise, die zichzelf redde van de val van de trotse Troje verteerd door de vlammen."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Waarom kiest u niet de vrolijke heuvel, die de bron is van alle welzijn in plaats van terug te keren naar het kwaad van het bos?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","""Dus jij bent Virgilio en die bron die zo'n grote rivier van woorden stroomt?"" vroeg ik hem beschaamd."""
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""Ik smeek u om mijn stappen te verlichten, helder figuur onder andere dichters; de kracht van toewijding en genegenheid die mij leidde om mij te onderrichten in uw werk is alles wat ik nodig heb."""
