Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""Omkring halvvägs genom min existens, fann jag mig vilse i ett mörkt trä, eftersom jag hade förlorat på rätt sätt."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Det fanns en fruktansvärd skog, oupplöslig och vild till den grad att även tanken på att vara inne gör dig rädd."""
  Tant’è amara che poco è più morte,"""Det är så skrämmande att döden är nästan liten,"
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","men för att beskriva det goda som jag har funnit i det, kan jag tala om andra saker som jag har sett dig."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Jag hade inte klarheten att beskriva hur han kom in, jag var så sömnig när jag tog rätt väg."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Efter att ha nått foten av en kulle, i slutet av dalen som hade väckt rädsla och sorg i mig, lyfte jag upp mina ögon och fick synen av dess topp upplyst av solens ljus, vilket visar mig den rätta vägen att följa."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Den natten tillbringade jag med en djup oro som jag hade känt i mitt hjärta, men sedan avtog rädslan lite."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""I likhet med det skeppsbrott som kastades på stranden, som ivrigt iakttar det stormiga vatten från vilket han räddades, så såg jag också på den fruktansvärda väg som inte lät någon räddning komma undan."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Efter den korta pausen jag hade gett till min trötta kropp, fortsatte jag att klättra på sluttningen av kullen, alltid sätta den fastaste foten på marken lägre."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Located på sluttningen som föregick början av uppstigningen, ett smalt och snäppigt lejon täckt av en mantel av fläckigt hår profilerad på horisonten."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""Han stod inte åt sidan när jag kom till hans närvaro, i själva verket blockerade han passagen så många gånger att jag allvarligt tänkte på att vända tillbaka."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Under de tidiga morgontimmarna, då solen gick upp tillsammans med skapelsens konstellation, började den gudomliga kärleken röra på sig vackra ting."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"Solens och blommornas ljushet blommade på våren gav anledning till den vackra, fläckiga tigern."
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""Men trots allt, kände jag mig rädd inför den plötsliga synen av ett lejon"""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Den här individen var på väg mot mig, med en stark och rasande luft, till den grad att till och med atmosfären verkade darra."""
