Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""In het midden van het pad van het menselijk leven, bevond ik me in een donker bos, want ik had het juiste pad verloren."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"""Helaas, het is moeilijk om te beschrijven hoe dat bos was, wild, onlosmakelijk en verschrikkelijk, zodat bij de gedachte dat het de angst doet terugkeren"""
  Tant’è amara che poco è più morte,"""Het is zo beangstigend dat de dood weinig meer zo is: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""maar om het goede dat ik erin vond te beschrijven, zal ik zeggen wat andere dingen die ik heb gezien in het."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Ik kan niet uitleggen hoe ik daar binnen kwam, dus ik was vol slaap toen ik de goede kant op ging."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Maar nadat ik aan de voet van een heuvel kwam, waar die vallei, die mijn hart van angst had doen bedroefd, eindigde, keek ik op en zag zijn piek al verlicht door de stralen van de zon, die een ieder naar het juiste pad leidt."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Toen was de angst die ik in mijn hart had, die nacht dat ik met zoveel angst doorbracht, een beetje getemperd."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""En als de schipbreukeling dat met zijn ademadem, geworpen uit de zee op de kust, draait en kijkt naar de gevaarlijke wateren waaruit het ontsnapte, zo mijn ziel, die nog op de vlucht was, keerde terug om de passage te observeren die nooit een mens in leven liet."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Nadat ik een beetje had uitgerust het vermoeide lichaam, ging ik terug om te lopen langs de woestijn helling van de heuvel, zodat de stevigste voet was altijd de laagste."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""En er verscheen, bijna aan het begin van de beklimming, een slanke en zeer wendbare lenden, bedekt met gevlekt haar."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""en wendde zich niet af voor mij, maar verhinderde mijn reis zo veel dat ik dacht terug te gaan meerdere keren."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Het waren de eerste uren van de ochtend, en de zon kwam op samen met dat sterrenbeeld dat bij hem was op de dag van de Schepping, toen goddelijke liefde die mooie dingen voor het eerst bewoog."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,Dus de tijd van de dag en het lenteseizoen gaf me goede reden om goed te hopen over dat gevlekte beest.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""maar niet tot het punt dat ik niet bang was voor het gezicht, dat mij onmiddellijk daarna verscheen, van een leeuw"""
