Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","""I mitten av livets väg befann jag mig i en mörk skog, för jag hade förlorat den rätta vägen."""
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"– Tyvärr är det svårt att beskriva hur skogen var, vild, oupplöslig och fruktansvärd, så att den vid själva tanken gör att rädslan återvänder."
  Tant’è amara che poco è più morte,"""Det är så skrämmande att döden är lite mer så: """
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","""men för att beskriva det goda som jag fann i det ska jag säga vad jag har sett i det."""
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","""Jag kan inte förklara hur jag kom in där, så jag var full av sömn när jag lämnade rätt väg."""
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","""Men när jag kom till foten av en kulle, där dalen som hade gjort mitt hjärta bedrövad av rädsla slutade, tittade jag upp och såg dess topp redan upplyst av solens strålar, som leder varje man till den rätta vägen."""
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","""Då var rädslan jag hade i mitt hjärta, den natt som jag tillbringade med så mycket ångest, lite lugn."""
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","""Och som skeppsbrottet som med sin andedräkt kastades från havet på stranden, vänder sig och ser på det farliga vatten som det undkom, så vände min själ, som fortfarande var på flykt, tillbaka för att observera passagen som aldrig lämnade någon levande."""
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","""Efter att jag hade vilat lite den trötta kroppen, gick jag tillbaka för att gå längs öknen sluttning av kullen, så att den fastaste foten var alltid den lägsta."""
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","""Och det dök upp, nästan i början av uppstigningen, en smal och mycket smidig ländrygg, täckt av fläckigt hår."""
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","""och inte vände sig bort före mig, men förhindrade min resa så mycket att jag tänkte på att gå tillbaka flera gånger."""
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle","""Det var de första timmarna på morgonen, och solen gick upp tillsammans med den konstellation som var med honom på Skapelsens dag, när gudomlig kärlek rörde dessa vackra ting för första gången."""
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,Så tiden på dagen och vårsäsongen gav mig goda skäl att hoppas väl på det synliga odjuret.
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"""men inte till den grad att jag inte var rädd för synen, som visade sig för mig direkt efteråt, av ett lejon."""
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","""Detta tycktes komma mot mig, med huvudet högt och med en arg hunger, till den grad att även luften tycktes darra"""
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","""Och se, en varg visar sig, att i hennes eländighet verkar full av alla begär och fick många människor att leva eländigt."""
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","""Detta orsakade mig sådan ångest, med skräcken som inspirerade mig hans utseende, att jag förlorade hoppet om att nå toppen av kullen."""
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","""så han gjorde mig odjuret utan frid, som kommer emot mig knuffade mig lite i taget ner, där det inte fanns någon sol."""
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","""Medan jag halkade nerför dalen till skogen, dök någon upp inför mina ögon som inte kunde se bra av skuggorna."""
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","""När jag såg honom i öknen, ropade jag till honom: ""Var barmhärtig mot mig, vem du än är, en själ eller en människa i köttet."""
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","""Jag svarade, ""Nej, jag är inte en man, jag har redan varit, och mina föräldrar var från Lombardiet, båda infödda i Mantua."""
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","""Jag föddes under Julius Caesars regering, men under senare år, och bodde i Rom under den gode kejsaren Augustus regering, vid tiden för de hedniska gudarna."""
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","""Jag var poet, och jag sjöng om Anchises rättfärdiga son som flydde från Troja efter att den högmodiga Ilio brändes."""
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""","""Men varför vänder du tillbaka till det onda i skogen? Varför leder du inte den glada kullen, som är början och orsaken till all lycka?"""
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte",Är du alltså Virgil och källan som sprider en så stor flod av ord?
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume","""Du som är ljuset och vägledningen av andra poeter, må den långa engagemang och stora kärlek som har fått mig att läsa ditt verk hjälpa mig."""
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore","Du är min lärare och min modell, du är den enda från vilken jag ritade den vackra stilen som gjorde mig berömd"
  Vedi la bestia per cu’ io mi volsi,Se odjuret som vände mig runt.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","""Hjälp mig från henne, en berömd vis man, för hon får varje droppe av mitt blod att darra."""
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","""Du måste göra en annan resa, han svarade mig efter att ha sett mig gråta, om du vill rädda dig från denna vilda plats."""
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","""Odjuret som får dig att skrika låter ingen gå sin väg, men hindrar honom till den grad att döda honom."""
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","""Och han har ett sådant ont och ont sinnelag att han aldrig kan tillfredsställa sin lust, och efter varje måltid är han hungrigare än tidigare."""
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","""Det finns många djur som hon parar sig med, och de kommer att bli mer och mer, tills jakthunden kommer som kommer att orsaka henne att dö med smärta."""
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","""Den här kommer inte att bry sig om materiella rikedomar, utan bara om andliga rikedomar, och hans födelse kommer att ske mellan känsla och känsla."""
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","""Det kommer att bli frälsningen för det ödmjuka Italien, så de dog i strid Euralo och Niso, Turno, jungfru Camilla."""
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","""Han kommer att jaga henne till varje stad, tills han har fört henne tillbaka till helvetet, varifrån avund förde henne fram för första gången."""
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","""Därför tänker jag och dömer för ditt bästa att du skall följa mig, och jag skall leda dig, och jag skall ta dig bort från denna plats för att leda dig till den plats i underjorden,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","""där ni kommer att höra de desperata ropen och se de fördömdas själar, som alla anropar om en definitiv död."""
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","""Och då kommer du att se dem som är glada att lida smärta, eftersom de hoppas en dag att nå Paradisets välsignade."""
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","""Och om du vill gå upp och besöka den senare, då kommer det att finnas en själ värdigare mig att vägleda dig: när jag går bort, kommer jag att lämna dig med henne."""
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","""Ty den kejsare som regerar där uppe vill icke att jag skall komma in i hans stad, ty jag var gensträvig mot hans lag."""
  In tutte parti impera e quivi regge,Gud har myndighet över hela universum och i paradiset styr han
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,"""Här är hans stad och hans andra tron: Åh, lycklig är den som väljer att bo på den platsen."""
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","""Och jag sade till honom: ""Poet, i den Guds namn som du inte har känt, och för att jag må fly denna olycka, och några värre, ber jag dig att leda dig dit du har sagt, så att jag kan se porten till Peter, och dem som beskriva så eländig."""
"  Allor si mosse, e io li tenni dietro","""Då gav han sig av och jag följde efter honom."""
"  Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro","""Dagen var nästan över, och mörkret tog bort de djur som är på marken från deras arbete."""
" e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra","""och jag var den enda som var beredd att möta en vånda och fruktansvärd väg, som mitt ofelbara sinne kommer att beskriva"""
"  O muse, o alto ingegno, or m’aiutate","""O muse, eller hög poetisk uppfinningsrikedom, hjälp mig"""
" o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate","""Tänk, att du skrev ner vad du såg, här måste du bevisa din ädelhet."""
"  Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi","""Jag började säga: ""Poet som vägleder mig, bedömer om min dygd är tillräcklig, innan leda mig på denna mödosamma resa"""
"  Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente","""Du säger att Silvios far, fortfarande vid liv, gick in i livet efter detta i köttslig gestalt, med hela sin kropp."""
"  Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui, e ’l chi e ’l quale  non pare indegno ad omo d’intelletto","""Därför, om fienden av allt ont var vänlig mot henne, människan och hennes förtjänster inte verkar ovärdig en man begåvad med intellekt, om man tänker på den höga effekt som skulle produceras av henne."""
" ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto:  la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero","""I själva verket blev han utvald i riket till det ädla Roms grundare och dess välde, och Rom och dess välde, för att säga sanningen, upprättades som den heliga platsen där den förste påvens efterträdare bor."""
"  Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto","""Tack vare denna resa som du berättar, Enea hörde saker som ledde honom till seger och producerade den påvliga manteln."""
"  Andovvi poi lo Vas d’elezïone, per recarne conforto a quella fede ch’è principio a la via di salvazione","""Därefter gick det utvalda redskapet dit, för att befästa den tro som är början till frälsningens väg."""
"  Ma io, perché venirvi? o chi ’l concede? Io non Enëa, io non Paulo sono","""Men varför skulle jag gå? Vem ger det? Jag är inte Aeneas, eller St Paul."""
 me degno a ciò né io né altri ’l crede,Varken jag eller någon annan tror att jag klarar av den här uppgiften.
"  Per che, se del venire io m’abbandono, temo che la venuta non sia folle","""Så om jag går med på att följa dig, fruktar jag att min resa är galenskap."""
" Se’ savio intendi me’ ch’i’ non ragiono""","""Du är klok, du förstår bättre än jag kan förklara."""
"  E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,  tal mi fec’ïo ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta","""Och som den som inte längre vill vad han ville, och ändrar sitt sinne på grund av nya tankar, så att han helt drar sig tillbaka från sina syften, så blev jag på dessa mörka platser, eftersom tanken på det satte stopp för den uppgift som var så snabb i början."""
"  ""S’i’ ho ben la parola tua intesa"", rispuose del magnanimo quell’ombra, ""l’anima tua è da viltade offesa","""Den ädle mannens skugga svarade: ""Om jag har förstått dina ord väl, är din själ ett offer för feghet."""
