Original,Translate_de_1
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Die Macht dessen, der alles bewegt, breitet sich im ganzen Universum aus und leuchtet in einigen Teilen, weniger in anderen."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Und ich ward im Himmel, der erleuchtet ist von seinem Licht, und ich sah, was jemand von da oben weiß und nicht berichten kann."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Denn unser Verstand nähert sich dem Gegenstand seiner Begierde, so tief wird unser Verstand hineingehen, daß sein Gedächtnis ihm nicht folgen kann."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Doch das Thema meines Gesangs wird sein, was ich in meinem Sinn des heiligen Königreiches anstarrte."
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O guter Apollo, gib mir deine Inspiration für das letzte Lied, so viel wie du benötigst, um den gefürchteten poetischen Lorbeer zu gewähren."
 Infino a qui l’un giogo di Parnaso assai mi fu,Bis jetzt reichte mir nur ein Gipfel des Berges Parnaso.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Aber jetzt muss ich mit der Hilfe von beiden arbeiten.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Geh in meine Brust und laß mich inspirieren, wie du Marsia aus der Hülle ihrer Glieder gezogen hast."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O göttliche Tugend, wenn du mir gibst, wie viel genug, daß ich eine Spur des Reiches der Seligen ausdrücke, die in meinem Sinn eingeprägt ist,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","und siehst mich zu Füßen deines geliebten Baumes kommen und mich krönen mit seinen Blättern, von denen du und das hohe Argument des Gedichtes mich würdig machen werden."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Es ist so selten, Vater, daß man den Lorbeer zum Triumph eines Führers oder Dichters schöpft,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","dass die Frondine des Penäus sollte Freude in Delphis glückliche Götter entstehen lassen, wenn es von jemandem gewünscht wird"
 Poca favilla gran fiamma seconda,Eine große Flamme folgt einem schwachen Funken
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Vielleicht werden nach mir andere mit besseren Stimmen darum beten, daß Cyrra antworten möge."
 Surge ai mortali per diverse foci la lucerna del mondo,Die Laterne der Welt erhebt sich den Sterblichen aus verschiedenen Punkten des Horizonts
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Aber von dem Augenblick an, da sich vier Kreise kreuzen und drei Kreuze bilden, entsteht es in Verbindung mit einer milderen Jahreszeit."
 e la mondana cera più a suo modo tempera e suggella,und mit einem gnädigen Stern und übt einen vorteilhafteren Einfluß auf die Welt aus
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Dieser Punkt hatte den ganzen Tag im Fegefeuer und in der Nacht auf der Erde gemacht, und eine Hemisphäre war ganz weiß und die andere schwarz,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,"Als ich sah, wie Beatrice sich nach links drehte und die Sonne anstarrte,"
 aguglia sì non li s’affisse unquanco,Ein Adler hat ihn nie auf diese Weise gefickt.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Und wie der reflektierte Strahl ist in der Regel weg von der Inzidenz und steigen hoch mit der gleichen Ecke, wie ein Pilger, der in die Heimat zurückkehren will,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","so kam aus seiner Haltung, die er in meine imaginäre Fähigkeit goß, meine zur Welt, und ich setzte die Sonne über die normalen menschlichen Fähigkeiten hinaus."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Dort in Eden sind viele Dinge erlaubt, die es nicht auf der Erde sind, dank dieses Ortes, der als der menschlichen Art geschaffen wurde."
