Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Die Macht des Einen, der alles bewegt, breitet sich im ganzen Universum aus und leuchtet in einigen Teilen mehr, in anderen weniger"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Ich war im Himmel, der durch sein Licht erleuchteter ist, und ich sah Dinge, die diejenigen, die von oben herabsteigen, nicht wissen noch berichten können"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","in der Tat, nähert sich dem Objekt seines Wunsches, unser Intellekt dringt so tief, dass die Erinnerung kann ihm nicht folgen"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Aber das Thema meines Liedes wird das sein, was ich in meinem Geist des heiligen Königreiches beheben konnte."
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O guter Apollo, gib mir deine Inspiration für das letzte Lied, so viel du bittest, dem sehnsüchtigen poetischen Lorbeer zu gewähren"
 Infino a qui l’un giogo di Parnaso assai mi fu,Bis jetzt habe ich genug von einem einzigen Gipfel des Mount Parnaso
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Aber jetzt muss ich mit Hilfe von beiden zur restlichen Arbeit kommen.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Geh in meine Brust und inspiriere mich, wie als du Marsia aus dem Umschlag ihrer Gliedmaßen gezogen hast."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O göttliche Tugend, wenn du mir so lange gewährst, dass ich eine Spur von dem Reich der Gesegneten ausdrücke, das in meinem Sinn eingraviert ist,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Du wirst mich am Fuße deines geliebten Baumes kommen sehen und mich mit seinen Blättern krönen, von denen du und der hohe Gegenstand des Gedichts mich würdig machen wirst."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Es geschieht so selten, Vater, dass der Lorbeer für den Triumph eines Führers oder Dichters ergriffen wird,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","dass das Blatt des Peneo die Freude an der glücklichen Göttlichkeit Delphis gebären soll, wenn es von jemandem gewünscht wird"
 Poca favilla gran fiamma seconda,Eine große Flamme folgt einem schwachen Funken
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Vielleicht werden nach mir andere, mit besseren Stimmen, für Cirra beten, um zu antworten"
 Surge ai mortali per diverse foci la lucerna del mondo,Die Laterne der Welt erhebt sich zu Sterblichen aus verschiedenen Horizonten
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","aber von diesem Punkt, wo vier Kreise kreuzen bilden drei Kreuze, wird es in Verbindung mit einer milderen Jahreszeit geboren"
 e la mondana cera più a suo modo tempera e suggella,und mit einem günstigen Stern und übt einen vorteilhafteren Einfluss auf die Welt aus
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Dieser Fleck hatte den ganzen Tag im Fegefeuer und die Nacht auf der Erde, und eine Hemisphäre war ganz weiß und die andere schwarz,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,"Als ich sah, wie Beatrice nach links drehte und die Sonne anstarrte"
 aguglia sì non li s’affisse unquanco,Ein Adler starrte ihn nie so an
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Und da sich der reflektierte Strahl normalerweise von dem des Vorkommens entfernt und im gleichen Winkel hinaufklettert, wie ein Pilger, der nach Hause zurückkehren will,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Von seiner durchdrungenen Haltung in meine imaginäre Fähigkeit wurde meine geboren, und ich starrte auf die Sonne über normale menschliche Fähigkeiten hinaus."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Dort in Eden sind viele Dinge erlaubt, die nicht auf der Erde sind, dank dem Ort, der als der richtige Ort der menschlichen Spezies geschaffen wurde."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Ich konnte lange nicht auf die Sonne starren, aber ich konnte sie nicht überall scheinen sehen, wie ein glühendes Eisen gerade aus dem Feuer kam."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Und sogleich schien es, daß ein anderer zum Tag hinzugefügt wurde, als hätte Gott den Himmel einer zweiten Sonne geschmückt."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice starrte auf die himmlischen Räder
" e io in lei le luci fissi, di là sù rimote",Und ich sah sie an und wandte sie vom Himmel ab.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Als ich sie ansah, wurde ich so, dass sie Glaucus wurde, als sie das Gras aß, was sie in eine Seegottheit verwandelte."
 Trasumanar significar per verba non si poria,Die Erhöhung über die menschlichen Grenzen hinaus konnte nicht mit Worten erklärt werden
 però l’essemplo basti a cui esperïenza grazia serba,"Daher genügt das mythologische Beispiel denen, denen die göttliche Gnade direkte Erfahrung vorbehält"
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Wenn ich nur das wäre, was ihr, die Liebe, die den Himmel regiert, zum letzten Mal erschaffen habt, wisst ihr, dass ihr mich mit eurem Licht emporgehoben habt"
" Quando la rota che tu sempiterni desiderato, ","Wenn die rotierende Bewegung des Himmels, die ihr ewig macht mit dem Wunsch der himmlischen Räder, euch zu nähern,"
