Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","The power of the One who moves everything spreads throughout the Universe and shines more in some parts, less in others"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","I was in Heaven that is more enlightened by his light, and I saw things that those who descend from above do not know nor can report"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","in fact, approaching the object of his desire, our intellect penetrates so deeply that the memory cannot follow him"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","However, the subject of my song will be what I was able to fix in my mind of the holy kingdom"
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O good Apollo, grant me your inspiration for the Last Song, as much as you ask to grant the longing poetic laurel"
" Infino a qui l’un giogo di Parnaso assai mi fu",So far I have had enough of a single summit of Mount Parnaso
" ma or con amendue m’è uopo intrar ne l’aringo rimaso",But now I have to get to the remaining work with the help of both
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Get into my chest and inspire me, just like when you pulled Marsia out of the envelope of her limbs"
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O divine virtue, if thou grant thee to me that long enough for me to express a trace of the kingdom of the blessed engraved in my mind,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","You will see me coming at the foot of your beloved tree, and crowning me with its leaves, of which you and the high subject of the poem will make me worthy."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","It happens so rarely, Father, that the laurel is seized for the triumph of a leader or a poet,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","that the leaf of Peneo should give birth to joy in the happy divinity of Delphi, when desired by someone"
" Poca favilla gran fiamma seconda",A big flame follows a faint spark
" forse di retro a me con miglior voci si pregherà perché Cirra risponda","Maybe after me others, with better voices, will pray for Cirra to answer"
" Surge ai mortali per diverse foci la lucerna del mondo",The lantern of the world rises to mortals from different points of the horizon
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","but from that point where four circles intersect forming three crosses, it is born in conjunction with a milder season"
" e la mondana cera più a suo modo tempera e suggella",and with a propitious star and exerts a more beneficial influence on the world
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","That spot had full day in Purgatory and night on Earth, and one hemisphere was all white and the other black,"
" quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole",When I saw Beatrice turning left and staring at the sun
" aguglia sì non li s’affisse unquanco",An eagle never so stared at him
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","And as the reflected ray is usually moving away from that of incidence and climbing up at the same angle, like a pilgrim who wants to return home,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","So from his infused attitude into my imaginary faculty mine was born, and I stared at the sun beyond normal human abilities."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","There in Eden many things are permitted that are not on Earth, thanks to that place created as the proper place of the human species"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","I couldn't stare at the sun for a long time, but I couldn't see it shining all around, like a glowing iron just came out of the fire."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","And immediately it seemed that another was added to the day, as if God had adorned the heaven of a second sun."
" Beatrice tutta ne l’etterne rote fissa con li occhi stava",Beatrice stared at the heavenly wheels
" e io in lei le luci fissi, di là sù rimote","And I looked upon her, and turned her away from heaven."
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","When I looked at her, I became such that she became Glaucus when she ate the grass, which turned her into a sea deity."
" Trasumanar significar per verba non si poria",Elevating beyond human limits could not be explained in words
" però l’essemplo basti a cui esperïenza grazia serba",Therefore the mythological example suffices to those to whom divine grace reserves direct experience
