Original,Translate_es_1
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","El poder de Aquel que mueve todas las cosas se extiende por todo el Universo y brilla más en algunas partes, menos en otras"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Yo estuve en el cielo, que está más iluminado por su luz, y vi cosas que el que desciende de allí no sabe ni puede informar"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","De hecho, al acercarse al objeto de su deseo, nuestro intelecto se adentra tan profundamente que la memoria no puede seguirlo"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Sin embargo, el tema de mi canto será lo que pude fijar en mi mente del reino santo"
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh buen Apolo, dame tu inspiración para la última Cántica, tanto como tú pides para conceder la ansia poética"
 Infino a qui l’un giogo di Parnaso assai mi fu,Hasta ahora solo me ha bastado una cima del monte Parnaso.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Pero ahora tengo que prepararme para el trabajo que queda con la ayuda de las dos.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Entra en mi pecho e inspirame, como cuando sacaste a Marsia de la cubierta de sus miembros."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh virtud divina, si te concedes a mí lo suficiente para que exprese un rastro del reino de los bienaventurados grabado en mi mente,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Me verás venir a los pies de tu amado árbol, y coronarme con sus hojas de las cuales tú y el gran tema del poema me harán digno"
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Sucede tan raramente, padre, que se coge el laurel por el triunfo de un líder o de un poeta,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","que la fronda de Peneo debería dar lugar a alegría en la feliz divinidad de Delphi , cuando es deseada por alguien"
 Poca favilla gran fiamma seconda,Una gran llama sigue una débil chispa
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Quizás después de mí, otros, con mejores voces, orarán para que Cirra responda"
 Surge ai mortali per diverse foci la lucerna del mondo,La linterna del mundo surge a los mortales desde diferentes puntos del horizonte
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Pero desde ese punto en que cuatro círculos se cruzan formando tres cruces, nace en conjunción con una estación más suave"
 e la mondana cera più a suo modo tempera e suggella,y con una estrella propicia y ejerce una influencia más beneficiosa en el mundo
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Ese punto había a plena luz del día en el purgatorio y la noche en la Tierra, y un hemisferio era todo blanco y el otro negro,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Cuando vi a Beatrice girando a la izquierda y mirando al sol
 aguglia sì non li s’affisse unquanco,Un águila nunca lo miró así.
