Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","El poder de Aquel que mueve todo se extiende por todo el Universo y brilla más en algunas partes, menos en otras"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Yo estaba en el Cielo que es más iluminado por su luz, y vi cosas que aquellos que descienden de arriba no saben ni pueden reportar"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","de hecho, acercándose al objeto de su deseo, nuestro intelecto penetra tan profundamente que la memoria no puede seguirlo"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Sin embargo, el tema de mi canción será lo que pude fijar en mi mente del reino santo"
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, buen Apolo, concédeme tu inspiración para la Última Canción, tanto como pides para conceder el anhelante laurel poético"
 Infino a qui l’un giogo di Parnaso assai mi fu,Hasta ahora he tenido suficiente de una sola cumbre del Monte Parnaso
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Pero ahora tengo que llegar al trabajo restante con la ayuda de ambos
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Métete en mi pecho e inspírame, como cuando sacaste a Marsia del sobre de sus extremidades."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh virtud divina, si me concedes el tiempo suficiente para expresar un rastro del reino de los benditos grabados en mi mente,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Me verás venir al pie de tu amado árbol, y coronarme con sus hojas, de las cuales tú y el alto tema del poema me harán digno."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Sucede tan raramente, Padre, que el laurel es capturado para el triunfo de un líder o un poeta,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","que la hoja de Peneo debe dar a luz a la alegría en la divinidad feliz de Delphi, cuando lo desee alguien"
 Poca favilla gran fiamma seconda,Una gran llama sigue una débil chispa
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Tal vez después de mí otros, con mejores voces, rezarán para que Cirra responda"
 Surge ai mortali per diverse foci la lucerna del mondo,La linterna del mundo se eleva a los mortales desde diferentes puntos del horizonte
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","pero desde ese punto donde cuatro círculos se cruzan formando tres cruces, nace en conjunción con una estación más suave"
 e la mondana cera più a suo modo tempera e suggella,y con una estrella propicia y ejerce una influencia más beneficiosa en el mundo
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Ese lugar tenía todo el día en el Purgatorio y la noche en la Tierra, y un hemisferio era todo blanco y el otro negro,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Cuando vi a Beatrice girando a la izquierda y mirando al sol
 aguglia sì non li s’affisse unquanco,Un águila nunca lo miró tan fijamente.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Y como el rayo reflejado normalmente se aleja de la incidencia y sube en el mismo ángulo, como un peregrino que quiere volver a casa,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Así que de su actitud infundida en mi facultad imaginaria nació la mía, y miré al sol más allá de las habilidades humanas normales."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Allí en el Edén se permiten muchas cosas que no están en la Tierra, gracias a ese lugar creado como el lugar apropiado de la especie humana"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","No podía mirar al sol durante mucho tiempo, pero no podía verlo brillar por todos lados, como un hierro brillante acaba de salir del fuego."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","E inmediatamente parecía que se había añadido otro al día, como si Dios hubiera adornado el cielo de un segundo sol."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice miró las ruedas celestiales
" e io in lei le luci fissi, di là sù rimote","Y la miré, y la aparté del cielo."
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Cuando la miré, me convertí en tal que se convirtió en Glauco cuando comió la hierba, que la convirtió en una deidad marina."
 Trasumanar significar per verba non si poria,Elevar más allá de los límites humanos no podía explicarse con palabras
 però l’essemplo basti a cui esperïenza grazia serba,"Por lo tanto, el ejemplo mitológico basta para aquellos a quienes la gracia divina reserva experiencia directa"
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Si yo fuera sólo lo que tú, amor que gobierna el Cielo, creado para el final, tú sabes que me levantaste con tu luz"
" Quando la rota che tu sempiterni desiderato, ","Cuando el movimiento giratorio del Cielo, que ustedes hacen eterno con el deseo de las ruedas celestiales de acercarse a ustedes,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ","Él me llamó la atención sobre la armonía que estableces y estableces,"
