Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Le pouvoir de Celui qui déplace tout s'étend à travers l'Univers et brille plus dans certaines parties, moins dans d'autres"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","J'étais dans le Ciel qui est plus éclairé par sa lumière, et j'ai vu des choses que ceux qui descendent d'en haut ne savent pas et ne peuvent pas rapporter"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","en fait, s'approchant de l'objet de son désir, notre intelligence pénètre si profondément que la mémoire ne peut le suivre"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Cependant, le sujet de mon chant sera ce que j'ai pu fixer dans mon esprit du royaume saint"
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O bon Apollo, donnez-moi votre inspiration pour le dernier chant, autant que vous demandez d'accorder le laurier poétique aspirant"
 Infino a qui l’un giogo di Parnaso assai mi fu,"Jusqu'à présent, j'en ai assez d'un seul sommet du Mont Parnaso"
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Mais maintenant je dois aller au reste du travail avec l'aide des deux
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Monte dans ma poitrine et inspire-moi, comme quand tu as sorti Marsia de l'enveloppe de ses membres"
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Ô vertu divine, si tu m'accordes assez longtemps pour que j'exprime une trace du royaume des bénis gravé dans mon esprit,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Vous me verrez venir au pied de votre arbre bien-aimé, et me couronner de ses feuilles, dont vous et le haut sujet du poème me rendreez digne."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Il arrive si rarement, Père, que le laurier est saisi pour le triomphe d'un chef ou d'un poète,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","que la feuille de Peneo devrait donner naissance à la joie dans la divinité heureuse de Delphi, lorsque désiré par quelqu'un"
 Poca favilla gran fiamma seconda,Une grande flamme suit une faible étincelle
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Peut-être après moi les autres, avec de meilleures voix, prieront pour que Cirra réponde"
 Surge ai mortali per diverse foci la lucerna del mondo,La lanterne du monde s'élève aux mortels à partir de différents points de l'horizon
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","mais à partir de ce point où quatre cercles se croisent formant trois croix, il naît en conjonction avec une saison plus douce"
