,Paradiso,gpt_parafrasi
0,"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La forza di Colui che dà movimento a ogni cosa si estende in tutto il Cosmo e risplende più luminosamente in alcune parti, meno in altre."
1," Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","La mia esperienza nel Cielo, ove la luce è molto più intensa, mi ha permesso di vedere cose che chiunque non sia stato immerso nella sua grandezza non saprebbe descrivere."
2," perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire",Avvicinandosi al sogno a cui anelava la nostra mente si immergeva così profondamente che nemmeno la memoria riusciva ad accompagnarlo.
3," Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",L'oggetto della mia canzone sarà ciò che mi rimane impresso nella memoria del santo regno.
4," O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, benevolo Apollo, donami la necessaria ispirazione per terminare l'ultima Cantica così da poter meritarci la tua divina corona poetica."
5," Infino a qui l’un giogo di Parnaso assai mi fu","Fino a questo punto, un solo versante del monte Parnaso mi è stato sufficiente."
6," ma or con amendue m’è uopo intrar ne l’aringo rimaso","Con l'assistenza reciproca, ora devo adoperarmi a completare il lavoro rimasto."
7," Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Soffia nella mia anima, come un vento che liberi Marsia dalle sue limitazioni."
8," O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh grande potere, se mi concedi abbastanza da consentirmi di tracciare nella mia mente un'immagine del regno degli eletti,"
9," vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Mi presenzierò ai piedi della tua beata quercia e indosserò i suoi frondosi rami di cui io e il tema elevato del poema siamo abbastanza degni.
10," Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Occorre raramente, padre, per un condottiero o un poeta di essere insigniti del trionfo con l'alloro."
11," che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Quando qualcuno la desidera, i rami di Peneo dovrebbero suscitare gioia nella felice divinità di Delfi."
12," Poca favilla gran fiamma seconda",Una piccola scintilla precede un'imponente fiamma.
13," forse di retro a me con miglior voci si pregherà perché Cirra risponda","altri, con voci più forti di me, chiederanno che Cirra accolga le loro preghiere"
14," Surge ai mortali per diverse foci la lucerna del mondo","Da vari punti dell'orizzonte, la luce del mondo si diffonde tra gli umani."
15," ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Nasce di fronte a quattro cerchi che si intersecano creando tre croci, svegliandosi in una stagione più mite."
16," e la mondana cera più a suo modo tempera e suggella"," E con un influsso benefico sulla Terra, la stella porta benedizioni."
17," Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","I raggi del sole avevano invaso il Purgatorio durante l'arco diurno, mentre la Terra si era immersa nell'oscurità della notte. Una metà del globo sfoggiava un vivido candore e l'altra un intenso scuro."
18," quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole",quando Beatrice era rivolta verso la sinistra e aveva gli occhi puntati sul sole
19," aguglia sì non li s’affisse unquanco",Mai prima un'aquila lo aveva guardato con simile intensità.
20," E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Come una pietra lanciata verso il cielo, che risale allo stesso angolo usando la forza riflessa, così come un pellegrino desideroso di tornare a casa, il raggio si allontana da quello d'incidenza e sale sempre più in alto."
21," così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",L'atteggiamento di lui stimolò il mio spirito d'immaginazione e io guardai al sole con capacità più grandi del solito per un essere umano.
22," Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Là nell'Edensono ammesse molte cose che non lo sono sulla Terra, grazie al luogo creato appositamente per la specie umana"
23," Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Non appena ho guardato il sole, l'ho visto brillare come un ferro incandescente appena estratto dal fuoco, anche se non potevo fissarlo a lungo."
24," e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Sembrava che Dio avesse regalato al giorno un'altra luce, come se il cielo fosse stato abbellito da un secondo sole."
25," Beatrice tutta ne l’etterne rote fissa con li occhi stava",Beatrice aveva l'occhio puntato sulle ruote celesti.
26," e io in lei le luci fissi, di là sù rimote",Io spostai il mio sguardo dal cielo per osservare lei.
27," Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Quando la guardai, mi trasformai all'interno, proprio come Glauco quando ingerì l'erba che lo rese una divinità marina."
28," Trasumanar significar per verba non si poria",Superare i confini individuati dall'umanità non è facile da descrivere a parole.
29," però l’essemplo basti a cui esperïenza grazia serba",Coloro che vengono onorati dalla grazia divina dovrebbero prendere ad esempio la mitologia per sperimentarlo in prima persona.
30," S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Se io ero solo ciò che tu, amore che governi il Cielo, creasti per ultima, lo sai che mi innalzasti con la tua luce"
31," Quando la rota che tu sempiterni desiderato, ","Quando la rotazione dei Cieli, che tu mantieni immortale con la volontà delle ruote celesti di avvicinarsi a te,"
32," a sé mi fece atteso con l’armonia che temperi e discerni, ",Catturò il mio interesse con l'armonia che hai creato e gestito.
33," parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso","la lucentezza del sole era così forte che non avrebbe mai potuto essere prodotta da pioggia o fiumi, rendendo il cielo come un immenso lago."
34," La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume","Il suono nuovo e la luce abbagliante mi suscitarono una forte curiosità di scoprirne la fonte, più intensa che mai prima."
35," Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","Lei, come se avesse letto i miei pensieri prima ancora di sentire la mia domanda, riuscì a tranquillizzare la mia mente agitata e disse"
36," «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso"," Rendi con la tua immaginazione distorta inutile la tua capacità di comprensione, cosicché tu non sia in grado di vedere ciò che saresti in grado di scorgere qualora ne fossi liberato."
37," Tu non se’ in terra, sì come tu credi","Non sei sulla Terra, come pensi."
38," ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","« Ma un fulmine, abbandonandone il punto d'origine , non sfrecciò con tale rapidità come tu stai tornando al luogo che è giusto per te »"
39," S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","se io fui liberato dal primo dubbio da quelle poche e bellissime parole, mi venne un'altro dubbio, e dissi"
40," «Già contento requïevi di grande ammirazion",La mia enorme meraviglia si è ora placata.
41," ma ora ammiro com’ io trascenda questi corpi levi»",mi sorprendo di come io riesca a superare questi volatili leggeri
42," Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Lei, dopo aver sospirato devotamente, mi guardò con aria materna come se fossi stato il figlio che diceva cose insensate e iniziò"
43," «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","»Tutte le cose create formano un ordine, e questo è il modo in cui l'Universo imita Dio."
44," Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","Gli esseri razionali possono percepire, attraverso l'ordine esistente, la virtù divina che è destinata a divenire l'obiettivo finale di tale ordine."
45," Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","Tutte le creature seguono, in diversi modi e con grandezza variabile, l'inclinazione che deriva dal proprio principio creatore."
46," onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","Perseguono obiettivi differenti nella vastità dell'universo, ognuna mossa da un istinto innato."
47," Questi ne porta il foco inver’ la luna",L'impulso attira il fuoco verso la luna.
48," questi ne’ cor mortali è permotore",Esso tocca le anime degli esseri irrazionali.
49," questi la terra in sé stringe e aduna",essa compatta e unisce il suolo
50," né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore","Questo impulso guida sia le creature prive di ragione, che quelle dotate di un'anima razionale."
51," La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","La Provvidenza, che ha determinato tutto ciò, illumina sempre il Cielo con la sua luce in cui gira quello più veloce."
52," e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","Con quell'istinto naturale che scorta ogni organismo nella sua destinazione, portiamolo a un posto determinato."
53," Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","È innegabile che, poiché la materia a volte non reagisce come previsto, la forma finale non sempre corrisponde all'intento artistico."
54," così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","A volte, la ragione della creatura ha l'opportunità di allontanarsi da questa rotta, avendo il potere di deviatare in un altro sentiero, nonostante sia ben indirizzata."
55," e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","Come un fulmine che si abbatte dal cielo, così l'istinto umano può spingerlo a rivolgersi verso gli attaccamenti materialistici, attratto da una falsa gioia."
56," Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","Non devi più stupirti se giudico correttamente, del tuo progredire come un fiume che scorre dalla montagna verso la valle."
57," Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Sarebbe straordinario se tu, senza ostacoli, fossi rimasto - come un fuoco che non si muove e non sale in altezze."
58," Quinci rivolse inver’ lo cielo il viso","Le parole di Beatrice si conclusero, mentre lo sguardo di lei guardava il Cielo."
59," O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Navigate dietro di noi in questa piccola barca, varcando le onde con uno spirito intrepido; se amate la meraviglia della musica ascoltate il nostro canto mentre solchiamo i mari."
60," tornate a riveder li vostri liti",ritornate alle sponde da cui avete preso il largo
61," non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","Non azzardatevi ad avventurarvi al largo, perché rischiereste di perdervi in assenza della mia traccia."
62," L’acqua ch’io prendo già mai non si corse",Nessuno aveva mai navigato prima su questo corso d'acqua.
63," Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva genera le brezze, Apollo manovra la barra e le nove Muse mi guida nella navigazione."
64," Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Voi che avete assaporato in anticipo il cibo degli angeli, quello da cui si traggono forza e nutrimento sulla Terra, ma non è mai sufficiente."
65," metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","Potete salpare con la vostra barca, seguendo le mie tracce in alto mare mentre l'onda torna indietro indisturbata."
66," Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Quei gloriosi, all'arrivo nella Colchide, non sorpresero tanto della metamorfosi di Giasone da guerriero a contadino quanto voi vi meraviglierete."
67," La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete",Il nostro costante desiderio di un regno divino ci spingeva in altezze rapide come le stelle nel firmamento.
68," Beatrice in suso, e io in lei guardava",Beatrice guardava in alto e io guardavo lei
69," e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","In un attimo, come una freccia che viene lanciata da un arco e raggiunge il suo obiettivo, vola via."
70," giunto mi vidi ove mirabil cosa mi torse il viso a sé","Quando giunsi in quel luogo, vidi uno stupendo spettacolo che rapì il mio sguardo."
71," e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ","Nessuna delle mie idee poteva sfuggire alla sua attenzione, mentre mi guardava con gioia e bellezza."
72," «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","Mi disse di ringraziare Dio per averci condotto alla prima stella, concentrando la nostra mente."
73," Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","Mi sembrava che ci fosse un'enorme, dorata nube di luce solare, simile a un diamante scintillante."
74," Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","Come un raggio di sole che si diffonde nell'acqua, la gemma eterna ci accolse dentro di sé."
75," S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Se io avevo un corpo robusto, non si comprende come due realtà così dissimili siano riuscite a coesistere."
76," ch’esser convien se corpo in corpo repe, ","Quando un corpo entra in contatto con un altro, qualcosa deve inevitabilmente accadere."
77," accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio",Dovrebbe accrescere la nostra brama di contemplare quell'essenza nella quale è racchiuso il mistero dell'incarnazione del divino.
78," Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Vedremo cose che non possiamo dimostrare razionalmente, ma le abbracciamo come verità grazie alla nostra fede."
79," Io rispuosi",Io replicai
80," «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto","Grazie a Dio per avermi tolto dalle preoccupazioni della vita terrena e da questa tua gentile Benedizione, mia Sovrana."
81," Ma ditemi"," che ne diteChe cosa pensate di questo?"
82," che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»","Che ombre misteriose sono queste, che sorgono dalla stella lontana e portano alcuni a raccontare leggende su Caino?"
83," Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, ",Lei mi lanciò un sorrisetto e poi dichiarò: «Qualora l'opinione degli uomini fosse sbagliata».
84," «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, ","Non stupirti più ormai, dove i sensi non forniscono risposte adeguate in quella materia."
85," poi dietro ai sensi vedi che la ragione ha corte l’ali",poiché è evidente che i sensi non possono sempre essere seguiti dalla ragione
86," Ma dimmi quel che tu da te ne pensi»",Vorrei sapere cosa ne pensi.
87," E io",Ed io
88," «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi»",Pensi che la variazione nell'intensità della luce delle stelle sia dovuta alla diversa densità massima del corpo celeste.
89," Ed ella",e lei
