Original,Translate_de_1
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Die Kraft dessen, der alles bewegt, breitet sich im ganzen Kosmos aus und leuchtet in einigen Teilen heller, weniger in anderen."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Meine Erfahrung im Himmel, wo das Licht viel intensiver ist, hat mir erlaubt, Dinge zu sehen, die jeder, der nicht in seine Größe eingetaucht ist, nicht beschreiben kann."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Indem er sich dem Traum näherte, nach dem sich unser Geist sehnte, tauchte er so tief ein, daß auch sein Gedächtnis ihn nicht begleiten konnte."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Das Objekt meines Liedes wird das sein, was mir im Gedächtnis des heiligen Königreiches eingeprägt bleibt."
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, lieber Apollo, gib mir die nötige Inspiration, um das letzte Lied zu beenden, damit wir deine göttliche poetische Krone verdienen können."
 Infino a qui l’un giogo di Parnaso assai mi fu,Bis zu diesem Punkt reichte mir nur eine Seite des Berges Parnaso aus.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Mit gegenseitiger Unterstützung muss ich mich jetzt darum bemühen, die noch verbleibende Arbeit zu vollenden."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Es bläst in meine Seele, wie ein Wind, der Marsien von seinen Einschränkungen befreit."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O große Macht, wenn du mir genug gibst, damit ich in meinem Sinn ein Bild vom Reich der Auserwählten zeichnen kann,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Ich werde zu Füßen deiner seligen Eiche treten und seine Zweige tragen, von denen ich und das hohe Thema des Gedichtes würdig genug sind."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Man braucht selten, Vater, für einen Anführer oder Dichter, mit dem Lorbeer triumphiert zu werden."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Wenn jemand es wünscht, sollten die Zweige des Penäus Freude an der glücklichen Göttlichkeit Delphis wecken."
 Poca favilla gran fiamma seconda,Ein kleiner Funke geht einer imposanten Flamme voraus.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"andere, die lauter sind als ich, werden darum bitten, daß Cyrra ihre Gebete annimmt."
 Surge ai mortali per diverse foci la lucerna del mondo,Von verschiedenen Punkten des Horizonts aus breitet sich das Licht der Welt unter den Menschen aus.
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Er entsteht vor vier Kreise, die sich durch drei Kreuze schneiden und in einer milderen Jahreszeit aufwachen."
 e la mondana cera più a suo modo tempera e suggella,Und mit einem positiven Einfluss auf die Erde bringt der Stern Segnungen.
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Die Sonnenstrahlen hatten während des Tageslichts das Fegefeuer überschwemmt, während sich die Erde in die Dunkelheit der Nacht eingetaucht hatte. Eine Hälfte der Welt strahlte einen lebendigen Glanz aus und die andere eine intensive, dunkle."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Als Beatrice sich nach links wandte und ihre Augen auf die Sonne gerichtet waren
 aguglia sì non li s’affisse unquanco,Noch nie zuvor sah ihn ein Adler so intensiv an.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Wie ein in den Himmel geworfener Stein, der mit der reflektierten Kraft in die gleiche Ecke zurückreicht, ebenso wie ein Pilger, der nach Hause zurückkehrt, entfernt sich der Strahl vom Einschlag und steigt immer höher."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Seine Einstellung regte meinen Geist der Phantasie an, und ich schaute in die Sonne mit größerer Fähigkeit als sonst für einen Menschen."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece",".Dank der Schaffung eines Ortes als Haus der menschlichen Spezies sind in Eden viele Dinge erlaubt, die es auf der Erde nicht wären."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Sobald ich die Sonne sah, sah ich, wie es glühte wie ein glühendes Eisen, das gerade aus dem Feuer gezogen wurde, obwohl ich es nicht lange anstarren konnte."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Es schien, als hätte Gott dem Tag ein anderes Licht geschenkt, als ob der Himmel von einer zweiten Sonne verschönert worden wäre."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice hatte ihr Auge auf die Himmelsräder gerichtet.
" e io in lei le luci fissi, di là sù rimote","Ich zog meinen Blick vom Himmel, um sie zu beobachten."
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Als ich sie ansah, verwandelte ich mich nach innen, genau wie Glauco, als er das Gras fraß, das ihn zu einer Meeresgottheit machte."
 Trasumanar significar per verba non si poria,Eine Überwindung der von der Menschheit ermittelten Grenzen ist nicht leicht zu beschreiben.
 però l’essemplo basti a cui esperïenza grazia serba,"Diejenigen, die von der göttlichen Gnade geehrt werden, sollten zum Beispiel die Mythologie nehmen, um sie selbst zu erfahren."
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","?Wenn du, Liebe, die den Himmel regiert, die letzte warst, die nur mich erschuf, wirst du wissen, dass du mein Leben mit deinem Licht erleuchtet hättest?"
" Quando la rota che tu sempiterni desiderato, ","Wenn die Drehung des Himmels, die du unsterblich hältst mit dem Willen der himmlischen Räder, sich dir zu nähern,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ","Ich kriege mein Interesse an der Harmonie, die du erschaffen und geführt hast."
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso","Der Glanz der Sonne war so stark, dass sie nie durch Regen oder Flüsse produziert werden konnte, so dass der Himmel wie ein riesiger See."
 La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"Der neue Klang und das leuchtende Licht weckten mir eine starke Neugier, die Quelle zu entdecken, die intensiver denn je war."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò",":Sie, als ob sie meine Gedanken gelesen hatte, bevor sie meine Frage gehört hatte, schaffte es, meinen verstörten Geist zu beruhigen und rief mit freundlicher Stimme aus."
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Mache mit deiner Fantasie deine Fähigkeit zum Verständnis nutzlos, damit du nicht sehen kannst, was du sehen würdest, wenn du sie befreit hättest."
" Tu non se’ in terra, sì come tu credi","Du bist nicht auf der Erde, wie du denkst."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","""Aber ein Blitz, der seinen Ursprung verließ, stürzte nicht so schnell, wie du an den Ort zurückkehrst, der dir recht ist ,"""
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi",":Dank der kurzen und freundlichen Worte, hatte mein erster Zweifel zerstreut. Aber sobald der zweite begann, in meinem Kopf zu sehen, rief ich:"
 «Già contento requïevi di grande ammirazion,Mein großes Erstaunen hat sich nun beruhigt.
 ma ora ammiro com’ io trascenda questi corpi levi»,"Ich bin überrascht, wie ich diese leichten Vögel überwinden kann."
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Eine lange Predigt, die sie, nachdem sie gottesfürchtig seufzte, sah mich mit mütterlicher Luft an, als ob ich der Sohn gewesen wäre, der Unsinn sagte und eine lange Predigt begann."
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","Alles Erschaffene bildet eine Ordnung, und das ist die Art und Weise, wie das Universum Gott nachahmt."
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","Die rationalen Wesen können durch die bestehende Ordnung die göttliche Tugend wahrnehmen, die dazu bestimmt ist, das Endziel dieser Ordnung zu werden."
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","Alle Geschöpfe folgen in unterschiedlicher Weise und mit unterschiedlicher Größe der Neigung, die sich aus dem eigenen Schöpferprinzip ergibt."
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","Sie verfolgen unterschiedliche Ziele in der Weite des Universums, jede von einem angeborenen Instinkt bewegt."
 Questi ne porta il foco inver’ la luna,Der Impuls zieht das Feuer zum Mond.
 questi ne’ cor mortali è permotore,Es berührt die Seelen irrationaler Wesen.
 questi la terra in sé stringe e aduna,Es kompakte und verbindet den Boden
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore",Dieser Impuls führt sowohl die unvernünftigen Geschöpfe als auch die mit einer rationalen Seele.
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","Die Vorsehung, die all das bestimmt hat, erleuchtet immer den Himmel mit ihrem Licht, in dem das schnellste sich dreht."
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","Mit diesem natürlichen Instinkt, der jeden Organismus in seinen Bestimmungsort bringt, bringen wir ihn an einen bestimmten Ort."
" Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","Es ist unbestreitbar, daß die endgültige Form, da die Materie manchmal nicht wie geplant reagiert, nicht immer der künstlerischen Absicht entspricht."
