Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Die Kraft des Einen, der alles bewegt, erstreckt sich im ganzen Kosmos und leuchtet in einigen Teilen heller, in anderen weniger."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Meine Erfahrung im Himmel, wo Licht viel intensiver ist, hat mir erlaubt, Dinge zu sehen, die jeder, der nicht in seine Größe eingetaucht ist, nicht beschreiben kann."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Nahe an den Traum heranzukommen, dem unser Geist sich sehnte, tauchten sie so tief ein, dass nicht einmal die Erinnerung sie begleiten konnte."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Das Objekt meines Liedes wird das sein, was mir in der Erinnerung an das heilige Königreich eingeprägt bleibt."
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, gütiger Apollo, gib mir die nötige Inspiration, um das letzte Lied zu beenden, damit wir deine göttliche poetische Krone verdienen können."
 Infino a qui l’un giogo di Parnaso assai mi fu,Bis zu diesem Punkt reichte mir nur eine Seite des Mount Parnaso.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Mit gegenseitiger Unterstützung muss ich nun daran arbeiten, die verbleibende Arbeit zu vollenden."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Bläst in meiner Seele, wie ein Wind, der Marsia von ihren Grenzen befreit."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh, große Macht, wenn du mir genug gibst, um mir ein Bild vom Reich der Auserwählten in den Sinn zu ziehen,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Ich werde am Fuße deiner gesegneten Eiche stehen und ihre Froschzweige tragen, von denen ich und das hohe Thema des Gedichts durchaus würdig sind."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Es ist selten notwendig, Vater, für einen Führer oder Dichter den Triumph mit dem Lorbeer verliehen werden."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Wenn jemand es wünscht, sollten die Zweige von Peneus Freude an Delphis glücklicher Göttlichkeit wecken."
 Poca favilla gran fiamma seconda,Ein kleiner Funke geht einer imposanten Flamme voraus.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"andere, mit lauteren Stimmen als ich, werden darum bitten, dass Cirra ihre Gebete annimmt"
 Surge ai mortali per diverse foci la lucerna del mondo,Aus verschiedenen Horizonten breitet sich das Licht der Welt unter den Menschen aus.
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Es wird vor vier Kreisen geboren, die drei Kreuze bilden und in einer milderen Jahreszeit aufwachen."
 e la mondana cera più a suo modo tempera e suggella,Und mit einem wohltuenden Einfluss auf die Erde bringt der Stern Segen.
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Die Strahlen der Sonne waren während des Tagesbogens in das Fegefeuer eingedrungen, während die Erde sich in die Dunkelheit der Nacht eingetaucht hatte. Die eine Hälfte des Globus hatte eine lebendige Kandore und die andere eine dunkle Intensität."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,als Beatrice sich zu ihrer Linken wandte und ihre Augen auf die Sonne schauten.
 aguglia sì non li s’affisse unquanco,Noch nie zuvor hatte ihn ein Adler so intensiv angesehen.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Wie ein zum Himmel geworfener Stein, der mit der reflektierten Kraft zurück in die gleiche Ecke geht, sowie ein Pilger, der nach Hause zurückkehren möchte, bewegt sich der Strahl von dem Einfall weg und steigt immer höher."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",Seine Haltung stimulierte meine Vorstellungskraft und ich schaute auf die Sonne mit größeren Fähigkeiten als üblich für einen Menschen.
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Dort in Eden werden viele Dinge zugelassen, die nicht auf der Erde sind, dank des Ortes, der speziell für die menschliche Spezies geschaffen wurde."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Sobald ich die Sonne ansah, sah ich sie scheinen wie ein glühendes Eisen, das gerade aus dem Feuer gezogen war, obwohl ich sie nicht lange anstarren konnte."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Es schien, als hätte Gott dem Tag ein weiteres Licht gegeben, als wäre der Himmel durch eine zweite Sonne verschönert worden."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice hatte ihr Auge auf die himmlischen Räder.
" e io in lei le luci fissi, di là sù rimote",Ich bewegte meinen Blick vom Himmel um sie anzuschauen.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Als ich sie ansah, drehte ich mich hinein, genau wie Glaucus, als er das Gras schluckte, das ihn zu einem Seegott machte."
 Trasumanar significar per verba non si poria,"Die Grenzen der Menschheit zu überwinden, ist nicht leicht in Worten zu beschreiben."
 però l’essemplo basti a cui esperïenza grazia serba,"Diejenigen, die durch göttliche Gnade geehrt werden, sollten zum Beispiel die Mythologie nehmen, um sie aus erster Hand zu erleben."
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Wenn ich nur das wäre, was du, die Liebe, die den Himmel regiert, zuletzt erschaffen hast, weißt du, dass du mich mit deinem Licht emporgehoben hast"
" Quando la rota che tu sempiterni desiderato, ","Wenn die Rotation des Himmels, die ihr unsterblich haltet mit dem Willen der himmlischen Räder, euch zu nähern,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ","Er hat mein Interesse an der Harmonie, die Sie geschaffen und verwaltet haben, geweckt."
