Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","The strength of the One who gives movement to everything extends throughout the Cosmos and shines brighter in some parts, less in others."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","My experience in Heaven, where light is much more intense, has allowed me to see things that anyone who has not been immersed in its greatness would not know how to describe."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Coming close to the dream to which our minds longed, they immersed themselves so deeply that not even the memory could accompany them."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",The object of my song will be what remains imprinted on me in the memory of the holy kingdom.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, benevolent Apollo, give me the necessary inspiration to finish the last Song so that we can deserve your divine poetic crown."
" Infino a qui l’un giogo di Parnaso assai mi fu","Up to this point, only one side of Mount Parnaso was enough for me."
" ma or con amendue m’è uopo intrar ne l’aringo rimaso","With mutual assistance, I must now work to complete the remaining work."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Blow in my soul, like a wind that frees Marsia from her limitations."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh great power, if you give me enough to allow me to draw in my mind an image of the kingdom of the elect,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",I will stand at the foot of your blessed oak and wear its froggy branches of which I and the high theme of the poem are quite worthy.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","It is rarely necessary, Father, for a leader or poet to be awarded the triumph with the laurel."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","When someone desires it, the branches of Peneus should stir up joy in Delphi's happy divinity."
" Poca favilla gran fiamma seconda",A small spark precedes an imposing flame.
" forse di retro a me con miglior voci si pregherà perché Cirra risponda","others, with louder voices than I, will ask that Cirra accept their prayers"
" Surge ai mortali per diverse foci la lucerna del mondo","From various points of the horizon, the light of the world spreads among humans."
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","It is born in front of four circles intersecting creating three crosses, waking up in a milder season."
" e la mondana cera più a suo modo tempera e suggella","And with a beneficial influence on Earth, the star brings blessings."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","The rays of the sun had invaded Purgatory during the day's arc, while the Earth had immersed itself in the darkness of the night. One half of the globe had a vivid candor and the other a dark intense."
" quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole","when Beatrice turned to her left, and her eyes were on the sun."
" aguglia sì non li s’affisse unquanco",Never before had an eagle looked at him with such intensity.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Like a stone thrown towards the sky, which goes back to the same corner using the reflected force, as well as a pilgrim eager to return home, the ray moves away from that of incidence and rises ever higher."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",His attitude stimulated my imagination and I looked at the sun with greater abilities than usual for a human being.
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","There in Eden many things are admitted that are not on Earth, thanks to the place created specifically for the human species"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","As soon as I looked at the sun, I saw it shine like a glowing iron just pulled out of the fire, even though I couldn't stare at it for long."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","It seemed that God had given the day another light, as if the sky had been embellished by a second sun."
" Beatrice tutta ne l’etterne rote fissa con li occhi stava",Beatrice had her eye on the celestial wheels.
" e io in lei le luci fissi, di là sù rimote",I moved my gaze from the sky to look at her.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","When I looked at her, I turned inside, just like Glaucus when he swallowed the grass that made him a sea god."
" Trasumanar significar per verba non si poria",Overcoming the boundaries identified by humanity is not easy to describe in words.
" però l’essemplo basti a cui esperïenza grazia serba",Those who are honored by divine grace should take for example mythology to experience it firsthand.
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","If I was only what you, the love that governs Heaven, created last, you know that you lifted me up with your light"
" Quando la rota che tu sempiterni desiderato, ","When the rotation of Heaven, which you keep immortal with the will of the heavenly wheels to approach you,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ",He caught my interest in the harmony you created and managed.
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso","The shine of the sun was so strong that it could never be produced by rain or rivers, making the sky like an immense lake."
" La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume","The new sound and the dazzling light aroused a strong curiosity to discover its source, more intense than ever before."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","She, as if she had read my thoughts before she even heard my question, managed to calm my agitated mind and said,"
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Make your understanding with your distorted imagination useless, so that you may not be able to see what you would be able to see if you were freed from it."
" Tu non se’ in terra, sì come tu credi","You're not on Earth, as you think."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","""But a lightning, leaving its point of origin, did not scroll as quickly as you are returning to the place that is right for you."""
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","If I was freed from the first doubt from those few beautiful words, another doubt came to me, and I said,"
" «Già contento requïevi di grande ammirazion",My enormous wonder has now subsided.
" ma ora ammiro com’ io trascenda questi corpi levi»",I'm surprised how I can get past these light birds.
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","She, after sighing devoutly, looked at me with motherly air as if I were the son who said foolish things and began"
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","""All created things form an order, and this is the way in which the Universe imitates God."
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","Rational beings can perceive, through the existing order, the divine virtue that is destined to become the final objective of that order."
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","All creatures follow, in different ways and with variable size, the inclination that derives from their creator principle."
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","They pursue different goals in the vastness of the universe, each moved by an innate instinct."
" Questi ne porta il foco inver’ la luna",The impulse draws fire to the moon.
" questi ne’ cor mortali è permotore",It touches the souls of irrational beings.
" questi la terra in sé stringe e aduna",It compacts and unites the soil
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore",This impulse guides both unreasoning creatures and those endowed with a rational soul.
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","Providence, which has determined all this, always illuminates Heaven with its light in which it turns the fastest."
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","With that natural instinct that escorts every organism to its destination, let's take it to a certain place."
" Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","It is undeniable that, since matter sometimes does not react as expected, the final form does not always correspond to the artistic intent."
" così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","Sometimes, the creature's reason has the opportunity to get away from this course, having the power to deviate on another path, although it is well directed."
" e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","Like lightning coming down from heaven, so human instinct can move him to turn to materialistic attachments, attracted by false joy."
" Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","You must no longer be surprised if I judge correctly, your progress as a river flowing from the mountain to the valley."
" Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","It would be amazing if you, without obstacles, had remained like a fire that doesn't move and climbs into heights."
" Quinci rivolse inver’ lo cielo il viso",Beatrice's words ended while her gaze looked at Heaven.
" O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Navigate behind us in this little boat, crossing the waves with a fearless spirit; if you love the wonder of music, listen to our song as we sail the seas."
" tornate a riveder li vostri liti",Return to the shores from which you have taken the sea.
" non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","Don't venture to venture off the coast, because you'd risk losing yourself in the absence of my track."
" L’acqua ch’io prendo già mai non si corse",No one had ever sailed this stream before.
" Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva generates breezes, Apollo maneuvers the bar and the nine Muse guides me in navigation."
" Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","You who have tasted in advance the food of angels, the food from which you derive strength and nourishment on Earth, but it is never enough."
" metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","You can sail with your boat, following my tracks on the high seas as the wave returns undisturbed."
" Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Those glorious ones, when they arrived in Colchis, did not surprise so much of Jason's metamorphosis from warrior to peasant as you will marvel."
" La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete",Our constant desire for a divine kingdom pushed us into rapid heights like the stars in the firmament.
" Beatrice in suso, e io in lei guardava",Beatrice looked up and I looked at her.
" e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","In a moment, like an arrow that is thrown from an arch and reaches its goal, it flies away."
" giunto mi vidi ove mirabil cosa mi torse il viso a sé","When I came to that place, I saw a wonderful spectacle that took my gaze."
" e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ",None of my ideas could escape his attention while he looked at me with joy and beauty.
" «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","He told me to thank God for leading us to the first star, concentrating our minds."
" Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","It seemed to me that there was a huge, golden cloud of sunlight, like a glittering diamond."
" Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","Like a ray of sun that spreads into the water, the eternal gem welcomed us within itself."
" S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","If I had a sturdy body, you don't understand how two realities so dissimilar could coexist."
