Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La fuerza de Aquel que da movimiento a todo se extiende a través del Cosmos y brilla más brillante en algunas partes, menos en otras."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Mi experiencia en el Cielo, donde la luz es mucho más intensa, me ha permitido ver cosas que cualquiera que no haya estado inmerso en su grandeza no sabría describir."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Al acercarse al sueño al que anhelaban nuestras mentes, se sumergieron tan profundamente que ni siquiera la memoria pudo acompañarlos."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",El objeto de mi canción será lo que quede impreso en mí en la memoria del reino santo.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, benevolente Apolo, dame la inspiración necesaria para terminar la última Canción para que podamos merecer tu divina corona poética."
 Infino a qui l’un giogo di Parnaso assai mi fu,"Hasta este punto, sólo un lado del monte Parnaso era suficiente para mí."
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Con la ayuda mutua, ahora debo trabajar para completar el trabajo restante."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Sopla en mi alma, como un viento que libera a Marsia de sus limitaciones."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh gran poder, si me das lo suficiente para permitirme dibujar en mi mente una imagen del reino de los elegidos,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Me pararé al pie de tu bendito roble y usaré sus ramas de rana de las que yo y el alto tema del poema son bastante dignos.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Rara vez es necesario, Padre, que a un líder o poeta se le conceda el triunfo con el laurel."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Cuando alguien lo desea, las ramas de Peneus deben despertar alegría en la divinidad feliz de Delphi."
 Poca favilla gran fiamma seconda,Una pequeña chispa precede a una llama imponente.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"otros, con voces más fuertes que yo, pedirán que Cirra acepte sus oraciones"
 Surge ai mortali per diverse foci la lucerna del mondo,"Desde varios puntos del horizonte, la luz del mundo se extiende entre los seres humanos."
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Nace frente a cuatro círculos que se cruzan creando tres cruces, despertando en una estación más suave."
 e la mondana cera più a suo modo tempera e suggella,"Y con una influencia beneficiosa en la Tierra, la estrella trae bendiciones."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Los rayos del sol habían invadido el Purgatorio durante el arco del día, mientras que la Tierra se había sumergido en la oscuridad de la noche. Una mitad del globo tenía un cándor vívido y la otra una intensidad oscura."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,"cuando Beatrice se volvió a su izquierda, y sus ojos estaban en el sol."
 aguglia sì non li s’affisse unquanco,Nunca antes un águila lo había mirado con tanta intensidad.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Como una piedra arrojada hacia el cielo, que se remonta a la misma esquina utilizando la fuerza reflejada, así como un peregrino deseoso de volver a casa, el rayo se aleja de la incidencia y se eleva cada vez más alto."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",Su actitud estimuló mi imaginación y miré al sol con mayores habilidades de lo habitual para un ser humano.
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Allí en el Edén se admiten muchas cosas que no están en la Tierra, gracias al lugar creado específicamente para la especie humana"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Tan pronto como miré al sol, vi que brillaba como un hierro brillante recién sacado del fuego, a pesar de que no podía mirarlo por mucho tiempo."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Parecía que Dios había dado al día otra luz, como si el cielo hubiera sido embellecido por un segundo sol."
