Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La force de Celui qui donne du mouvement à tout s'étend à travers le Cosmos et brille davantage dans certaines parties, moins dans d'autres."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Mon expérience au Ciel, où la lumière est beaucoup plus intense, m'a permis de voir des choses que quiconque n'a pas été immergé dans sa grandeur ne saurait décrire."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","S'approchant du rêve auquel nos esprits aspirent, ils s'immergeaient si profondément que même la mémoire ne pouvait les accompagner."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",L'objet de mon chant sera ce qui reste imprimé sur moi dans la mémoire du royaume saint.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, bienveillance Apollo, donne-moi l'inspiration nécessaire pour terminer la dernière chanson afin que nous puissions mériter ta divine couronne poétique."
 Infino a qui l’un giogo di Parnaso assai mi fu,"Jusqu'à ce point, un seul côté du Mont Parnaso m'a suffi."
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Avec l'assistance mutuelle, je dois maintenant m'efforcer d'achever le travail restant."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Souffle dans mon âme, comme un vent qui libère Marsia de ses limites."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh grand pouvoir, si tu me donnes assez pour me permettre de dessiner dans mon esprit une image du royaume des élus,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Je me tiendrai au pied de votre chêne béni et porterai ses branches grenouilles dont moi et le thème élevé du poème sont tout à fait dignes.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Il est rarement nécessaire, Père, qu'un chef ou un poète se voit décerner le triomphe avec le laurier."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Quand quelqu'un le désire, les branches de Peneus devraient susciter la joie dans la divinité heureuse de Delphi."
 Poca favilla gran fiamma seconda,Une petite étincelle précède une flamme imposante.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"d'autres, avec des voix plus fortes que moi, demanderont à Cirra d'accepter leurs prières"
 Surge ai mortali per diverse foci la lucerna del mondo,"À partir de divers points de l'horizon, la lumière du monde se répand parmi les humains."
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Il est né devant quatre cercles qui s'entrecroisent en créant trois croix, se réveillant dans une saison plus douce."
 e la mondana cera più a suo modo tempera e suggella,"Et avec une influence bénéfique sur la Terre, l'étoile apporte des bénédictions."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Les rayons du soleil avaient envahi le Purgatoire pendant l'arc de la journée, tandis que la Terre s'était immergée dans l'obscurité de la nuit. Une moitié du globe avait une candeur vive et l'autre une intense sombre."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,"quand Béatrice se tourna vers sa gauche, et ses yeux étaient sur le soleil."
 aguglia sì non li s’affisse unquanco,Jamais auparavant un aigle ne l'avait regardé avec une telle intensité.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Comme une pierre jetée vers le ciel, qui remonte au même coin en utilisant la force réfléchie, ainsi qu'un pèlerin désireux de rentrer chez lui, le rayon s'éloigne de celui de l'incidence et s'élève toujours plus haut."
