Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","De kracht van de Ene die beweging geeft aan alles strekt zich uit door de Kosmos en schijnt helderder in sommige delen, minder in andere."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Mijn ervaring in de Hemel, waar het licht veel intenser is, heeft mij in staat gesteld dingen te zien die iedereen die niet ondergedompeld is in zijn grootheid niet zou weten te beschrijven."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Dichtbij de droom komen waar onze gedachten naar verlangden, onderdompelden ze zich zo diep dat zelfs de herinnering hen niet kon vergezellen."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",Het doel van mijn lied zal zijn wat er op mij blijft drukken ter nagedachtenis aan het heilige koninkrijk.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, welwillende Apollo, geef me de nodige inspiratie om het laatste lied af te maken zodat we je goddelijke poëtische kroon kunnen verdienen."
 Infino a qui l’un giogo di Parnaso assai mi fu,Tot nu toe was slechts één kant van Mount Parnaso genoeg voor mij.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Met wederzijdse hulp moet ik nu aan het werk om het resterende werk af te maken.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Blaas in mijn ziel, als een wind die Marsia bevrijdt van haar beperkingen."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O grote macht, als je me genoeg geeft om mij toe te staan een beeld te tekenen van het koninkrijk van de uitverkorenen,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Ik zal staan aan de voet van uw gezegende eik en dragen zijn kikkerige takken waarvan ik en het hoge thema van het gedicht zijn zeer waardig.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Het is zelden nodig, Vader, dat een leider of dichter de triomf met de laurier krijgt."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Als iemand ernaar verlangt, moeten de takken van Peneus vreugde wekken in Delphi's gelukkige goddelijkheid."
 Poca favilla gran fiamma seconda,Een kleine vonk gaat voor een imposante vlam.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"anderen, met luider stemmen dan ik, zullen vragen dat Cirra hun gebeden accepteert"
 Surge ai mortali per diverse foci la lucerna del mondo,Vanuit verschillende horizonten verspreidt het licht van de wereld zich onder de mensen.
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Het is geboren in de voorkant van vier cirkels kruisen maken van drie kruisen, wakker worden in een milder seizoen."
 e la mondana cera più a suo modo tempera e suggella,"En met een gunstige invloed op Aarde, brengt de ster zegeningen."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","De stralen van de zon waren binnengevallen in het vagevuur tijdens de boog van de dag, terwijl de Aarde zich had ondergedompeld in de duisternis van de nacht. De ene helft van de wereld had een levendige openhartigheid en de andere een donkere intens."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Toen Beatrice zich naar haar linkerhand wendde en haar ogen op de zon gericht waren.
 aguglia sì non li s’affisse unquanco,Nooit eerder heeft een adelaar zo intensief naar hem gekeken.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Als een steen naar de hemel geworpen, die teruggaat naar dezelfde hoek met behulp van de gereflecteerde kracht, evenals een pelgrim gretig om terug te keren naar huis, de straal beweegt weg van die van de incidentie en stijgt steeds hoger."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",Zijn houding stimuleerde mijn verbeelding en ik keek naar de zon met grotere vermogens dan gebruikelijk voor een mens.
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Er in Eden worden veel dingen toegegeven die niet op Aarde zijn, dankzij de plaats die speciaal voor de menselijke soort is gecreëerd."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Zodra ik naar de zon keek, zag ik het schijnen als een gloeiend strijkijzer uit het vuur getrokken, ook al kon ik er niet lang naar staren."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Het leek erop dat God de dag een ander licht had gegeven, alsof de hemel was verfraaid door een tweede zon."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice had haar oog op de hemelse wielen.
" e io in lei le luci fissi, di là sù rimote",Ik bewoog mijn blik uit de lucht om naar haar te kijken.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Toen ik naar haar keek, draaide ik me naar binnen, net als Glaucus toen hij het gras inslikte dat hem een zeegod maakte."
 Trasumanar significar per verba non si poria,Het overwinnen van de grenzen die door de mensheid worden geïdentificeerd is niet gemakkelijk te beschrijven in woorden.
 però l’essemplo basti a cui esperïenza grazia serba,"Zij die door goddelijke genade worden geëerd, moeten bijvoorbeeld mythologie nemen om het zelf te ervaren."
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Als ik maar was wat jij, de liefde die de Hemel regeert, als laatste schiep, weet je dat je me optilde met je licht."
" Quando la rota che tu sempiterni desiderato, ","Wanneer de draaiing van de Hemel, die jullie onsterfelijk houden met de wil van de hemelse wielen om jullie te benaderen,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ",Hij zag mijn interesse in de harmonie die jij creëerde en erin slaagde.
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso","De glans van de zon was zo sterk dat het nooit kon worden geproduceerd door regen of rivieren, waardoor de lucht als een immens meer."
 La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"Het nieuwe geluid en het schitterende licht wekten een sterke nieuwsgierigheid om de bron te ontdekken, intenser dan ooit tevoren."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","Ze, alsof ze mijn gedachten had gelezen voordat ze mijn vraag hoorde, slaagde erin om mijn opgewonden geest te kalmeren en zei:"
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Maak je begrip met je vervormde verbeelding nutteloos, zodat je misschien niet kunt zien wat je zou kunnen zien als je ervan bevrijd was."
" Tu non se’ in terra, sì come tu credi","Je bent niet op Aarde, zoals je denkt."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","""Maar een bliksem, waardoor zijn punt van oorsprong, niet zo snel scroll als je terug naar de plaats die geschikt is voor u."""
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","Als ik bevrijd was van de eerste twijfel van die paar mooie woorden, kwam er nog een twijfel naar me toe, en ik zei:"
 «Già contento requïevi di grande ammirazion,Mijn enorme wonder is nu verdwenen.
 ma ora ammiro com’ io trascenda questi corpi levi»,Het verbaast me hoe ik langs deze lichte vogels kan komen.
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Zij, na zuchtend vroom, keek naar me met moederlijke lucht alsof ik de zoon was die dwaze dingen zei en begon"
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","""Alle geschapen dingen vormen een orde, en dit is de manier waarop het Universum God nabootst."
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma",Rationele wezens kunnen door de bestaande orde de goddelijke deugd waarnemen die voorbestemd is om het einddoel van die orde te worden.
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","Alle schepselen volgen, op verschillende manieren en met variabele grootte, de neiging die voortvloeit uit hun schepper principe."
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","Ze streven verschillende doelen na in de uitgestrektheid van het universum, elk bewogen door een aangeboren instinct."
 Questi ne porta il foco inver’ la luna,De impuls trekt vuur naar de maan.
 questi ne’ cor mortali è permotore,Het raakt de zielen van irrationele wezens.
 questi la terra in sé stringe e aduna,Het verdicht en verenigt de bodem
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore",Deze impuls leidt zowel onredelijke schepselen als degenen die begiftigd zijn met een rationele ziel.
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","Voorzienigheid, die dit alles heeft bepaald, verlicht altijd de Hemel met zijn licht waarin hij het snelst draait."
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","Met dat natuurlijke instinct dat elk organisme naar zijn bestemming begeleidt, laten we het naar een bepaalde plek brengen."
