Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Styrkan hos den som ger rörelse åt allt sträcker sig över hela Cosmos och lyser ljusare i vissa delar, mindre i andra."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Min erfarenhet i Himlen, där ljuset är mycket intensivare, har låtit mig se saker som alla som inte har blivit nedsänkta i dess storhet inte vet hur man beskriver."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","När de närmade sig den dröm som våra sinnen längtade efter, fördjupade de sig så djupt att inte ens minnet kunde åtfölja dem."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",Föremålet för min sång kommer att vara det som förblir präglat på mig till minne av det heliga riket.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Åh, välvillig Apollo, ge mig den nödvändiga inspirationen för att avsluta den sista Sången så att vi kan förtjäna din gudomliga poetiska krona."
 Infino a qui l’un giogo di Parnaso assai mi fu,Fram tills nu räckte det med bara en sida av berget Parnaso för mig.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Med ömsesidig hjälp måste jag nu arbeta för att slutföra det återstående arbetet.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Blås i min själ, som en vind som befriar Marsia från hennes begränsningar."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Åh stor makt, om du ger mig tillräckligt för att jag ska få en bild av de utvaldas rike,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Jag kommer att stå vid foten av din välsignade ek och bära dess grodartade grenar som jag och det höga temat i dikten är ganska värdiga.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Det är sällan nödvändigt, fader, att en ledare eller poet tilldelas triumfen med pristagaren."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","När någon önskar det, bör Peneus grenar väcka glädje i Delfis lyckliga gudomlighet."
 Poca favilla gran fiamma seconda,En liten gnista föregår en imponerande låga.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"andra, med högre röster än jag, kommer att be att Cirra accepterar deras böner"
 Surge ai mortali per diverse foci la lucerna del mondo,Från olika håll i horisonten sprider sig världens ljus bland människor.
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Det föds framför fyra cirklar skär skapa tre kors, vakna upp i en mildare säsong."
