Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","De kracht van de Ene die alles beweegt verspreidt zich door het Universum en schijnt meer in sommige delen, minder in andere"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Ik was in de hemel die meer verlicht is door zijn licht, en ik zag dingen die degenen die van boven afdalen niet weten noch kunnen rapporteren"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","in feite, naderend het voorwerp van zijn verlangen, dringt ons intellect zo diep door dat het geheugen hem niet kan volgen"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Echter, het onderwerp van mijn lied zal zijn wat ik in staat was te herstellen in mijn geest van het heilige koninkrijk"
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Goede Apollo, geef me je inspiratie voor het Laatste Lied, zoveel als je vraagt om de verlangende poëtische laurier"
 Infino a qui l’un giogo di Parnaso assai mi fu,Tot nu toe heb ik genoeg van een top van de berg Parnaso.
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Maar nu moet ik naar het resterende werk met de hulp van beide
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Ga in mijn borst en inspireer me, net als toen je Marsia uit de envelop van haar ledematen trok."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O goddelijke deugd, als Gij mij die lang genoeg geeft om een spoor uit te drukken van het koninkrijk van de gezegende, gegraveerd in mijn geest,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Gij zult mij zien komen aan de voet van uw geliefde boom, en mij kronen met zijn bladeren, waarvan gij en het hoge onderwerp des gedichts mij waardig zult maken."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Het gebeurt zo zelden, Vader, dat de laurier wordt gepakt voor de triomf van een leider of een dichter,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","dat het blad van Peneo vreugde zou baren in de gelukkige goddelijkheid van Delphi, indien gewenst door iemand"
 Poca favilla gran fiamma seconda,Een grote vlam volgt een zwakke vonk
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Misschien zullen anderen na mij, met betere stemmen, bidden dat Cirra antwoord geeft."
 Surge ai mortali per diverse foci la lucerna del mondo,De lantaarn van de wereld stijgt naar stervelingen vanuit verschillende horizonten
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","maar vanaf dat punt waar vier cirkels elkaar kruisen die drie kruisen vormen, wordt het geboren in combinatie met een milder seizoen"
 e la mondana cera più a suo modo tempera e suggella,en met een gunstige ster en oefent een meer gunstige invloed uit op de wereld
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Die plek had een volle dag in het vagevuur en nacht op aarde, en het ene halfrond was helemaal wit en het andere zwart,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Toen zag ik Beatrice linksaf en staren naar de zon
 aguglia sì non li s’affisse unquanco,Een adelaar staarde nooit zo naar hem.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","En als de gereflecteerde straal zich meestal verwijdert van die van inval en omhoog klimt in dezelfde hoek, als een pelgrim die naar huis wil terugkeren,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Dus vanuit zijn geïnfundeerde houding in mijn denkbeeldige faculteitsmijn werd geboren, en ik staarde naar de zon buiten normale menselijke vermogens."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Er zijn in Eden veel dingen toegestaan die niet op Aarde zijn, dankzij die plaats die gecreëerd is als de juiste plaats van de menselijke soort"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Ik kon lange tijd niet naar de zon staren, maar ik kon het niet overal zien schijnen, alsof er net een gloeiend strijkijzer uit het vuur kwam."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","En terstond leek het alsof er een ander was toegevoegd aan de dag, alsof God de hemel van een tweede zon had versierd."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice staarde naar de hemelse wielen
" e io in lei le luci fissi, di là sù rimote","En ik zag haar aan, en wendde haar van den hemel af."
