,Paradiso,Parafrasi
0,La gloria di colui che tutto move,"La magnificenza di Dio, colui che dà vita  a tutto il creato,"
1,"per l’universo penetra, e risplende","entra e si manifesta  in tutte le cose dell’universo, e risplende "
2,in una parte più e meno altrove.,con maggiore o minor fulgore nei diversi luoghi. 
3,Nel ciel che più de la sua luce prende,"Nel cielo che più riceve del raggio divino io giunsi ,"
4,"fu’ io, e vidi cose che ridire",e lì vidi cose che colui che ritorna da lassù 
5,né sa né può chi di là sù discende;,"non riesce e non ha la possibilità di riferire ,"
6,"perché appressando sé al suo disire,","poiché avvicinandosi all’oggetto del suo desiderio,"
7,"nostro intelletto si profonda tanto,",l’intelletto umano si addentra  
8,che dietro la memoria non può ire.,"a tal punto, che la facoltà di ricordare non riesce a tenergli dietro."
9,Veramente quant’ io del regno santo,Tuttavia  tutto quello che del Paradiso  
10,"ne la mia mente potei far tesoro,","sono riuscito a tenere nella memoria  e imparare , "
11,sarà ora materia del mio canto.,sarà adesso oggetto della mia poesia.
12,"O buono Appollo, a l’ultimo lavoro","O santo Apollo, riempimi  della tua virtù poetica "
13,"fammi del tuo valor sì fatto vaso,","per questa ultima fatica , quanto è richiesto  "
14,come dimandi a dar l’amato alloro.,per conquistare il desiderato alloro poetico. 
15,Infino a qui l’un giogo di Parnaso,Fin qui mi è stata sufficiente  una vetta sola del Parnaso; 
16,assai mi fu; ma or con amendue,ma ora mi è necessario  affrontare  con l’aiuto 
17,m’è uopo intrar ne l’aringo rimaso.,di entrambe  la prova che ancora resta .
18,"Entra nel petto mio, e spira tue","Entra nel mio cuore, e ispirami tu con quella"
19,sì come quando Marsïa traesti,stessa intensità  come quando tirasti fuori
20,de la vagina de le membra sue.,Marsia dal rivestimento  della sua pelle.
21,"O divina virtù, se mi ti presti","O sacra virtù, se mi aiuti e assecondi  "
22,tanto che l’ombra del beato regno,così che io possa esprimere  almeno una vaga immagine  
23,"segnata nel mio capo io manifesti,","del luogo santo rimasta impressa  nella mia mente,"
24,vedra’mi al piè del tuo diletto legno,"mi vedrai venire ai piedi del tuo albero amato, "
25,"venire, e coronarmi de le foglie",e farmi corona con le foglie di cui la materia 
26,che la materia e tu mi farai degno.,e la tua arte mi avranno reso degno.
27,"Sì rade volte, padre, se ne coglie","Così di rado, o padre, si colgono foglie d’alloro  "
28,"per trïunfare o cesare o poeta,","per il trionfo di un imperatore  o di un artista, "
29,"colpa e vergogna de l’umane voglie,"," colpa e vergogna dei bassi appetiti umani, "
30,che parturir letizia in su la lieta,che quando la pianta di Dafne  desta il desiderio  
31,delfica deïtà dovria la fronda,"di qualcuno, tale fatto dovrebbe generare  letizia "
32,"peneia, quando alcun di sé asseta.",nella gioiosa divinità di Delfi. 
33,Poca favilla gran fiamma seconda:,Una piccola scintilla può provocare  un grande incendio:
34,forse di retro a me con miglior voci,forse dopo di me con maggior virtù poetica  
35,si pregherà perché Cirra risponda.,si invocherà per chiedere l’aiuto di Apollo .
36,Surge ai mortali per diverse foci,Il sole  sorge per gli uomini da diversi punti dell’orizzonte ; 
37,la lucerna del mondo; ma da quella,ma quando esce da quel punto che 
38,"che quattro cerchi giugne con tre croci,","unisce quattro cerchi con tre croci,  è in congiunzione "
39,con miglior corso e con migliore stella,"con la stagione  e con la costellazione più favorevole,"
40,"esce congiunta, e la mondana cera",e plasma e modella  meglio secondo 
41,più a suo modo tempera e suggella.,le sue influenze  la materia terrena.
42,Fatto avea di là mane e di qua sera,Il sole  aveva portato la mattina in
43,"tal foce, e quasi tutto era là bianco","quell’emisfero  e la notte in questo, e quella parte"
44,"quello emisperio, e l’altra parte nera,","del cielo era quasi tutta chiara, mentre questa era"
45,quando Beatrice in sul sinistro fianco,"ormai scura, quando mi accorsi che Beatrice si"
46,vidi rivolta e riguardar nel sole:,era voltata sul lato sinistro a guardare il sole: mai  
47,aguglia sì non li s’affisse unquanco.,un’aquila poté fissarlo così .
48,E sì come secondo raggio suole,E come un raggio riflesso  si stacca sempre  dal primo 
49,"uscir del primo e risalire in suso,","per dirigersi verso l’alto, proprio come il pellegrino che vuole"
50,"pur come pelegrin che tornar vuole,","ritornare, così al suo atteggiamento, giunto alla mia"
51,"così de l’atto suo, per li occhi infuso","mente  attraverso gli occhi,"
