Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","Kraften hos den som rör allting sprider sig över universum och lyser mer i vissa delar, mindre i andra"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Jag var i Himlen som är mer upplyst av hans ljus, och jag såg saker som de som stiger ner från ovan inte vet eller kan rapportera"
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","I själva verket, när vi närmar oss föremålet för hans önskan, tränger vårt intellekt in så djupt att minnet inte kan följa honom"
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",Men ämnet för min sång kommer att bli vad jag kunde fixa i mitt sinne om det heliga riket
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O goda Apollo, ge mig din inspiration för den sista Sång, så mycket som du ber om att bevilja den längtande poetiska lagraren"
 Infino a qui l’un giogo di Parnaso assai mi fu,Hittills har jag fått nog av ett enda toppmöte i Mount Parnaso
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Men nu måste jag komma till det återstående arbetet med hjälp av båda
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Gå in i mitt bröst och inspirera mig, precis som när du drog Marsia ur kuvertet av hennes lemmar"
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O gudomliga dygd, om du ger dig till mig så länge att jag kan uttrycka ett spår av riket av de välsignade ingraverade i mitt sinne,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","Och du skall se mig komma vid foten av ditt älskade träd och kröna mig med dess löv, som du och diktens huvuddrag skall göra mig värdig."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Det händer så sällan, fader, att pristagaren tas för en ledares eller en poets triumf,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","att Peneos blad skall föda glädje i Delfis lyckliga gudomlighet, när någon önskar det,"
 Poca favilla gran fiamma seconda,En stor låga följer en svag gnista
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Kanske efter mig andra, med bättre röster, kommer att be för Cirra att svara"
 Surge ai mortali per diverse foci la lucerna del mondo,Världens lykta stiger till de dödliga från olika punkter av horisonten
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","men från den punkt där fyra cirklar skär bildar tre kors, det föds i samband med en mildare säsong"
 e la mondana cera più a suo modo tempera e suggella,och med en gynnsam stjärna och utövar ett mer fördelaktigt inflytande på världen
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Den platsen hade full dag i skärselden och natten på jorden, och en halvklot var allt vitt och den andra svart,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,När jag såg Beatrice svänga vänster och stirra på solen
 aguglia sì non li s’affisse unquanco,En örn stirrade aldrig så på honom
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Och eftersom den reflekterade strålen vanligtvis rör sig bort från incidensen och klättrar upp i samma vinkel, som en pilgrim som vill återvända hem,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Så från hans ingjutna attityd till min imaginära förmåga min föddes, och jag stirrade på solen bortom normala mänskliga förmågor."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Där i Eden är många saker tillåtna som inte finns på jorden, tack vare den plats som skapats som den rätta platsen för den mänskliga arten"
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Jag kunde inte stirra på solen på länge, men jag kunde inte se det skina runt omkring, som om ett glödande järn bara kom ut ur elden."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Och strax verkade det som om en annan lades till dagen, som om Gud hade smyckat himlen av en andra sol."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice stirrade på de himmelska hjulen
" e io in lei le luci fissi, di là sù rimote",Och jag såg på henne och vände henne bort ifrån himmelen.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","När jag såg på henne, blev jag sådan att hon blev Glaucus när hon åt gräset, som förvandlade henne till en havsgudom."
 Trasumanar significar per verba non si poria,Att höja sig över mänskliga gränser kunde inte förklaras med ord
 però l’essemplo basti a cui esperïenza grazia serba,Därför är det mytologiska exemplet tillräckligt för dem för vilka Guds nåd förbehåller sig direkt erfarenhet
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Om jag bara var vad du, kärlek som styr Himlen, skapad till sist, du vet att du lyfte upp mig med ditt ljus"
