,Paradiso,Parafrasi

1,"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La potenza di Colui che muove ogni cosa si diffonde in tutto l'Universo e splende più in alcune parti, meno in altre"
2," Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Io fui nel Cielo  che è più illuminato dalla sua luce, e vidi cose che chi scende di lassù non sa né può riferire"
3," perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","infatti, avvicinandosi all'oggetto del suo desiderio , il nostro intelletto si addentra tanto in profondità che la memoria non lo può seguire"
4," Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Tuttavia, l'argomento del mio canto sarà ciò che io riuscii a fissare nella mia mente del regno santo "
5," O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O buono Apollo, concedimi la tua ispirazione per l'ultima Cantica, tanto quanto tu richiedi per concedere l'agognato alloro poetico"
6, Infino a qui l’un giogo di Parnaso assai mi fu,Finora mi è stata sufficiente una sola cima del monte Parnaso 
7, ma or con amendue m’è uopo intrar ne l’aringo rimaso, ma ora devo accingermi al lavoro rimasto con l'aiuto di entrambe 
8," Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Entra nel mio petto e ispirami, proprio come quando tirasti fuori Marsia dall'involucro delle sue membra "
9," O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","O virtù divina, se ti concedi a me quel tanto che basti a che io esprima una traccia del regno dei beati impressa nella mia mente, "
10," vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","mi vedrai venire ai piedi del tuo amato albero, e incoronarmi con le sue foglie di cui tu e l'alto argomento del poema mi renderanno degno"
11," Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Capita così di rado, padre, che si colga l'alloro per il trionfo di un condottiero o di un poeta , "
12," che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","che la fronda di Peneo dovrebbe far nascere gioia nella felice divinità di Delfi , quando è desiderata da qualcuno"
13, Poca favilla gran fiamma seconda,Una grande fiamma segue una debole scintilla
14, forse di retro a me con miglior voci si pregherà perché Cirra risponda," forse dopo di me altri, con voci migliori, pregheranno perché Cirra risponda"
15, Surge ai mortali per diverse foci la lucerna del mondo,La lanterna del mondo  sorge ai mortali da diversi punti dell'orizzonte
16," ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, "," ma da quel punto in cui quattro cerchi si intersecano formando tre croci, esso nasce in congiunzione con una stagione più mite "
17, e la mondana cera più a suo modo tempera e suggella, e con una stella propizia  ed esercita un più benefico influsso sul mondo
18," Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Quel punto aveva fatto pieno giorno in Purgatorio e notte sulla Terra, e un emisfero era tutto bianco e l'altro nero, "
19, quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,quando vidi Beatrice voltata a sinistra e intenta a fissare il sole
20, aguglia sì non li s’affisse unquanco, un'aquila non lo fissò mai in tal modo
21," E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","E come il raggio riflesso è solito allontanarsi da quello di incidenza e salire in alto con lo stesso angolo, come un pellegrino che vuole tornare in patria, "
