Original,Translate_es_1
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La fuerza de Aquel que da movimiento a todas las cosas se extiende por todo el Cosmos y resplandece más brillantemente en algunas partes, menos en otras."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Mi experiencia en el cielo, donde la luz es mucho más intensa, me ha permitido ver cosas que cualquiera que no haya sido sumergido en su grandeza no sabría describir."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","Al acercarse al sueño que anhelaba nuestra mente, se sumergió tan profundamente que ni siquiera la memoria podía acompañarlo."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",El objeto de mi canción será lo que me queda grabado en la memoria del santo reino.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, Apolo, dame la inspiración necesaria para terminar la última Cántica para que podamos merecer tu divina corona poética."
 Infino a qui l’un giogo di Parnaso assai mi fu,"Hasta este punto, un solo lado del monte Parnaso ha sido suficiente para mí."
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Con la asistencia mutua, ahora tengo que esforzarme por completar el trabajo que queda."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Sopla en mi alma, como un viento que libera a Marsia de sus limitaciones."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh gran poder, si me concedes lo suficiente para que pueda trazar en mi mente una imagen del reino de los elegidos,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Me presentaré a los pies de tu beata roble y usaré sus frondosas ramas de las que yo y el tema elevado del poema somos bastante dignos.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Rara vez es necesario, padre, que un líder o un poeta sea galardonado con el triunfo con el laurel."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Cuando alguien la desea, las ramas de Peneo deben suscitar gozo en la feliz divinidad de Delfos."
 Poca favilla gran fiamma seconda,Una pequeña chispa precede a una llama imponente.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"otros, con voces más fuertes que yo, pedirán que Cirra acepte sus oraciones"
 Surge ai mortali per diverse foci la lucerna del mondo,"Desde varios puntos del horizonte, la luz del mundo se extiende entre los humanos."
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Nace frente a cuatro círculos que se cruzan creando tres cruces, despertándose en una estación más suave."
 e la mondana cera più a suo modo tempera e suggella,"Y con una influencia beneficiosa en la Tierra, la estrella trae bendiciones."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Los rayos del sol invadieron el Purgatorio durante el arco diurno, mientras que la Tierra se había sumergido en la oscuridad de la noche. Una mitad del globo lucía una vívida canción y la otra un intenso oscuro."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,", cuando Beatrice se dirigía hacia la izquierda y tenía los ojos puestos en el sol"
 aguglia sì non li s’affisse unquanco,Nunca antes un águila lo había mirado tan intensamente.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Como una piedra lanzada hacia el cielo, que se remonta al mismo ángulo usando la fuerza reflejada, así como un peregrino deseoso de volver a casa, el rayo se aleja del rayo de incidencia y sube cada vez más alto."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","La actitud de él estimuló mi espíritu de imaginación, y miré al sol con capacidad más grande de lo habitual para un ser humano."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece",".Gracias a la creación de un lugar como hogar de la especie humana, en el Edén se permiten muchas cosas que no lo serían en la Tierra."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Tan pronto como miré al sol, lo vi brillar como un hierro brillante que acababa de sacar del fuego, aunque no podía mirarlo por mucho tiempo."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Parecía que Dios había regalado al día otra luz, como si el cielo hubiera sido embellecido por un segundo sol."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice tenía el ojo en las ruedas celestiales.
" e io in lei le luci fissi, di là sù rimote",Moví mi mirada del cielo para observarla.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Cuando la miré, me transformé en el interior, al igual que Glauco cuando se tragó la hierba que lo convirtió en un dios marino."
 Trasumanar significar per verba non si poria,La superación de los límites de la humanidad no es fácil de describir con palabras.
 però l’essemplo basti a cui esperïenza grazia serba,Aquellos que son honrados por la gracia divina deben tomar como ejemplo la mitología para experimentarlo en primera persona.
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","?Si tú, amor que gobiernas el Cielo, eras la última en crear una sola yo, ¿sabes que iluminarías mi vida con tu luz?"
" Quando la rota che tu sempiterni desiderato, ","Cuando la rotación de los cielos, que tú mantienes inmortal con la voluntad de las ruedas celestiales de acercarse a ti,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ",Atrapó mi interés con la armonía que creaste y manejaste.
