Original,Translate_de_1
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Und das Schiff meines Verstandes hebe nun die Segel auf, daß es besser werde, und hinterlasse das grausame Meer der Hölle."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,"und ich will singen von dem zweiten Reich, in welchem sich die Menschenseele reinigt und würdig wird, in den Himmel zu steigen."
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Aber hier wird das tote Gedicht auferstehen, o heilige Muse, denn ich bin euch geweiht"
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Und es erhob sich ein wenig Calliope und sah meinen Gesang mit dem Gesang, dessen armselige Gatzen so einen Schlag hörten, daß sie verzweifelten, daß ihnen vergeben würde."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Eine sanfte Farbe orientalischen Saphirs, die sich im heiteren Aussehen der reinen Luft bis zum Horizont sammelte,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","und machte meine Augen fröhlich, als ich aus der toten Luft hinausging, die meine Augen und mein Herz betrübt hatte."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Der schöne Planet, der zu lieben drängte, erleuchtete freudig den ganzen Osten und verdunkelte mit seinem Licht das Sternbild der Fische, die ihm folgten."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Und ich wandte mich zu meiner Rechten und sah den südlichen Himmel und sah vier Sterne, die niemand gesehen hatte außer den ersten Vorfahren."
 Goder pareva ’l ciel di lor fiammelle,Der Himmel schien ihr Licht zu genießen
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","O boreale Hemisphäre, du bist wirklich verwüstet, weil du diese Sterne nicht bewundern kannst"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Als ich meinen Blick von ihnen ablenkte und mich ein wenig in den nördlichen Himmel wandte, von wo aus der Große Bär untergegangen war,"
