Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Das Schiff meiner Einfallsreichtum, jetzt, hebt Segel, um bessere Wasser zu reisen und hinter dem grausamen Meer der Hölle verlässt"
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,"und ich werde von jenem zweiten Königreich singen, in dem die menschliche Seele gereinigt wird und würdig wird, in den Himmel aufzusteigen"
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Aber hier erhebt sich die tote Poesie, o heilige Muse, da ich euch geweiht bin"
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Und hier erhob sich Calliope etwas und erlebte mein Lied mit dem Klang, von dem die elenden Gazis einen solchen Schlag hörten, dass sie verzweifelt verziehen werden."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Eine süße orientalische Saphirfarbe, die sich im heiteren Aspekt der reinen Luft bis zum Horizont versammelte,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Er gab Freude zu meinen Augen, sobald ich aus der toten Luft kam, die meine Augen und mein Herz betrübt hatte"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Der schöne Planet, der zur Liebe drängt, erleuchtete den ganzen Osten freudig und trübte mit seinem Licht das Sternbild der Fische, das ihm folgte"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Ich wandte mich zu meiner Rechten und sah den Südhimmel und sah vier Sterne, die niemand sah außer den ersten Vätern."
 Goder pareva ’l ciel di lor fiammelle,Der Himmel schien ihr Licht zu genießen
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","oder boreale Hemisphäre, es tut dir wirklich leid, dass du diese Sterne nicht sehen kannst"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Sobald ich meinen Blick von ihnen abwendete und mich ein wenig zum nördlichen Himmel wandte, von wo der Große Bär inzwischen gesetzt hatte,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Ich sah einen einsamen alten Mann neben mir, der ihn so respektvoll ansah wie das, was ein Sohn seinem Vater schuldet."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Er trug lange Bärte und mit weißen und schwarzen Haaren, ähnlich seinem Haar, von denen zwei lange Zöpfe auf seine Brust fielen."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Das Licht der vier heiligen Sterne leuchtete ihm ins Gesicht, bis ich ihn sah, als hätte er die Sonne vor sich."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Wer bist du, der, wenn du den unterirdischen Fluss hinaufgehst, aus dem ewigen Gefängnis geflohen ist?"
" diss’ el, movendo quelle oneste piume","Er hat uns gesagt, dass er diesen würdigen Bart bewegt."
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Wer hat euch rechtgeleitet und was hat euch den Weg gezeigt, der aus der tiefen Nacht herauskommt, die immer die Höllenspalte verdunkelt?"
 Son le leggi d’abisso così rotte? ,Sind die Gesetze des Abgrunds so wertlos?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Oder ist im Himmel ein neues Gesetz erlassen worden, durch das du, verdammt, zu den Felsen kommst, die ich halte?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Dann ergriff mich mein Lehrer, und mit seinen Worten, seinen Händen und seinen Gesten kniete ich nieder und schaute nach unten."
 Poscia rispuose lui,Dann antwortete er ihm
 «Da me non venni,Ich bin nicht allein hergekommen.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Eine Frau kam vom Himmel herab, für deren Gebete ich ihm mit meiner Hilfe half."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Aber da Ihr Wunsch ist, dass wir Ihnen im Detail unseren Zustand erklären, ist es nicht möglich, dass mein Wunsch anders ist als Ihr."
 Questi non vide mai l’ultima sera,Dieser ist nie gestorben.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","aber für seine Sünde war er so nahe, so dass es nicht lange dauern würde"
" Sì com’ io dissi, fui mandato ad esso per lui campare","Wie gesagt, ich wurde geschickt, um ihm zu helfen."
 e non lì era altra via che questa per la quale i’ mi son messo,"Und es gab keinen anderen Weg als diesen, für den ich mit ihm ging."
 Mostrata ho lui tutta la gente ria,Ich habe ihm alles gezeigt.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,"Jetzt will ich ihm die Seelen zeigen, die sich in Ihrem Gewahrsam reinigen."
" Com’ io l’ho tratto, saria lungo a dirti","Es wäre eine lange Zeit, zu erklären, wie ich ihn hierher geführt habe."
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Vom Himmel kommt eine Tugend, die mir hilft, ihn hierher zu bringen, euch zu sehen und euch zu hören."
 Or ti piaccia gradir la sua venuta,"Willkommen, sein Kommen."
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta","sucht Freiheit, was sehr kostbar ist, wie er weiß, wer in seinem Namen auf sein eigenes Leben verzichtet"
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Du weißt es gut, denn du hast mit dem Tod in Utica um Freiheit gehandelt, wo du den Leib verlassen hast, den der Tag des Gerichts erstrahlen wird."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Ewige Edikte werden nicht von uns gebrochen, denn Dante lebt und Minos hat keine Macht über mich."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Denn ich komme aus dem Kreis, wo die reinen Augen deiner Frau sind, Martja, der sie sieht, scheint dich zu bitten, sie noch als deine zu betrachten, o heilige Brust."
 per lo suo amore adunque a noi ti piega,im Namen seiner Liebe beugen Sie sich daher zu uns.
 Lasciane andar per li tuoi sette regni,Lassen Sie uns für die sieben Fegefeuerrahmen gehen
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»","Ich werde Ihnen vor ihr danken, wenn Sie zustimmen, dort erwähnt zu werden."
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Solange ich am Leben war, war Martjah so erfreut in meinen Augen"
" diss’ elli allora, ",Dann sagte er:
" «che quante grazie volse da me, fei",dass ich alle seine Wünsche erfüllte
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Nun, da er jenseits des höllischen Flusses wohnt, kann er mich nicht mehr bewegen, aufgrund jenes Gesetzes, das erlassen wurde, als ich aus ihm herauskam."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Aber wenn eine gesegnete Frau, wie Sie sagen, Ihre Schritte bewegt, brauchen Sie keine Schmeichelei"
 bastisi ben che per lei mi richegge,Du musst nur in seinem Namen zu mir beten.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Gehe nun hin und lasse ihn seine Lenden mit einem glatten Stock umgürten und sein Gesicht waschen, um von ihm alles Schmutz zu entfernen."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso","In der Tat wäre es nicht angebracht, vor dem Premierminister des Paradieses mit dem Auge von etwas Nebel verschleiert erscheinen"
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Diese kleine Insel, in ihren unteren Teilen, wo sie von den Wellen geschlagen wird, ist voll von Rauschen auf den Schlammquellen"
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Keine andere Pflanze, die Zweige oder einen starren Stamm hatte, kann dort wachsen, denn sie würde sich nicht dem Impuls der Wellen beugen."
 Poscia non sia di qua vostra reddita,Dann ist deine Rückkehr nicht so
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","die Sonne, die jetzt aufgeht, wird Ihnen die Richtung zeigen, wo Sie einfachen Zugang zum Berg finden"
 Così sparì,Also verschwand er
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Und ich stand auf, ohne zu reden, und zog mich zu meiner Führung und wandte meinen Blick zu ihm."
 El cominciò,Er fing an.
" «Figliuol, segui i miei passi","Sohn, folge meinen Schritten"
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Gehen wir zurück, denn von hier geht die Ebene sanft zum niedrigsten Punkt zurück."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Das Licht der Morgendämmerung war die letzte Stunde der Nacht, die vor ihr floh, so daß ich von ferne das Zittern der Oberfläche des Meeres sah."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Wir gingen durch die einsame Ebene, wie jemand, der den verlorenen Weg gefunden hat und der daran glaubte, vergeblich zu gehen."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Als wir dort waren, wo der Tau mit der Sonne kämpft, denn er ist an dem Punkt, wo Schatten ist und er wenig verdunstet,"
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Mein Herr legte beide Hände auf das Gras, mit offenen Handflächen"
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Dann setzte ich, der verstanden hatte, was er tun wollte, meine Wangen gegen ihn, noch befleckt mit Weinen."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,"Er entdeckte die Farbe meines Gesichts, die die Hölle versteckt hatte"
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Dann kamen wir an das Wüstenufer, das nie jemanden segeln sah, der zurückfahren konnte."
 Quivi mi cinse sì com’ altrui piacque,"Hier gürtete Virgil mich, wie Cato es ihm gesagt hatte."
 oh maraviglia,Was für ein Wunder
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Denn nachdem er die demütige Pflanze zerrissen hatte, die er erwählt hatte, wurde sie sogleich wiedergeboren, wie sie an derselben Stelle war."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,"Die Sonne war bereits am Horizont angekommen, deren Meridian Jerusalem mit seinem höchsten Punkt übertrifft."
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Und die Nacht, die sich in der entgegengesetzten Position der Sonne dreht, kam in Verbindung mit der Waage aus dem Ganges, und es ist nicht so, wenn ihre Dauer die des Tages übersteigt."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","So wurden die weißen und roten Wangen der schönen Aurora, wo ich war, für den Lauf der Zeit orange"
" Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Wir waren noch am Ufer, als jemand, der an den Weg denkt, den er nehmen muss und bereit ist mit dem Verlangen, aber zögert mit dem Körper"
