Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","The ship of my ingenuity, by now, raises sails to travel better waters and leaves behind the cruel sea of Hell"
" e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno",and I will sing of that second kingdom in which the human soul is purified and becomes worthy to ascend to heaven
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","But here the dead poetry rises, O holy Muse, since I am consecrated to you"
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","And here Calliope rose up somewhat, witnessing my song with the sound of which the wretched gazzes heard such a blow that they despaired to be forgiven."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","A sweet oriental sapphire color, which gathered in the serene aspect of pure air to the horizon,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","He gave joy to my eyes as soon as I came out of the dead air , which had saddened my eyes and heart"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","The beautiful planet that pushes to love joyfully illuminated the whole east, clouding with its light the constellation of the Fishes that followed it"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","I turned to my right hand, and saw the southern sky, seeing four stars that no one saw except the first forefathers."
" Goder pareva ’l ciel di lor fiammelle",The sky seemed to enjoy their light
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","or boreal hemisphere, you're really sorry you can't see those stars"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","As soon as I turned away my gaze from them, turning a little to the northern sky from where by now the Great Bear had set,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","I saw a lonely old man beside me, who looked at him as respectful as what a son owes to his father."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","He wore long beards and with white and black hairs, similar to his hair, of which two long braids fell on his chest."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","The light of the four holy stars lit his face, to the point that I saw him as if he had the sun in front of him."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","""Who are you, who, as you go up the underground river, have fled from the eternal prison?"
" diss’ el, movendo quelle oneste piume","He told us, moving that dignified beard"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Who has guided you and what has shown you the way, coming out of the deep night that always obscures the hell's chasm?"
" Son le leggi d’abisso così rotte? ",Are the laws of the abyss so worthless?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Or in Heaven has a new law been enacted by which you, damned, come to the rocks that I keep?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Then my teacher took hold of me, and with his words, his hands, and his gestures made me kneel down and look down."
" Poscia rispuose lui",Then he answered him
" «Da me non venni",I didn't come here on my own
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","A woman came down from Heaven, for whose prayers I helped him with my assistance."
