Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","El barco de mi ingenio, por ahora, levanta velas para viajar mejores aguas y deja atrás el cruel mar del infierno"
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,y cantaré de ese segundo reino en el que el alma humana es purificada y se hace digna de ascender al cielo
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Pero aquí se levanta la poesía muerta, santa musa, ya que estoy consagrado a ti"
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Y aquí Calliope se levantó un poco, siendo testigo de mi canción con el sonido de la cual los miserables destellos oyeron tal golpe que se desesperaron para ser perdonados."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Un dulce color de zafiro oriental, que se reunió en el aspecto sereno del aire puro al horizonte,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Él dio alegría a mis ojos tan pronto como salí del aire muerto, que había entristecido mis ojos y corazón"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","El hermoso planeta que empuja a amar alegremente iluminó todo el este, nublando con su luz la constelación de los Peces que la siguieron"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Me di vuelta a mi mano derecha, y vi el cielo del sur, viendo cuatro estrellas que nadie veía, excepto los primeros antepasados."
 Goder pareva ’l ciel di lor fiammelle,El cielo parecía disfrutar de su luz
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","o hemisferio boreal, realmente lamentas no poder ver esas estrellas"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Tan pronto como aparté mi mirada de ellos, volteándome un poco hacia el cielo del norte desde donde ya se había puesto el Gran Oso,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Vi a un anciano solitario a mi lado, que lo miraba tan respetuoso como lo que un hijo le debe a su padre."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Llevaba barbas largas y pelos blancos y negros, similares a su cabello, de los cuales dos largas trenzas cayeron sobre su pecho."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","La luz de las cuatro estrellas sagradas encendió su rostro, hasta el punto de que lo vi como si tuviera el sol delante de él."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","""¿Quién eres tú, que, al subir por el río subterráneo, has huido de la prisión eterna?"
" diss’ el, movendo quelle oneste piume","Nos lo dijo, moviendo esa barba digna."
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","¿Quién os ha guiado y qué os ha mostrado el camino, saliendo de la noche profunda que siempre oscurece el abismo del infierno?"
 Son le leggi d’abisso così rotte? ,¿Son tan inútiles las leyes del abismo?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","¿O en el Cielo se ha promulgado una nueva ley por la cual ustedes, malditos, vienen a las rocas que yo guardo?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Entonces mi maestro me agarró, y con sus palabras, sus manos y sus gestos me hizo arrodillarme y mirar hacia abajo."
 Poscia rispuose lui,Entonces él le respondió.
 «Da me non venni,Yo no vine aquí por mi cuenta.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Una mujer descendió del Cielo, por cuyas oraciones le ayudé con mi ayuda."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Pero como su deseo es que le expliquemos con más detalle nuestra condición, no es posible que mi deseo sea diferente del suyo."
 Questi non vide mai l’ultima sera,Este nunca murió.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era",pero por su pecado estaba tan cerca de estar para que no fuera mucho tiempo
" Sì com’ io dissi, fui mandato ad esso per lui campare","Como dije, fui enviado a ayudarlo."
 e non lì era altra via che questa per la quale i’ mi son messo,Y no había otra manera más que esta para la que fui con él.
 Mostrata ho lui tutta la gente ria,Le mostré todos los malditos.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,Ahora quiero mostrarle esas almas que se purifican bajo su custodia.
