Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Le navire de mon ingéniosité, maintenant, soulève des voiles pour voyager de meilleures eaux et laisse derrière la mer cruelle de l'Enfer"
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,et je chanterai ce second royaume dans lequel l'âme humaine est purifiée et devient digne de monter au ciel
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Mais ici se lève la poésie morte, ô Muse sainte, puisque je suis consacrée à toi"
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Et ici, Calliope se leva quelque peu, voyant ma chanson avec le son dont les misérables gazzes entendirent un tel coup qu'ils désespérèrent d'être pardonnés."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Une douce couleur saphir orientale, qui s'est rassemblée dans l'aspect serein de l'air pur à l'horizon,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Il a donné de la joie à mes yeux dès que je suis sorti de l'air mort, qui avait attristé mes yeux et mon cœur"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","La belle planète qui pousse à aimer joyeusement illuminé tout l'est, bombant avec sa lumière la constellation des Poissons qui l'a suivi"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Je me tournai vers ma main droite, et je vis le ciel du sud, voyant quatre étoiles que personne n'avait vues que les premiers ancêtres."
 Goder pareva ’l ciel di lor fiammelle,Le ciel semblait profiter de leur lumière
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","ou de l'hémisphère boréal, vous êtes vraiment désolé que vous ne puissiez pas voir ces étoiles"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Dès que j'ai détourné mon regard d'eux, en me tournant un peu vers le ciel septentrional d'où le Grand Ours s'était déjà mis,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","J'ai vu un vieil homme solitaire à côté de moi, qui le regardait aussi respectueux que ce qu'un fils doit à son père."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Il portait de longues barbes et avec des cheveux blancs et noirs, semblables à ses cheveux, dont deux longues tresses tombaient sur sa poitrine."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","La lumière des quatre saintes étoiles éclairait son visage, au point que je le voyais comme s'il avait le soleil devant lui."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Qui êtes-vous, qui, en montant la rivière souterraine, avez-vous fui la prison éternelle?"
" diss’ el, movendo quelle oneste piume","Il nous l'a dit, émouvant cette barbe digne"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Qui vous a guidé et qu'est-ce qui vous a montré le chemin, sortant de la nuit profonde qui obscurcit toujours le chaos de l'enfer ?"
 Son le leggi d’abisso così rotte? ,Les lois de l'abîme sont-elles si vaines ?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Ou au Ciel a-t-on promulgué une nouvelle loi par laquelle vous, damnés, venez aux rochers que je garde ?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Puis mon maître m'a saisi, et par ses paroles, ses mains et ses gestes, je me suis agenouillé et regardé vers le bas."
 Poscia rispuose lui,Puis il lui répondit.
 «Da me non venni,Je ne suis pas venu ici tout seul.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Une femme est descendue du Ciel, pour laquelle je l'ai aidé à prier avec mon aide."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Mais puisque votre souhait est que nous vous expliquions plus en détail notre condition, il n'est pas possible que mon désir soit différent du vôtre."
 Questi non vide mai l’ultima sera,Celui-ci n'est jamais mort.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","mais pour son péché, il était si près d'être pour qu'il ne soit pas long"
