id,Original,Translate
0,"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","La mia mente è salpata con la naviglia dell'ingegno, diretta verso acque migliori lasciando alle spalle l'orrido oceano dell'Inferno."
1," e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno",e io intonerò di quel dominio successivo in cui l'anima umana è purificata e ritenuta degna di ascendere al paradiso.
2," Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Siano santi Muse, fatemi risorgere la poesia, dato che sono consacrato a voi."
3," e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope alzò la sua voce, accompagnando il mio canto con un suono così forte che le malaugurate gazze temettero di non essere più perdonate."
4," Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Un caldo bagliore azzurro, che si spandeva nell'atmosfera limpida fino all'orizzonte, come un prezioso zaffiro orientale."
5," a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Appena uscii fuori dall'aria soffocante, sentii una gioia rinnovata pervadermi gli occhi e il cuore."
6," Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","L'illuminazione gioiosa del bel pianeta che ispirava l'amore abbagliava tutto l'oriente, offuscando la costellazione dei Pesci che lo accompagnava con il suo bagliore."
7," I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Dopo aver girato a destra, notai il cielo morente con quattro luminarie che nessuno tranne i nostri antenati più antichi era mai riuscito a vedere."
8," Goder pareva ’l ciel di lor fiammelle",Il cielo sembrava ripagato dal riverbero dei loro colori
9," oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","O emisfero settentrionale, tristemente non puoi contemplare quelle stelle."
10," Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Non appena ebbi staccato gli occhi da esse, spostando la mia attenzione verso il nord, dove l'Orsa Maggiore aveva ormai lasciato il cielo."
11," vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",Guardai accanto a me un anziano solitario che suscitava tanta reverenza quanta è l'affetto che un figlio ha verso il proprio padre.
12," Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Aveva una barba lunga e ispida, con peli bianchi e neri come la sua chioma. Dalle tempiev erano legate due trecce che scendevano sul petto."
13," Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Il bagliore delle quattro stelle sante risplendeva sul suo viso, al punto che sembrava avesse davanti il sole."
14," «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","»«Da dove venite, per essere riusciti a sfuggire alla prigione infinita attraversando il corso sotterraneo del fiume?»"
15," diss’ el, movendo quelle oneste piume","Con un gesto solenne, ci esortò a seguire le sue parole"
16," «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",Chi vi ha illuminato la via dopo esser usciti dalle tenebre della sinistra voragine?
17," Son le leggi d’abisso così rotte? ",Le regole dell'abisso sono prive di significato?
