Original,Translate_de_1
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mein Verstand ist mit dem Schiff des Verstandes abgehauen, auf dem Weg zu besseren Wassern und hinter dem entsetzlichen Ozean der Hölle zurückgelassen wurde."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,"und ich werde jene nächste Herrschaft übernehmen, in der die menschliche Seele gereinigt und als würdig erachtet wird, in das Paradies aufzusteigen."
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Seid heilige Musen, lasst mich das Gedicht auferstehen, da ich euch geweiht bin."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope hob seine Stimme auf und begleitete meinen Gesang mit einem so lauten Klang, daß die unglücklichen Gassen fürchteten, nicht mehr vergeben zu werden."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Ein warmes blaues Licht, das sich in die klare Atmosphäre bis zum Horizont ausbreitete, wie ein kostbares Ostsaphir."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Als ich aus der erstickenden Luft herauskam, spürte ich eine neue Freude, meine Augen und mein Herz zu durchdringen."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Die freudige Erleuchtung des schönen Planeten, der die Liebe inspirierte, blendete den ganzen Osten und verdunkelte das Sternbild der Fische, das ihn mit seinem Glanz begleitete."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Nachdem ich nach rechts gedreht hatte, bemerkte ich den sterbenden Himmel mit vier Leuchttürmen, die niemand außer unseren ältesten Vorfahren je gesehen hatte."
 Goder pareva ’l ciel di lor fiammelle,Der Himmel schien durch ihre Farben belohnt zu werden
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","O nördliche Hemisphäre, du kannst diese Sterne traurigerweise nicht sehen."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Sobald ich meine Augen von ihnen entfernt hatte, bewegte ich meine Aufmerksamkeit in Richtung Norden, wo der Große Bär den Himmel verlassen hatte."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Ich schaute neben mir einen einsamen Ältesten an, der so viel Ehrfurcht erregte wie die Zuneigung eines Sohnes zu seinem Vater."
