Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mein Geist segelte mit dem Schiff der Einfallsreichtum, in Richtung besserer Gewässer, die hinter dem schrecklichen Ozean der Hölle zurückblieben."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,"und ich werde mit jener nächsten Herrschaft gekrönt werden, in der die menschliche Seele gereinigt und für würdig erachtet wird, ins Paradies aufzusteigen."
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Seid heilige Muse, laßt mich die Poesie erheben, da ich euch geweiht bin."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope erhob seine Stimme und begleitete mein Lied mit einem so lauten Klang, dass die schlecht Benachteiligten Angst hatten, ihnen nicht mehr vergeben zu werden."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Ein warmes blaues Leuchten, das sich wie ein kostbarer orientalischer Saphir in die klare Atmosphäre bis zum Horizont ausbreitete."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Sobald ich aus der erstickenden Luft kam, spürte ich eine erneuerte Freude, die meine Augen und mein Herz durchdrang."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Die freudige Beleuchtung des schönen Planeten, der die Liebe inspirierte, blendete den ganzen Osten und trübte das Sternbild der Fische, das ihn mit seinem Glanz begleitete."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Nachdem ich nach rechts gedreht hatte, bemerkte ich den sterbenden Himmel mit vier Lichtern, die niemand außer unseren ältesten Vorfahren je sehen konnte."
 Goder pareva ’l ciel di lor fiammelle,Der Himmel schien durch den Nachhall ihrer Farben belohnt
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Oder die nördliche Hemisphäre, leider kannst du diese Sterne nicht betrachten."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Sobald ich meine Augen von ihnen losgelöst hatte, bewegte ich meine Aufmerksamkeit nach Norden, wo der Große Bär nun den Himmel verlassen hatte."
