Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","My mind sailed with the ship of ingenuity, directed towards better waters leaving behind the horrible ocean of Hell."
" e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno",and I will be crowned with that next dominion in which the human soul is cleansed and deemed worthy to ascend to paradise.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Be holy Muse, let me rise the poetry, since I am consecrated to you."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope raised his voice, accompanying my song with such a loud sound that the ill-favoured gazzes feared that they would no longer be forgiven."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","A warm blue glow, which spread into the clear atmosphere to the horizon, like a precious oriental sapphire."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","As soon as I came out of the suffocating air, I felt a renewed joy pervading my eyes and heart."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","The joyful illumination of the beautiful planet that inspired love dazzled the entire east, clouding the constellation of Pisces that accompanied it with its glow."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","After turning right, I noticed the dying sky with four lights that no one except our oldest ancestors had ever been able to see."
" Goder pareva ’l ciel di lor fiammelle",The sky seemed rewarded by the reverberation of their colors
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Or northern hemisphere, sadly you cannot contemplate those stars."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","As soon as I had detached my eyes from them, moving my attention to the north, where the Great Bear had now left the sky."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",I looked beside me at a lonely elder who aroused as much reverence as the affection a son has toward his father.
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","He had a long and steep beard, with white and black hairs like his hair. From the temples were tied two braids coming down on the chest."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","The glow of the four holy stars shone on his face, to the point that he seemed to be in front of the sun."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Where do you come from, for escaping the infinite prison through the underground course of the river?"
" diss’ el, movendo quelle oneste piume","With a solemn gesture, he urged us to follow his words"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",Who enlightened you in the way after coming out of the darkness of the left chasm?
" Son le leggi d’abisso così rotte? ",Are the rules of the abyss meaningless?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","A heavenly decree has been issued according to which you, condemned, will be brought to the rocks that I guard?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Then my teacher took me, and with the words, hands, and movements he urged me to kneel down and look down."
" Poscia rispuose lui",He answered him later.
" «Da me non venni",I didn't show up here spontaneously.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","A woman came down from Heaven, and I gave my care to answer her pleas."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","In view of your desire to be informed in more detail about our situation, there is no reason for my desire to be different from yours."
" Questi non vide mai l’ultima sera",This has never ceased to exist.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era",It was so close to sin that it would not take long.
" Sì com’ io dissi, fui mandato ad esso per lui campare","As I anticipated, I was sent to help him."
" e non lì era altra via che questa per la quale i’ mi son messo","and there was no other path to follow, except that which we took together."
" Mostrata ho lui tutta la gente ria",I showed him all those who were condemned.
