Original,Translate_es_1
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mi mente zarpó con la nave del ingenio, dirigida hacia mejores aguas, dejando atrás el horrible océano del infierno."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,Y yo entonaré de la siguiente gobernación en la cual el alma humana es limpiada y considerada digna de ascender al paraíso.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Sean santos museos, háganme resucitar la poesía, ya que estoy consagrado a ustedes."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope alzó su voz, acompañando mi canto con un sonido tan fuerte que las desafortunadas gazas temieron no ser más perdonadas."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Un cálido resplandor azul, que se extendía en la atmósfera clara hasta el horizonte, como un precioso zafiro oriental."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Tan pronto como salí del aire sofocante, sentí una alegría renovada invadiendo mis ojos y mi corazón."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","La iluminación gozosa del hermoso planeta que inspiraba el amor deslumbraba todo el oriente, nublando la constelación de los Piscis que lo acompañaba con su resplandor."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Después de girar a la derecha, noté el cielo moribundo con cuatro luminarias que nadie excepto nuestros antepasados más antiguos había podido ver."
 Goder pareva ’l ciel di lor fiammelle,El cielo parecía recompensado por la reverberación de sus colores
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Oh hemisferio norte, tristemente no puedes contemplar esas estrellas."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Tan pronto como me quité los ojos de ellas, moviendo mi atención hacia el norte, donde la Osa Mayor ya había dejado el cielo."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",Miré a mi lado a un anciano solitario que suscitaba tanta reverencia como el afecto que un hijo tiene hacia su padre.
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Tenía una barba larga e hispida, con pelos blancos y negros como su cabello. Desde los templos estaban atadas dos trenzas que bajaban sobre el pecho."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","El resplandor de las cuatro estrellas santas resplandecía en su rostro, hasta el punto de que parecía estar delante del sol."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","¿De dónde eres, por haber escapado de la prisión infinita atravesando el curso subterráneo del río?"
" diss’ el, movendo quelle oneste piume","Con un gesto solemne, nos exhortó a seguir sus palabras"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",¿Quién os ha iluminado el camino después de salir de las tinieblas de la izquierda?
 Son le leggi d’abisso così rotte? ,¿Las reglas del abismo no tienen sentido?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","¿ Se ha promulgado un decreto celestial según el cual usted, condenado, será llevado a las rocas que yo guardo?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Entonces mi maestro me tomó, y con las palabras, las manos y los movimientos me impulsó a arrodillarme y a mirar hacia abajo."
 Poscia rispuose lui,Luego le contestó.
 «Da me non venni,No me presenté voluntariamente aquí.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Una mujer descendió del cielo, y yo presté mi atención para responder a sus súplicas."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","En vista de tu deseo de ser informado más detalladamente sobre nuestra situación, no hay razón para que mi deseo sea diferente del tuyo."
