Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mi mente navegó con el barco del ingenio, dirigido hacia mejores aguas dejando atrás el horrible océano del Infierno."
" e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno",y seré coronado con el próximo dominio en el que el alma humana sea limpiada y considerada digna de ascender al paraíso.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Sé santa musa, déjame levantar la poesía, ya que estoy consagrado a ti."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope alzó su voz, acompañando mi canción con un sonido tan fuerte que los fastidiosos gazzes temían que ya no fueran perdonados."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Un cálido resplandor azul, que se extendió en la atmósfera clara al horizonte, como un precioso zafiro oriental."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Tan pronto como salí del aire sofocante, sentí una alegría renovada que impregnaba mis ojos y mi corazón."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","La alegre iluminación del hermoso planeta que inspiró el amor deslumbraba a todo el este, nublando la constelación de Piscis que lo acompañaba con su resplandor."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Después de girar a la derecha, noté el cielo moribundo con cuatro luces que nadie, excepto nuestros antepasados más antiguos, había podido ver."
" Goder pareva ’l ciel di lor fiammelle",El cielo parecía recompensado por la reverberación de sus colores
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","O hemisferio norte, tristemente no puedes contemplar esas estrellas."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Tan pronto como había desprendido mis ojos de ellos, moviendo mi atención hacia el norte, donde el Gran Oso había dejado el cielo."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",Miré a mi lado a un anciano solitario que despertó tanta reverencia como el afecto que un hijo tiene hacia su padre.
