Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mon esprit navigua avec le navire d'ingéniosité, dirigé vers de meilleures eaux laissant derrière l'horrible océan de l'Enfer."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,et je serai couronné de la domination suivante dans laquelle l'âme humaine est purifiée et jugée digne de monter au paradis.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Soyez saint Muse, laissez-moi lever la poésie, puisque je vous suis consacrée."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope éleva sa voix, accompagnant ma chanson d'un son si fort que les gazz défavorisés craignaient qu'ils ne soient plus pardonnés."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Une lueur bleue chaude, qui s'étend dans l'atmosphère claire à l'horizon, comme un précieux saphir oriental."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Dès que je suis sorti de l'air étouffant, j'ai ressenti une joie renouvelée qui a envahi mes yeux et mon cœur."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","L'illumination joyeuse de la belle planète qui a inspiré l'amour éblouissait tout l'est, bombant la constellation des Poissons qui l'accompagnait de sa lueur."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Après avoir tourné à droite, j'ai remarqué le ciel mourant avec quatre lumières que personne, sauf nos ancêtres les plus anciens, n'avait jamais pu voir."
 Goder pareva ’l ciel di lor fiammelle,Le ciel semblait récompensé par la réverbération de leurs couleurs
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Ou l'hémisphère nord, malheureusement vous ne pouvez pas contempler ces étoiles."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Dès que j'eus détaché mes yeux d'eux, avançant mon attention vers le nord, où le Grand Ours avait maintenant quitté le ciel."
