Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mijn geest zeilde met het schip van vindingrijkheid, gericht op betere wateren die de verschrikkelijke oceaan van de hel achterlaten."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,En ik zal gekroond worden met die volgende heerschappij waarin de menselijke ziel gereinigd en waardig geacht wordt naar het paradijs op te stijgen.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Wees heilige Muse, laat me de poëzie opstaan, want ik ben aan u gewijd."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope verhief zijn stem, vergezeld van mijn lied met zo'n luid geluid dat de misplaatste gazzen vreesden dat ze niet langer zouden worden vergeven."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Een warme blauwe gloed, die zich uitspreidt in de heldere atmosfeer naar de horizon, als een kostbare oosterse saffier."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Zodra ik uit de verstikkende lucht kwam, voelde ik een hernieuwde vreugde door mijn ogen en hart stromen."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta",De vreugdevolle verlichting van de prachtige planeet die liefde inspireerde verblindde het hele oosten en vertroebelde het sterrenbeeld Vissen dat haar vergezelde met zijn gloed.
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Na rechtsaf, merkte ik de stervende hemel met vier lichten die niemand behalve onze oudste voorouders ooit hadden kunnen zien."
 Goder pareva ’l ciel di lor fiammelle,De hemel leek beloond door de nagalm van hun kleuren
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Of het noordelijk halfrond, helaas kun je die sterren niet overwegen."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Zodra ik mijn ogen van hen had losgemaakt, bracht ik mijn aandacht naar het noorden, waar de Grote Beer nu de hemel had verlaten."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",Ik keek naast me naar een eenzame ouderling die net zoveel eerbied wekt als de genegenheid die een zoon heeft jegens zijn vader.
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Hij had een lange en steile baard, met witte en zwarte haren als zijn haar. Van de tempels werden gebonden twee vlechten komen neer op de borst."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","De gloed van de vier heilige sterren scheen op zijn gezicht, tot het punt dat hij leek te zijn voor de zon."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Waar kom je vandaan, voor het ontsnappen van de oneindige gevangenis door de ondergrondse loop van de rivier?"
" diss’ el, movendo quelle oneste piume",Met een plechtig gebaar spoorde hij ons aan om zijn woorden te volgen.
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",Wie verlichtte je in de weg nadat je uit de duisternis van de linker kloof kwam?
 Son le leggi d’abisso così rotte? ,Zijn de regels van de afgrond zinloos?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Er is een hemels bevel uitgevaardigd, volgens welke u, veroordeeld, naar de rotsen gebracht wordt, die ik bewaakt heb."
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Toen nam mijn leraar mij, en met de woorden, handen en bewegingen spoorde hij me aan om neer te knielen en naar beneden te kijken."
 Poscia rispuose lui,Hij antwoordde hem later.
 «Da me non venni,Ik kwam hier niet spontaan opdagen.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Een vrouw kwam uit de hemel, en ik gaf mijn zorg om haar smeekbede te beantwoorden."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Gezien uw wens om meer in detail geïnformeerd te worden over onze situatie, is er geen reden voor mijn wens om anders te zijn dan die van u."
 Questi non vide mai l’ultima sera,Dit is nooit opgehouden te bestaan.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era",Het was zo dicht bij zonde dat het niet lang zou duren.
" Sì com’ io dissi, fui mandato ad esso per lui campare","Zoals ik verwachtte, werd ik gestuurd om hem te helpen."
 e non lì era altra via che questa per la quale i’ mi son messo,En er was geen andere weg te volgen dan wat wij samen namen.
 Mostrata ho lui tutta la gente ria,Ik liet hem al degenen zien die veroordeeld werden.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,Nu wil ik zien dat die zielen spiritueel groeien door jouw begeleiding.
" Com’ io l’ho tratto, saria lungo a dirti",Het zou even duren om uit te leggen hoe ik hem hierheen bracht.
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Vanaf daar leidt een heilzame aanwezigheid me zodat ik hier kan zijn, je lippen kan aanraken en naar je stem kan luisteren."
 Or ti piaccia gradir la sua venuta,Verwelkom haar als ze aankomt.
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta",Hij offert zijn leven op om kostbare vrijheid te bereiken.
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Je weet dat je je leven hebt gegeven om vrij te worden van Utica, en dat op een dag je lichaam zal herleven in al zijn glorie."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","We breken de eeuwige verordeningen niet, want Dante leeft nog en ik ben vrij van de heerschappij van Minos."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Marzia, die je lijkt te smeken haar door haar zuivere ogen te blijven liefhebben, komt uit de cirkel, o gulle hart."
 per lo suo amore adunque a noi ti piega,"door zijn liefde, dus, buig naar ons"
 Lasciane andar per li tuoi sette regni,Laat ons beginnen aan een reis door het Zeven Stappen van het Vagevuur.
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»",Ik zal dankbaar zijn als je akkoord gaat om daar genoemd te worden.
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Wat ik kon zien tijdens mijn bestaan, Marcia was een bron van plezier voor mijn ogen."
" diss’ elli allora, ",Toen sprak hij zijn woorden uit.
" «che quante grazie volse da me, fei",dat hij alles krijgt wat hij wenst
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Hij kan mijn gevoelens niet meer aanraken, op grond van die regel die werd vastgesteld op het moment van mijn vertrek van de andere kant van de rivier hel."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Als een gelukkige vrouw uw stappen leidt, is er geen noodzaak voor vleierij."
 bastisi ben che per lei mi richegge,Alsjeblieft in mijn naam.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Ga, wikkel deze persoon met een stevig bed en reinig zijn gezicht van alle vuil."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso",Het zou niet raadzaam zijn om jezelf te presenteren aan de premier van het Paradijs met enige verwarring in zijn geest.
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Deze kleine istmus, waarin de golven hun zoute schuim en biscuit breken, is bezaaid met borstels op de glibberige modder."
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Geen plant kan daar groeien met sterke bladeren of stam, want het zou niet in staat zijn om de krachten van de zee te weerstaan."
 Poscia non sia di qua vostra reddita,Kom dan niet terug op deze manier.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»",Met de zonsopgang geeft de zon u een duidelijke indicatie over hoe u de makkelijkste route kunt vinden om de berg te bereiken.
 Così sparì,Hij verdween plotseling.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Zonder een woord, stond ik op en ging naar mijn leraar met mijn ogen naar hem toe."
 El cominciò,Hij werd wakker.
" «Figliuol, segui i miei passi","Zoon, neem een voorbeeld van mijn lessen."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","We keren terug in de tegenovergestelde richting, want de vlakte in dit gebied daalt zachtjes naar het laagste punt."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","De opkomst van de zon had gezegevierd over de duisternis van de nacht, die vluchtte in zijn aanwezigheid en ik kon bewonderen, van ver weg de ritmische beweging van het oppervlak van de zee."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","We liepen door de verlaten vlakte, als iemand die eindelijk een bekende weg vond nadat hij vreesde nooit zijn bestemming te bereiken."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Toen we aankwamen bij het gebied waar de dauw duelde met de zon, want het was daar waar er een aanwezigheid van schaduw en weinig verdamping was."
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Mijn meester legde zijn handen op het gras, met open armen."
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Toen richtte ik, die voelde wat hij wilde doen, mijn gezicht op met tranen naar hem toe."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,Hij toonde me de kleur van het gezicht dat de hel had verborgen.
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","We bereikten het verlaten strand, nooit had een navigator erin geslaagd om terug te gaan eens geland daar."
 Quivi mi cinse sì com’ altrui piacque,"Zoals Cato had aanbevolen, Virgil gordde me"
 oh maraviglia,Wat een verwondering.
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","Nadat hij de gekozen eenvoudige kaart had doorgesneden, zag hij de laatste direct teruggroeien naar zijn startpunt alsof hij terug was gegaan naar zijn oorspronkelijke vorm."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,"De zon stond aan de horizon, boven het hoogste punt van de zonnewijzerlijn boven Jeruzalem."
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","Terwijl de nacht meestal niet langer is dan de dag, zag de tegenoverliggende positie van de zon de Ganges stijgen uit Weegschaal in de uren van de avond."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","Aurora's wangen, een visioen van wit en rood waar ik was, werden oranje geschilderd naarmate de tijd verstreek."
