Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Min hjärna seglade med uppfinningsrikedomens skepp, riktad mot bättre vatten som lämnade bakom sig helvetets fruktansvärda hav."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,Och jag kommer att krönas med det nästa herravälde där människosjälen renas och anses värdig att stiga upp till paradiset.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Var helig musa, låt mig höja poesin, eftersom jag är helgad åt dig."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono",Calliope höjde sin röst och åtföljde min sång med ett så högt ljud att de illa gynnade gazzes fruktade att de inte längre skulle bli förlåtna.
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","En varm blå glöd, som spred sig i den klara atmosfären till horisonten, som en dyrbar orientalisk safir."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Så snart jag kom ut ur den kvävande luften, kände jag en förnyad glädje genomträngande ögon och hjärta."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta",Den glada belysningen av den vackra planeten som inspirerade kärleken bländade hela östern och skymde stjärnbilden av Fiskar som åtföljde den med dess glöd.
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Efter att ha svängt till höger, lade jag märke till den döende himlen med fyra ljus som ingen utom våra äldsta förfäder någonsin hade kunnat se."
 Goder pareva ’l ciel di lor fiammelle,Himlen verkade belönas av efterklangen av deras färger
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Eller norra halvklotet, tyvärr kan du inte tänka på dessa stjärnor."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Så snart jag hade avlägsnat mina ögon från dem, flyttade jag min uppmärksamhet mot norr, där den stora björnen nu hade lämnat himlen."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",Jag tittade bredvid mig på en ensam äldste som väckte lika stor vördnad som den tillgivenhet en son hyser för sin far.
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Han hade ett långt och brant skägg, med vitt och svart hår som hans hår. Från templen bands två flätor som kom ner på bröstet."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Lyset från de fyra heliga stjärnorna lyste på hans ansikte, till den grad att han verkade vara framför solen."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Var kommer du ifrån, för att du undkom det oändliga fängelset genom flodens underjordiska bana?"
" diss’ el, movendo quelle oneste piume",Med en högtidlig gest uppmanade han oss att följa hans ord
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ",Vem upplyste dig om vägen efter att ha kommit ut ur den vänstra klyftans mörker?
 Son le leggi d’abisso così rotte? ,Är avgrundens regler meningslösa?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Ett himmelskt påbud har utfärdats, enligt vilket du, dömd, skall föras till de klippor som jag vaktar?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Sedan tog min lärare mig, och med orden, händerna och rörelserna uppmanade han mig att knäböja och se ner."
 Poscia rispuose lui,Han svarade honom senare.
 «Da me non venni,Jag kom inte hit spontant.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","En kvinna kom ner från himlen, och jag gav min omsorg för att besvara hennes böner."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Med tanke på er önskan att bli informerade mer i detalj om vår situation, finns det ingen anledning för mig att vara annorlunda än er."
 Questi non vide mai l’ultima sera,Detta har aldrig upphört att existera.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era",Det var så nära synden att det inte skulle ta lång tid.
