Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Het schip van mijn vindingrijkheid, inmiddels, verhoogt zeilen om betere wateren te reizen en laat achter de wrede zee van de hel"
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,en ik zal zingen van dat tweede koninkrijk waarin de menselijke ziel gezuiverd is en waardig wordt om naar de hemel op te stijgen
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Maar hier komt de dode poëzie op, o heilige Muse, aangezien ik aan u geheiligd ben."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","En hier stond Calliope enigszins op, getuige mijn liedje met het geluid waarvan de ellendige gazzen zo'n klap hoorden dat ze wanhopig waren om vergeven te worden."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Een zoete oosterse saffier kleur, die in het serene aspect van zuivere lucht aan de horizon verzameld,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Hij gaf vreugde aan mijn ogen zodra ik uit de dode lucht kwam, die mijn ogen en hart bedroefd had"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","De prachtige planeet die naar de liefde duwt verlicht het hele oosten, vertroebelend met zijn licht het sterrenbeeld van de Vissen die hem volgden"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Ik draaide mij naar mijn rechterhand, en zag de zuidelijke hemel, ziende vier sterren, die niemand zag, behalve de eerste voorvaderen."
 Goder pareva ’l ciel di lor fiammelle,De hemel leek te genieten van hun licht
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle",Het spijt je echt dat je die sterren niet kunt zien.
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Zodra ik mijn blik van hen afwendde, wendde ik me een beetje naar de noordelijke hemel vanwaar nu de Grote Beer zich had gevestigd,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Ik zag een eenzame oude man naast me, die net zo respectvol naar hem keek als wat een zoon zijn vader verschuldigd is."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Hij droeg lange baarden en met witte en zwarte haren, vergelijkbaar met zijn haar, waarvan twee lange vlechten vielen op zijn borst."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Het licht van de vier heilige sterren verlichtte zijn gezicht, tot het punt dat ik hem zag alsof hij de zon voor zich had."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","""Wie ben jij, die, als je de ondergrondse rivier op gaat, uit de eeuwige gevangenis is gevlucht?"
" diss’ el, movendo quelle oneste piume","Hij vertelde ons, het verplaatsen van die waardige baard"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Wie heeft jou geleid en wat heeft jou de weg gewezen, uit de diepe nacht komen die altijd de kloof verduistert?"
 Son le leggi d’abisso così rotte? ,Zijn de wetten van de afgrond zo waardeloos?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Of is er in de Hemel een nieuwe wet aangenomen waardoor jij, verdoemd, naar de rotsen komt die ik bewaar?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Toen greep mijn leraar mij, en met zijn woorden, zijn handen en zijn gebaren deed ik mij knielen en naar beneden kijken."
 Poscia rispuose lui,Toen antwoordde hij hem.
 «Da me non venni,Ik ben hier niet alleen gekomen.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Een vrouw kwam uit de hemel, voor wiens gebeden ik hem hielp met mijn hulp."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Maar aangezien uw wens is dat wij u in meer detail onze conditie uitleggen, is het niet mogelijk dat mijn wens verschilt van die van u."
 Questi non vide mai l’ultima sera,Deze is nooit gestorven.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","Maar voor zijn zonde was hij zo dicht bij het zijn, zodat het niet lang zou duren"
" Sì com’ io dissi, fui mandato ad esso per lui campare","Zoals ik al zei, ik ben gestuurd om hem te helpen."
 e non lì era altra via che questa per la quale i’ mi son messo,En er was geen andere manier dan deze waarvoor ik met hem meeging.
 Mostrata ho lui tutta la gente ria,Ik heb hem alles laten zien.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,Nu wil ik hem die zielen laten zien die zichzelf zuiveren in jouw hechtenis.
" Com’ io l’ho tratto, saria lungo a dirti",Het zou lang duren om uit te leggen hoe ik hem hierheen heb geleid.
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Vanuit de Hemel komt een deugd die me helpt om hem hier te brengen, om jou te zien en te horen."
 Or ti piaccia gradir la sua venuta,"Nou, verwelkom zijn komst alsjeblieft."
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta","is op zoek naar vrijheid, wat erg kostbaar is omdat hij weet wie in zijn naam afstand doet van zijn eigen leven"
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Gij weet het wel, want Gij hebt den dood in Utica voor de vrijheid behandeld, waar Gij het lichaam hebt verlaten, hetwelk de Dag des Oordeels zal schijnen."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Eeuwige edicten zijn niet door ons gebroken, want Dante leeft en Minos heeft geen macht over mij."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Want ik kom uit de Cirkel, waar de zuivere ogen van uw vrouw zijn, Martia, die haar ziet, lijkt u te smeken om haar nog steeds de uwe te beschouwen, o heilige borst."
 per lo suo amore adunque a noi ti piega,"In de naam van zijn liefde, buig voor ons."
 Lasciane andar per li tuoi sette regni,Laten we gaan voor de zeven Purgatory Frames
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»","Ik dank u waar ze bij is, als u toestemt daar genoemd te worden."
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Zolang ik leefde, was Martia zo blij in mijn ogen."
" diss’ elli allora, ",Hij zei toen:
" «che quante grazie volse da me, fei",dat ik al zijn verlangens vervulde
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Nu dat hij buiten de helse rivier woont, kan hij mij niet meer bewegen, op grond van die wet die werd uitgevaardigd toen ik daaruit kwam."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Maar als een gezegende vrouw, zoals je zegt, je stappen beweegt, heb je geen vleierij nodig."
 bastisi ben che per lei mi richegge,Je hoeft alleen maar in zijn naam tot mij te bidden.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Ga dan heen, en doe hem zijn lenden met een glad bed omgord worden, en was zijn aangezicht, om daaruit te verwijderen alle smerigheid."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso",In feite zou het niet gepast zijn om te verschijnen voor de premier van het Paradijs met het oog bedekt door een aantal mist
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Dit kleine eilandje, in zijn onderste delen, waar het wordt verslagen door de golven, is vol met borstels op de modderbronnen"
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","Geen enkele andere plant met takken of een stijve stam kan daar groeien, want hij zou niet buigen voor de impuls van de golven."
 Poscia non sia di qua vostra reddita,Dan is je terugkeer niet deze kant op.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","de zon, die nu opkomt, zal u de richting tonen waar u gemakkelijk toegang tot de berg kunt vinden"
 Così sparì,Dus hij verdween.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","En ik stond op zonder te spreken, en trok mij onder mijn leiding, en wendde mijn blik naar hem."
 El cominciò,Hij begon.
" «Figliuol, segui i miei passi","Zoon, volg mijn stappen."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Laten we teruggaan, want vanaf hier daalt de vlakte zachtjes naar het laagste punt."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","Het licht van de dageraad was het laatste uur van de nacht dat voor haar vluchtte, zodat ik van verre het beven van de oppervlakte van de zee zag."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","We gingen langs de eenzame vlakte, als iemand die de verdwaalde weg vond en die er naartoe geloofde tevergeefs te wandelen."
