Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele",Min uppfinningsrikedoms skepp lyfter nu segel för att färdas bättre vatten och lämnar bakom sig helvetets grymma hav
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,och jag skall sjunga om det andra rike i vilket människosjälen renas och blir värdig att stiga upp till himlen
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Men här reser sig den döda poesin, o heliga musa, eftersom jag är helgad åt dig."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono",Och här reste sig Calliope upp något och bevittnade min sång med ljudet av vilket de eländiga gasses hörde ett sådant slag att de förtvivlades att bli förlåtna.
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","En söt orientalisk safirfärg, som samlades i den fridfulla aspekten av ren luft till horisonten,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Han gav glädje åt mina ögon så snart jag kom ut ur den döda luften, som hade bedrövat mina ögon och hjärta"
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","Den vackra planet som driver att älska med glädje upplyste hela öst, molnande med sitt ljus stjärnbilden av Fiskarna som följde den"
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Och jag vände mig till min högra hand och fick se den södra himmelen, och jag såg fyra stjärnor, som ingen såg, utom de första förfäderna."
 Goder pareva ’l ciel di lor fiammelle,Himlen tycktes njuta av deras ljus
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Eller boreal hemisfär, du är verkligen ledsen att du inte kan se dessa stjärnor"
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Så snart jag vände bort min blick från dem och vände mig lite till den norra himlen varifrån nu den stora björnen hade satt,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","Jag såg en ensam gammal man bredvid mig, som såg på honom lika respektfull som vad en son är skyldig sin far."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Han bar långa skägg och med vitt och svart hår, liknande hans hår, varav två långa flätor föll på bröstet."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","Ljuset från de fyra heliga stjärnorna tände hans ansikte, till den grad att jag såg honom som om han hade solen framför sig."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","""Vem är du, som har flytt från det eviga fängelset när du går upp i den underjordiska floden?"
" diss’ el, movendo quelle oneste piume",Han sa åt oss att flytta det värdiga skägget.
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Vem har väglett dig och vad har visat dig vägen, kommer ut ur den djupa natten som alltid skymmer helvetets klyfta?"
 Son le leggi d’abisso così rotte? ,Är avgrundens lagar så värdelösa?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","Eller i himlen har en ny lag antagits genom vilken du, fördömd, kommer till klipporna som jag håller?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Då tog min lärare tag i mig, och med hans ord, hans händer och hans gester fick mig att knäböja och se ner."
 Poscia rispuose lui,Då svarade han honom.
 «Da me non venni,Jag kom inte hit ensam.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","En kvinna kom ner från himlen, för vars böner jag hjälpte honom med min hjälp."
